
[00:00:00.000 --> 00:00:04.000]  這是和大家在一起,真是一個很大的榮幸
[00:00:04.000 --> 00:00:06.000]  我們可以一齊來敬拜主
[00:00:06.000 --> 00:00:09.000]  大家一齊可以看神的話語
[00:00:09.000 --> 00:00:11.000]  我們大家一齊討論
[00:00:11.000 --> 00:00:17.000]  神啊,多謝祢給我們的話語
[00:00:17.000 --> 00:00:21.000]  我們都是祈求祢為我們
[00:00:21.000 --> 00:00:31.000]  祈求祢為我們講說話
[00:00:31.000 --> 00:00:37.000]  祈求祢為我們得到高舉
[00:00:37.000 --> 00:00:41.000]  祈求祢為我們聽祢的話語
[00:00:41.000 --> 00:00:43.000]  祈求祢為我們聽祢的話語
[00:00:43.000 --> 00:00:45.000]  祈求祢為我們聽祢的話語
[00:00:45.000 --> 00:00:47.000]  祈求祢為我們聽祢的話語
[00:00:47.000 --> 00:00:49.000]  祈求祢為我們聽祢的話語
[00:00:49.000 --> 00:00:51.000]  祈求祢為我們聽祢的話語
[00:00:51.000 --> 00:00:53.000]  我們愛祢
[00:00:53.000 --> 00:00:55.000]  同主耶穌基督名求
[00:00:55.000 --> 00:01:01.000]  我記得我爸爸當年年幼的時候
[00:01:01.000 --> 00:01:03.000]  爸爸經常這樣對我說
[00:01:03.000 --> 00:01:07.000]  祢是聖恩
[00:01:07.000 --> 00:01:11.000]  聖恩其實是一個很大的榮幸
[00:01:11.000 --> 00:01:17.000]  因為這個地上不是很多人聖恩
[00:01:17.000 --> 00:01:21.000]  但是成為一個聖恩
[00:01:21.000 --> 00:01:22.000]  也是一個很大的責任
[00:01:22.000 --> 00:01:26.000]  不要辜負祢家族的名字
[00:01:26.000 --> 00:01:31.000]  祢必須是幸思為人
[00:01:31.000 --> 00:01:32.000]  對得起家族的名字
[00:01:32.000 --> 00:01:40.000]  所以我因為在聖恩的祝福裡長大
[00:01:40.000 --> 00:01:45.000]  我長大在教會裡的時候
[00:01:45.000 --> 00:01:47.000]  所有的人都認識我爸爸Jackson
[00:01:47.000 --> 00:01:49.000]  和他的兄弟阿兵
[00:01:49.000 --> 00:01:51.000]  我們在排隊的時候
[00:01:51.000 --> 00:01:53.000]  他們會說:你是聖恩的
[00:01:53.000 --> 00:01:57.000]  我多給你一些食物
[00:01:57.000 --> 00:02:00.000]  我就說:謝謝
[00:02:00.000 --> 00:02:02.000]  或者是說:你是Jackson的兒子
[00:02:02.000 --> 00:02:07.000]  我很高興認識你
[00:02:07.000 --> 00:02:12.000]  有時候他們也會說:你是聖恩的
[00:02:12.000 --> 00:02:18.000]  他們的臉上會露出一些困擾的表情
[00:02:18.000 --> 00:02:25.000]  因為他們知道聖恩的子女
[00:02:25.000 --> 00:02:27.000]  應該行事為人
[00:02:27.000 --> 00:02:28.000]  按照某一種方式
[00:02:28.000 --> 00:02:31.000]  但是我當時不是按照這樣的方式
