
[00:00:00.000 --> 00:00:05.000]  我們一起打開《新約聖經》
[00:00:05.000 --> 00:00:09.000]  多倫多前書第七章
[00:00:09.000 --> 00:00:15.000]  我們會思想由第一節讀到第十六節
[00:00:15.000 --> 00:00:18.000]  大家要翻開聖經
[00:00:18.000 --> 00:00:21.000]  如果大家來到的時候沒有帶聖經
[00:00:21.000 --> 00:00:27.000]  可以在外面那裡拿聖經
[00:00:27.000 --> 00:00:37.000]  我們嘗試讀由第一到第七節
[00:00:37.000 --> 00:00:40.000]  我們只讀這一段
[00:00:40.000 --> 00:00:42.000]  第一到第七節
[00:00:42.000 --> 00:00:44.000]  我們一起跟聖人頌讀
[00:00:44.000 --> 00:00:47.000]  論到你們信上所提的事
[00:00:47.000 --> 00:00:50.000]  我說男不跟女賭好
[00:00:50.000 --> 00:00:53.000]  但要避免淫亂的事
[00:00:53.000 --> 00:00:56.000]  男子當各有自己的妻子
[00:00:56.000 --> 00:01:00.000]  女子也當各有自己的丈夫
[00:01:00.000 --> 00:01:04.000]  丈夫當用合宜之分待妻子
[00:01:04.000 --> 00:01:07.000]  妻子待丈夫也要如此
[00:01:07.000 --> 00:01:13.000]  妻子沒有權並主張自己的生子乃在丈夫
[00:01:13.000 --> 00:01:18.000]  丈夫也沒有權並主張自己的生子乃在妻子
[00:01:18.000 --> 00:01:22.000]  夫婦可彼此窺父
[00:01:22.000 --> 00:01:26.000]  除非兩雙情緣暫時婚房
[00:01:26.000 --> 00:01:29.000]  謂要專心討告方可
[00:01:29.000 --> 00:01:31.000]  又仍然同房
[00:01:31.000 --> 00:01:35.000]  免得撒旦趁著你們情不自禁
[00:01:35.000 --> 00:01:36.000]  引誘你們
[00:01:36.000 --> 00:01:38.000]  我說者話
[00:01:38.000 --> 00:01:40.000]  願是准你們的
[00:01:40.000 --> 00:01:42.000]  不是命你們的
[00:01:42.000 --> 00:01:45.000]  我願意眾人像我一樣
[00:01:45.000 --> 00:01:48.000]  指示各人領受神的恩賜
[00:01:48.000 --> 00:01:52.000]  一個是這樣,一個是那樣
[00:01:52.000 --> 00:01:55.000]  好,我們就讀到這一段
[00:01:55.000 --> 00:01:58.000]  我們呢,待會兒
[00:01:58.000 --> 00:02:01.000]  當我們一路思想的時候
[00:02:01.000 --> 00:02:06.000]  我們會思想第八至第十六節
[00:02:06.000 --> 00:02:10.000]  我不知道大家當你想到婚姻的時候
[00:02:10.000 --> 00:02:13.000]  你想到一幅什麼圖畫呢?
[00:02:13.000 --> 00:02:15.000]  有人說當他想到婚姻的時候
[00:02:15.000 --> 00:02:17.000]  他想到天長地久
[00:02:17.000 --> 00:02:21.000]  我不知道你有沒有這樣想到天長地久
[00:02:21.000 --> 00:02:24.000]  不過現在想到婚姻的時候
[00:02:24.000 --> 00:02:28.000]  有人說我們去想到能撐多久
[00:02:28.000 --> 00:02:31.000]  不是天長地久
[00:02:31.000 --> 00:02:36.000]  究竟想到究竟撐多久
[00:02:36.000 --> 00:02:41.000]  有人說當他剛剛結婚的時候
[00:02:41.000 --> 00:02:47.000]  他就說來到對方能夠看得上眼
[00:02:47.000 --> 00:02:49.000]  後來他離婚的時候
[00:02:49.000 --> 00:02:51.000]  他就說看漏了眼
[00:02:51.000 --> 00:02:54.000]  所以才離婚
[00:02:54.000 --> 00:02:57.000]  看不到他這麼多的弱點
[00:02:57.000 --> 00:02:59.000]  所以離婚
[00:02:59.000 --> 00:03:04.000]  以前的人當婚姻是一輩子的
[00:03:04.000 --> 00:03:09.000]  現在的人當婚姻是一會兒的
[00:03:09.000 --> 00:03:21.000]  在香港統計處做過一個調查或者統計
[00:03:21.000 --> 00:03:25.000]  香港發現人越來越遲婚
[00:03:25.000 --> 00:03:30.000]  但是離婚的數字一直在遞增
[00:03:30.000 --> 00:03:41.000]  在2011年香港有大概二萬宗的離婚個案
[00:03:41.000 --> 00:03:45.000]  而在1981年只有二千宗
[00:03:45.000 --> 00:03:48.000]  換句話來說這三十年
[00:03:48.000 --> 00:03:54.000]  香港的離婚率是增加了十倍很多
[00:03:54.000 --> 00:04:00.000]  2011年有六萬對結婚兩萬對離婚
[00:04:00.000 --> 00:04:07.000]  有一位老先生和一位老太太已經結婚了六十年
[00:04:07.000 --> 00:04:10.000]  他們什麼都可以說
[00:04:10.000 --> 00:04:15.000]  但是在他們當中有一件事是例外的
[00:04:15.000 --> 00:04:18.000]  是他們之間的一個秘密
[00:04:18.000 --> 00:04:22.000]  原來這個老太太在衣櫃裡面有一個盒子
[00:04:22.000 --> 00:04:26.000]  她也不准她先生問這個盒子
[00:04:26.000 --> 00:04:29.000]  關於這個盒子的一些情況
[00:04:29.000 --> 00:04:33.000]  有一天這位老太太病得很嚴重
[00:04:33.000 --> 00:04:37.000]  而她的醫生說她不能康復
[00:04:37.000 --> 00:04:39.000]  她沒有康復的機會
[00:04:39.000 --> 00:04:44.000]  這位老先生就和他太太整理她的物件
[00:04:44.000 --> 00:04:49.000]  將這個盒子拿到她的床邊
[00:04:49.000 --> 00:04:55.000]  希望她能夠解開這個盒子的秘密
[00:04:55.000 --> 00:04:59.000]  這個先生打開這個盒子
[00:04:59.000 --> 00:05:01.000]  發現有兩個洋娃娃
[00:05:01.000 --> 00:05:03.000]  有很多錢
[00:05:03.000 --> 00:05:06.000]  有多少錢?有多少台幣來的?
[00:05:06.000 --> 00:05:08.000]  有三百萬這麼多
[00:05:08.000 --> 00:05:11.000]  他就問太太為什麼有這麼多東西在這裡呢?
[00:05:11.000 --> 00:05:14.000]  這位太太就和他說
[00:05:14.000 --> 00:05:16.000]  因為當我們結婚的時候
[00:05:16.000 --> 00:05:19.000]  我的太太就和我說
[00:05:19.000 --> 00:05:24.000]  她說幸福的婚姻就是從來不吵架的
[00:05:24.000 --> 00:05:28.000]  無論在哪個時間
[00:05:28.000 --> 00:05:31.000]  當你生氣的時候
[00:05:31.000 --> 00:05:35.000]  你應該就應該保持緘默
[00:05:35.000 --> 00:05:36.000]  擠一個洋娃娃
[00:05:36.000 --> 00:05:38.000]  不知道是不是急去
[00:05:38.000 --> 00:05:40.000]  生氣起來
[00:05:40.000 --> 00:05:44.000]  擠一個洋娃娃這樣
[00:05:44.000 --> 00:05:48.000]  這位老先生聽到就很感動
[00:05:48.000 --> 00:05:52.000]  因為盒子裡只有兩個洋娃娃
[00:05:52.000 --> 00:05:54.000]  換句話來說
[00:05:54.000 --> 00:05:55.000]  這六十年裡
[00:05:55.000 --> 00:05:58.000]  太太只是生我氣兩次
[00:05:58.000 --> 00:06:04.000]  那位老先生就很開心
[00:06:04.000 --> 00:06:06.000]  這位老先生
[00:06:06.000 --> 00:06:10.000]  現在我知道洋娃娃的原因了
[00:06:10.000 --> 00:06:12.000]  不過錢又是什麼原因呢?
[00:06:12.000 --> 00:06:14.000]  這位老太太就說
