
[00:00:00.000 --> 00:00:02.600]  再一次來低頭禱告
[00:00:02.600 --> 00:00:04.000]  我們主我們的神
[00:00:04.000 --> 00:00:05.800]  祢講過祢的話語一出
[00:00:05.800 --> 00:00:07.800]  不會徒然返回
[00:00:07.800 --> 00:00:10.200]  今日就讓真理的靈
[00:00:10.200 --> 00:00:11.800]  引導我們進入真理
[00:00:11.800 --> 00:00:15.200]  使我們明白神祢自己的話語
[00:00:15.200 --> 00:00:18.200]  在我們生命裏面成為活水江河
[00:00:18.200 --> 00:00:19.400]  湧流出來
[00:00:19.400 --> 00:00:21.400]  更新改變我們的心思意念
[00:00:21.400 --> 00:00:23.800]  讓我們聽道又行道
[00:00:23.800 --> 00:00:25.600]  奉主耶穌基督的名禱告
[00:00:25.600 --> 00:00:28.000]  阿門
[00:00:28.000 --> 00:00:32.200]  在2009年11月20日
[00:00:32.200 --> 00:00:35.400]  在美國華盛頓有超過140位
[00:00:35.400 --> 00:00:37.400]  福音派
[00:00:37.400 --> 00:00:40.600]  天主教和東正教的領袖
[00:00:40.600 --> 00:00:42.400]  聯署了一份聲明
[00:00:42.400 --> 00:00:45.800]  叫做《曼克頓宣言》
[00:00:45.800 --> 00:00:49.800]  這三個我們稱之為宗教
[00:00:49.800 --> 00:00:51.200]  其實源頭都是來自
[00:00:51.200 --> 00:00:54.000]  我們去到《相信》看這本聖經
[00:00:54.000 --> 00:00:57.600]  講到那位創天造地獨一的真神
[00:00:57.600 --> 00:01:00.200]  而這個聯署裏面有三點
[00:01:00.200 --> 00:01:01.600]  很重要的聲明
[00:01:01.600 --> 00:01:05.200]  就是講到生命的神聖
[00:01:05.200 --> 00:01:07.800]  這裏就是針對現今在美國
[00:01:07.800 --> 00:01:10.200]  對於生命那種價值
[00:01:10.200 --> 00:01:11.800]  那種扭曲
[00:01:11.800 --> 00:01:15.600]  或者特別講到墮胎問題的嚴重
[00:01:15.600 --> 00:01:18.400]  而第二講到婚姻的尊嚴
[00:01:18.400 --> 00:01:20.600]  我們知道現在是性開放
[00:01:20.600 --> 00:01:23.800]  性濫交的很自由的風氣
[00:01:23.800 --> 00:01:26.800]  更加近這十年八年
[00:01:26.800 --> 00:01:28.600]  就是同性戀的文化
[00:01:28.600 --> 00:01:30.800]  同性婚姻的衝擊
[00:01:30.800 --> 00:01:33.400]  而第三就講到宗教的自由
[00:01:33.400 --> 00:01:34.400]  我們知道在美國
[00:01:34.400 --> 00:01:37.000]  公立學校不可以祈禱
[00:01:37.000 --> 00:01:42.400]  在法院十戒都是併住門外
[00:01:42.400 --> 00:01:45.200]  這班領袖就是要這樣維護
[00:01:45.200 --> 00:01:48.600]  上帝賜答這個基本的人倫
[00:01:48.600 --> 00:01:52.400]  家庭的核心價值
[00:01:52.400 --> 00:01:55.000]  第三點可能在不同的地方
[00:01:55.000 --> 00:01:58.000]  不同的風俗不同的政權
[00:01:58.000 --> 00:02:00.400]  有不同的一種制度
[00:02:00.400 --> 00:02:04.000]  在香港我們都比較有宗教的自由
[00:02:04.000 --> 00:02:05.600]  但去到第一第二點
[00:02:05.600 --> 00:02:07.400]  講到生命講到婚姻
[00:02:07.400 --> 00:02:09.000]  在這個末世裏面
[00:02:09.000 --> 00:02:11.400]  摩依撒旦不斷的衝擊
[00:02:11.400 --> 00:02:15.600]  扭曲這個價值
[00:02:15.600 --> 00:02:19.400]  大家去看看這個傳媒
[00:02:19.400 --> 00:02:24.800]  電視電影報章雜誌新聞
[00:02:24.800 --> 00:02:29.000]  甚至乎現在就算網絡世界的影響
[00:02:29.000 --> 00:02:30.800]  遊戲機等等
