
[00:00:00.000 --> 00:00:07.200]  很高興有機會跟大家用兩次來講約伯記
[00:00:07.200 --> 00:00:11.500]  我稱它為約伯記的日子
[00:00:11.500 --> 00:00:17.300]  約伯記的日子當然要用約伯記這本書
[00:00:17.300 --> 00:00:20.500]  作為它的核心討論
[00:00:20.500 --> 00:00:23.800]  不過我相信如果你是基督徒的話
[00:00:23.800 --> 00:00:25.000]  就算不是基督徒
[00:00:25.000 --> 00:00:27.700]  你也猜到或者聽過
[00:00:27.700 --> 00:00:29.700]  一想起約伯記
[00:00:29.700 --> 00:00:34.000]  當然就會想起二人受苦
[00:00:34.000 --> 00:00:37.500]  是千古的難題
[00:00:37.500 --> 00:00:40.800]  為什麼好人要受苦
[00:00:40.800 --> 00:00:44.000]  就算有神在的時候
[00:00:44.000 --> 00:00:48.600]  甚至也沒辦法減退人的痛苦
[00:00:48.600 --> 00:00:52.500]  這個就是約伯記我相信最出名的主題
[00:00:52.500 --> 00:00:58.600]  我估計如果你是看約伯記的日子
[00:00:58.600 --> 00:01:00.300]  這個節目
[00:01:00.300 --> 00:01:04.000]  你也會想問這個問題
[00:01:04.000 --> 00:01:08.000]  當然我不會逃避這個問題
[00:01:08.000 --> 00:01:12.200]  但當然我們既然稱為聖經的研究
[00:01:12.200 --> 00:01:17.200]  我們也要基於約伯記裡面的課題
[00:01:17.200 --> 00:01:18.700]  意思就是說
[00:01:18.700 --> 00:01:24.200]  關於人會受苦這個難題
[00:01:24.200 --> 00:01:25.700]  信仰上也好
[00:01:25.700 --> 00:01:27.000]  哲學上也好
[00:01:27.000 --> 00:01:29.600]  有很多角度去研究
[00:01:29.600 --> 00:01:33.300]  我就不會在這兩次什麼都說完
[00:01:33.300 --> 00:01:36.400]  因為我要圍繞著約伯記
[00:01:36.400 --> 00:01:38.200]  給我們的資料
[00:01:38.200 --> 00:01:40.900]  所以請大家了解
[00:01:40.900 --> 00:01:44.400]  可能在你心目中有關於受苦的問題
[00:01:44.400 --> 00:01:48.800]  你在這兩講裡面未必會聽得到
[00:01:48.800 --> 00:01:49.300]  好
[00:01:49.300 --> 00:01:50.900]  我們就不要浪費時間了
[00:01:50.900 --> 00:01:54.900]  我們就開始我們的第一講
[00:01:54.900 --> 00:01:58.100]  第一講我就給了一個題目
[00:01:58.100 --> 00:02:01.500]  就叫做人間的新淫
[00:02:01.500 --> 00:02:06.100]  與自然山野間的重歌
[00:02:06.100 --> 00:02:08.700]  新淫與重歌
[00:02:08.700 --> 00:02:11.300]  一個很對比的描述
[00:02:11.300 --> 00:02:12.500]  就是說
[00:02:12.500 --> 00:02:17.100]  我就不會說完整個約伯記所有的內容
[00:02:17.100 --> 00:02:19.300]  主要是集中在
[00:02:19.300 --> 00:02:21.200]  待會我會告訴大家
[00:02:21.200 --> 00:02:25.900]  就是三十八章至四十二章
[00:02:25.900 --> 00:02:29.700]  其實主要是這幾章的聖經
