
[00:00:00.000 --> 00:00:01.640]  今天跟大家講這個題目
[00:00:01.640 --> 00:00:04.280]  「非同凡響的人之耶穌接觸」
[00:00:04.280 --> 00:00:08.120]  跟大家思想路加福音我們的信息
[00:00:08.120 --> 00:00:10.320]  在上一次講到的時候
[00:00:10.320 --> 00:00:19.040]  我們講到路加福音記載耶穌的成長
[00:00:19.040 --> 00:00:22.960]  之後再記載施洗若寒
[00:00:22.960 --> 00:00:24.440]  祂出來開始傳道
[00:00:24.440 --> 00:00:26.440]  成為了耶穌基督的先鋒
[00:00:26.440 --> 00:00:28.280]  祂是一個福音的使者
[00:00:28.280 --> 00:00:29.720]  為神來開道路
[00:00:29.720 --> 00:00:31.680]  我們在祂的身上學習
[00:00:31.680 --> 00:00:33.920]  主角正式出現了
[00:00:33.920 --> 00:00:36.960]  也講到主耶穌開始出來傳道
[00:00:36.960 --> 00:00:40.920]  這是第三章二十三節開始
[00:00:40.920 --> 00:00:43.720]  在開始之前
[00:00:43.720 --> 00:00:48.640]  路加特別記載了一個很長的族譜
[00:00:48.640 --> 00:00:51.560]  就是由二十三節至三十八節
[00:00:51.560 --> 00:00:54.160]  很長的一個族譜
[00:00:54.160 --> 00:00:58.240]  講到耶穌基督的出生
[00:00:58.240 --> 00:01:00.160]  我們通常介紹一個人
[00:01:00.160 --> 00:01:03.840]  我們一定會講及他一些背景
[00:01:03.840 --> 00:01:05.560]  如果你不認識他
[00:01:05.560 --> 00:01:07.040]  可能會介紹他的背景
[00:01:07.040 --> 00:01:08.440]  他在哪裡長大
[00:01:08.440 --> 00:01:12.520]  他在哪裡受教育等等
[00:01:12.520 --> 00:01:13.720]  如果有些名人
[00:01:13.720 --> 00:01:15.680]  如果有些名人
[00:01:15.680 --> 00:01:21.120]  如果大家有時候去查某些名人
[00:01:21.120 --> 00:01:22.600]  想知道他的資料
[00:01:22.600 --> 00:01:24.600]  知道他的出身
[00:01:24.600 --> 00:01:26.520]  一定他有很多交代
[00:01:26.520 --> 00:01:31.440]  現在很多人用的 Wikipedia
[00:01:31.440 --> 00:01:33.160]  你找那個什麼人
[00:01:33.160 --> 00:01:35.640]  他可能會告訴你他什麼時候出生
[00:01:35.640 --> 00:01:37.360]  什麼時候做過什麼事
[00:01:37.360 --> 00:01:38.640]  受過什麼教育
[00:01:38.640 --> 00:01:41.600]  甚至如果他是很出名的家族
[00:01:41.600 --> 00:01:45.320]  他一定會講他出於哪個名門望族
[00:01:45.320 --> 00:01:49.320]  告訴你他跟哪些很有名的人有關係
[00:01:49.320 --> 00:01:50.560]  出於那個家族
[00:01:50.560 --> 00:01:53.240]  他很有家世等等
[00:01:53.240 --> 00:01:57.760]  所以這些身世和家世對於一個人的背景
[00:01:57.760 --> 00:01:58.480]  也很重要
[00:01:58.480 --> 00:02:00.800]  特別是那些重要的人物
[00:02:00.800 --> 00:02:03.800]  所以當路加來記載
[00:02:03.800 --> 00:02:06.360]  主耶穌正式出來
[00:02:06.360 --> 00:02:10.400]  來彰顯神的角度的訊息
[00:02:10.400 --> 00:02:14.560]  還有出來傳天國的福音
[00:02:14.560 --> 00:02:17.840]  他很明顯也將他一個很重要的
[00:02:17.840 --> 00:02:20.840]  他的出身的背景交代
[00:02:20.840 --> 00:02:22.360]  這段聖經這麼長
[00:02:22.360 --> 00:02:24.920]  真的可以說是祖宗十八代
[00:02:24.920 --> 00:02:26.440]  我想不止十八代
[00:02:26.440 --> 00:02:27.560]  如果數一下
[00:02:27.560 --> 00:02:29.000]  超過十八代
[00:02:29.000 --> 00:02:30.320]  來數出來
[00:02:30.320 --> 00:02:33.360]  究竟耶穌帶著什麼身份
[00:02:33.360 --> 00:02:34.840]  他的背景是什麼
[00:02:34.840 --> 00:02:36.600]  為什麼這麼重要
[00:02:36.600 --> 00:02:38.360]  為什麼他來到這個世界
[00:02:38.360 --> 00:02:44.400]  能夠將這麼重要的神天國的福音
[00:02:44.400 --> 00:02:48.040]  帶給我們而能夠生效
[00:02:48.040 --> 00:02:50.520]  所以這裡我們看到
[00:02:50.520 --> 00:02:55.200]  路加以一個人子來描寫耶穌的時候
[00:02:55.200 --> 00:02:56.480]  固然因為他是人子
[00:02:56.480 --> 00:03:00.200]  一定是可以追溯他作為人
[00:03:00.200 --> 00:03:01.880]  他的家族的出生
[00:03:01.880 --> 00:03:05.000]  他生於哪一個家族
[00:03:05.000 --> 00:03:06.960]  他是什麼家底
[00:03:06.960 --> 00:03:09.000]  當他這樣去展示的時候
[00:03:09.000 --> 00:03:10.840]  我們發覺原來主耶穌基督
[00:03:10.840 --> 00:03:13.760]  以一個人子的資格來到的時候
