
[00:00:00.000 --> 00:00:06.240]  我們今天已經在我們整個生命當中
[00:00:06.240 --> 00:00:11.100]  可相信已經是很多次我們聽過關於欣典的道理
[00:00:11.100 --> 00:00:18.840]  欣典對我們來說好像已經變成我們大家接受了的理念
[00:00:18.840 --> 00:00:24.580]  以色列人在當中也明白到欣典的重要性
[00:00:24.580 --> 00:00:30.800]  但當我們讀聖經的時候,我們發覺我們把舊約和新約分開得很清楚
[00:00:30.800 --> 00:00:37.000]  舊約是講律法,新約才是講欣典
[00:00:37.000 --> 00:00:44.800]  因此處處看聖經的時候,我們對舊約有很大的偏見
[00:00:44.800 --> 00:00:51.880]  偏見是什麼呢?就是舊約沒有欣典,只有新約才有欣典
[00:00:51.880 --> 00:00:58.240]  但你會發覺,當你讀詩篇103的時候,你會發覺處處都是欣典的道理
[00:00:58.240 --> 00:01:01.240]  他說你要稱重耶和華,因為就是神的欣典同在
[00:01:01.240 --> 00:01:04.940]  在當中講出了欣典和恩惠的意念
[00:01:04.940 --> 00:01:10.140]  所以變成我們大家一起讀聖經的時候,尤其是讀到舊約的時候
[00:01:10.140 --> 00:01:15.140]  我勸大家重新來過,重新利用欣典的道理
[00:01:15.140 --> 00:01:18.540]  一開始就是神如何創造天地
[00:01:18.540 --> 00:01:23.340]  到最後以色列在當中慢慢體驗到
[00:01:23.340 --> 00:01:29.540]  這位審判他們,但在當中給他們一位回歸的上帝
[00:01:29.540 --> 00:01:31.740]  的確是一個欣典的神
[00:01:31.740 --> 00:01:36.540]  在當中才能夠看到聖經為什麼在舊約當中
[00:01:36.540 --> 00:01:42.340]  接觸這個觀念去到耶穌基督的身上
[00:01:42.340 --> 00:01:48.740]  看到耶穌的來臨是一個欣典的最終表現
[00:01:48.740 --> 00:01:53.640]  因為這樣,所以我們讀聖經的時候一定要從這個角度來看
[00:01:53.640 --> 00:01:58.840]  所以今天大家看到,詩篇103篇我們剛才唱過
[00:01:58.840 --> 00:02:00.840]  讀也讀過了
[00:02:00.840 --> 00:02:09.340]  對我們來說,其中一個我們都很喜歡的詩歌就是詩篇
[00:02:09.340 --> 00:02:15.340]  華人教會大部分都喜歡的是詩篇203篇
[00:02:15.340 --> 00:02:22.340]  比較上詩篇203篇處處都是大家使用的經文
[00:02:22.340 --> 00:02:25.340]  以色列人當然都喜歡詩篇203篇
[00:02:25.340 --> 00:02:34.340]  但他更加用詩篇103篇作為他們自己生命的宣言
[00:02:34.340 --> 00:02:42.340]  所以他們如果在他們的節日或者自己日常的靈修當中
[00:02:42.340 --> 00:02:45.340]  詩篇103篇變成他們重要的經文
[00:02:45.340 --> 00:02:48.340]  不是詩篇203篇,而是詩篇103篇
[00:02:48.340 --> 00:02:51.340]  因為這樣,所以我們要看看他究竟說了什麼
[00:02:51.340 --> 00:03:00.340]  在節日當中很明顯的,譬如說月節,新年的時間,駐旁節的機會
[00:03:00.340 --> 00:03:07.340]  每次都使用103篇,起碼讀幾段的經文都是從103篇來的
[00:03:07.340 --> 00:03:09.340]  他們在靈修當中
[00:03:09.340 --> 00:03:18.340]  他們有一本,就像我們今天説經讀的靈修書籍
[00:03:18.340 --> 00:03:23.340]  他們也編排在他們自己日常的祈禱當中
[00:03:23.340 --> 00:03:29.340]  大部分時間,一個星期一定會讀一次,就是103篇
[00:03:29.340 --> 00:03:32.340]  所以103篇對他們來說相當重要
[00:03:32.340 --> 00:03:37.340]  他表達了以色列人,或者叫做猶太人
[00:03:37.340 --> 00:03:45.340]  他們對自己信仰的宣告,對信仰的依據
[00:03:45.340 --> 00:03:50.340]  對信仰的信靠,對耶和華信靠的意念
[00:03:50.340 --> 00:03:54.340]  所以他們在當中讀這段103篇的時候
[00:03:54.340 --> 00:03:59.340]  他們記得神是一個恩典的神
