
[00:00:00.000 --> 00:00:02.000]  各位同學們 平安
[00:00:02.000 --> 00:00:04.000]  這個週末是 Memorial Weekend
[00:00:04.000 --> 00:00:06.000]  軍人紀念日
[00:00:06.000 --> 00:00:08.000]  我想請問在我們當中
[00:00:08.000 --> 00:00:10.000]  是否有現役軍人
[00:00:10.000 --> 00:00:12.000]  退役軍人或是軍人的家屬
[00:00:12.000 --> 00:00:14.000]  可以請你揮揮手 好嗎
[00:00:14.000 --> 00:00:18.000]  我們當中是有幾位
[00:00:18.000 --> 00:00:20.000]  我們來拍手來謝謝我們
[00:00:20.000 --> 00:00:22.000]  在這邊的軍人和軍人的家屬
[00:00:22.000 --> 00:00:24.000]  願神祝福
[00:00:24.000 --> 00:00:26.000]  大家在
[00:00:26.000 --> 00:00:28.000]  為了保衛家園
[00:00:28.000 --> 00:00:30.000]  在網路上的代價
[00:00:30.000 --> 00:00:32.000]  如果您在線上直播的
[00:00:32.000 --> 00:00:34.000]  參與的弟兄姊妹
[00:00:34.000 --> 00:00:36.000]  你也是這樣子的家人
[00:00:36.000 --> 00:00:38.000]  也請你可以在網路上
[00:00:38.000 --> 00:00:40.000]  和我們互動一下
[00:00:40.000 --> 00:00:42.000]  我們願神的同在
[00:00:42.000 --> 00:00:44.000]  神的保護
[00:00:44.000 --> 00:00:46.000]  領導你們
[00:00:46.000 --> 00:00:48.000]  這個月也是教會的
[00:00:48.000 --> 00:00:50.000]  Heritage Sunday
[00:00:50.000 --> 00:00:52.000]  傳承是非常
[00:00:52.000 --> 00:00:54.000]  powerful的事情
[00:00:54.000 --> 00:00:56.000]  傳承是大家
[00:00:56.000 --> 00:00:58.000]  可能沒有想太多
[00:00:58.000 --> 00:01:00.000]  但是其實你從小就在想的事情
[00:01:00.000 --> 00:01:02.000]  我還記得我
[00:01:02.000 --> 00:01:04.000]  初中生第一次
[00:01:04.000 --> 00:01:06.000]  打開金庸小說的時候
[00:01:06.000 --> 00:01:08.000]  裡面的武功秘籍
[00:01:08.000 --> 00:01:10.000]  你只要拿到一本
[00:01:10.000 --> 00:01:12.000]  你就可以少練幾十年的功夫
[00:01:12.000 --> 00:01:14.000]  這就是傳承
[00:01:14.000 --> 00:01:18.000]  過幾天是端午節
[00:01:18.000 --> 00:01:20.000]  如果你在
[00:01:20.000 --> 00:01:22.000]  這個街訪上面
[00:01:22.000 --> 00:01:24.000]  突然聽到有祖傳秘方
[00:01:24.000 --> 00:01:26.000]  secret ingredient
[00:01:26.000 --> 00:01:28.000]  你做出來的粽子
[00:01:28.000 --> 00:01:30.000]  就是不一樣
[00:01:30.000 --> 00:01:34.000]  同樣的一個家族
[00:01:34.000 --> 00:01:36.000]  或是一個民族
[00:01:36.000 --> 00:01:38.000]  如果傳承了
[00:01:38.000 --> 00:01:40.000]  重要的思想
[00:01:40.000 --> 00:01:42.000]  他們的精神和價值
[00:01:42.000 --> 00:01:44.000]  這樣的後代
[00:01:44.000 --> 00:01:46.000]  是可以勝過
[00:01:46.000 --> 00:01:48.000]  各樣的患難與挑戰的
[00:01:48.000 --> 00:01:50.000]  事實上我們在聖經當中
[00:01:50.000 --> 00:01:52.000]  常常很羨慕的一些人
[00:01:52.000 --> 00:01:54.000]  他們也是在
[00:01:54.000 --> 00:01:56.000]  傳承當中得著
[00:01:56.000 --> 00:01:58.000]  許多的恩典
[00:01:58.000 --> 00:02:00.000]  你想像如果沒有亞伯拉罕
[00:02:00.000 --> 00:02:02.000]  能有以薩嗎
[00:02:02.000 --> 00:02:06.000]  沒有亞伯拉罕的傳承
[00:02:06.000 --> 00:02:08.000]  以薩如果沒有
[00:02:08.000 --> 00:02:10.000]  接觸的話 以薩沒有辦法
[00:02:10.000 --> 00:02:12.000]  成為以薩
[00:02:12.000 --> 00:02:14.000]  索羅門好有智慧
[00:02:14.000 --> 00:02:16.000]  他蓋了好多
[00:02:16.000 --> 00:02:18.000]  很厲害的建築
[00:02:18.000 --> 00:02:20.000]  特別是聖殿
[00:02:20.000 --> 00:02:22.000]  如果沒有大衛的傳承
[00:02:22.000 --> 00:02:24.000]  如果他沒有接觸的話
[00:02:24.000 --> 00:02:26.000]  索羅門也沒有辦法做
[00:02:26.000 --> 00:02:28.000]  他命定的事情
[00:02:28.000 --> 00:02:30.000]  在新約也是一樣
[00:02:30.000 --> 00:02:32.000]  提摩太
[00:02:32.000 --> 00:02:34.000]  後來我們知道被神大大的使用
[00:02:34.000 --> 00:02:36.000]  福音開始被變傳
[00:02:36.000 --> 00:02:38.000]  但是如果沒有保羅的話
[00:02:38.000 --> 00:02:40.000]  提摩太也沒有辦法
[00:02:40.000 --> 00:02:42.000]  做這樣子的施工
[00:02:42.000 --> 00:02:44.000]  所以今天我們在這裡
[00:02:44.000 --> 00:02:46.000]  能夠
[00:02:46.000 --> 00:02:48.000]  認真的
[00:02:48.000 --> 00:02:50.000]  來數算神的恩典
[00:02:50.000 --> 00:02:52.000]  和上帝
[00:02:52.000 --> 00:02:54.000]  透過生命盒
[00:02:54.000 --> 00:02:56.000]  所賜給我們的
[00:02:56.000 --> 00:02:58.000]  很多寶貴的寶藏
[00:02:58.000 --> 00:03:00.000]  秘籍也好
[00:03:00.000 --> 00:03:02.000]  secret ingredients也好
[00:03:02.000 --> 00:03:04.000]  一些寶貴的恩高和精神也好
[00:03:04.000 --> 00:03:06.000]  今天我們
[00:03:06.000 --> 00:03:08.000]  如果在這邊認真的來
[00:03:08.000 --> 00:03:10.000]  領受 來數算
[00:03:10.000 --> 00:03:12.000]  我相信神樂意
[00:03:12.000 --> 00:03:14.000]  把這樣的恩典
[00:03:14.000 --> 00:03:16.000]  繼續延續下去
[00:03:16.000 --> 00:03:18.000]  同樣要怎麼樣
[00:03:18.000 --> 00:03:20.000]  如果你相信的話
[00:03:20.000 --> 00:03:22.000]  你拍手讚美神
[00:03:22.000 --> 00:03:28.000]  特別在傳真逐日這段時間
[00:03:28.000 --> 00:03:30.000]  我有一個
[00:03:30.000 --> 00:03:32.000]  inspiration
[00:03:32.000 --> 00:03:34.000]  記得傳真逐日的禮拜天
[00:03:34.000 --> 00:03:36.000]  五月初的時候
[00:03:36.000 --> 00:03:38.000]  我那天在帶領敬拜讚美
[00:03:38.000 --> 00:03:40.000]  帶完兩首歌之後
[00:03:40.000 --> 00:03:42.000]  有些人就發現我
[00:03:42.000 --> 00:03:44.000]  後來就在台上消失了
[00:03:44.000 --> 00:03:46.000]  其實我是跑步到
[00:03:46.000 --> 00:03:48.000]  youth那邊去講道
[00:03:48.000 --> 00:03:50.000]  去青少年那邊講道
[00:03:50.000 --> 00:03:52.000]  我一直在為青少年禱告
[00:03:52.000 --> 00:03:54.000]  在預備獎章 結果
[00:03:54.000 --> 00:03:56.000]  當天中文部的主日崇拜就在唱
[00:03:56.000 --> 00:03:58.000]  Shakayna 神的榮耀
[00:03:58.000 --> 00:04:00.000]  然後他後面的歌就講到
[00:04:00.000 --> 00:04:02.000]  末後的榮耀要大過
[00:04:02.000 --> 00:04:04.000]  先前的榮耀 我就看到
[00:04:04.000 --> 00:04:06.000]  全會場的人就唱
[00:04:06.000 --> 00:04:08.000]  後來的榮耀 後來的榮耀
[00:04:08.000 --> 00:04:10.000]  比打過先前的
[00:04:10.000 --> 00:04:12.000]  我突然之間發現
[00:04:12.000 --> 00:04:14.000]  原來我們的教會一直在做一個
[00:04:14.000 --> 00:04:16.000]  禱告 一直做一個宣告
[00:04:16.000 --> 00:04:18.000]  後來的榮耀
[00:04:18.000 --> 00:04:20.000]  要大過先前的榮耀
[00:04:20.000 --> 00:04:22.000]  我們教會很榮耀
[00:04:22.000 --> 00:04:24.000]  我們教會真的是神使用
[00:04:24.000 --> 00:04:26.000]  做了很多很
[00:04:26.000 --> 00:04:28.000]  很不得了的事情
[00:04:28.000 --> 00:04:30.000]  但是
