
[00:00:00.000 --> 00:00:03.400]  大英姐妹,我們今天就講到《羅馬書》第十五章
[00:00:03.400 --> 00:00:06.200]  之前都跟大英姐妹分享過
[00:00:06.200 --> 00:00:07.680]  其實《羅馬書》本身
[00:00:07.680 --> 00:00:11.880]  其實類似是一封保羅自己寫給自己的推薦
[00:00:11.880 --> 00:00:15.240]  不是,是保羅自己為自己寫的一封推薦信
[00:00:15.240 --> 00:00:17.680]  因為保羅其實有一個計劃
[00:00:17.680 --> 00:00:21.600]  他想遲些去探訪羅馬的教會
[00:00:21.600 --> 00:00:25.240]  但保羅自己也沒有去過羅馬的教會
[00:00:25.240 --> 00:00:30.120]  他如何讓別人知道
[00:00:30.120 --> 00:00:33.680]  究竟他所傳的福音是甚麼內容呢?
[00:00:33.680 --> 00:00:35.480]  其實他要介紹自己
[00:00:35.480 --> 00:00:38.080]  他所傳的福音信仰內容是甚麼
[00:00:38.080 --> 00:00:42.560]  亦要介紹他傳這些福音信仰的內容時
[00:00:42.560 --> 00:00:45.760]  他自己是一個怎樣的人
[00:00:45.760 --> 00:00:48.920]  所以《羅馬書》有一封這樣的戰信
[00:00:48.920 --> 00:00:50.440]  所以之前我們就看過
[00:00:50.440 --> 00:00:53.000]  《羅馬書》本身沒有保羅
[00:00:53.000 --> 00:00:55.480]  關於羅馬教會內部的事情
[00:00:55.480 --> 00:00:57.520]  因為保羅其實也沒有去過羅馬教會
[00:00:57.520 --> 00:01:01.280]  他也不是知道羅馬教會有甚麼問題
[00:01:01.280 --> 00:01:04.200]  他要去糾正
[00:01:04.200 --> 00:01:06.400]  其實他完全沒有這個意思
[00:01:06.400 --> 00:01:08.360]  所以他就是很有系統地
[00:01:08.360 --> 00:01:14.280]  一個一個關於福音重要的信仰內容
[00:01:14.280 --> 00:01:15.360]  教義的內容
[00:01:15.360 --> 00:01:16.560]  逐一逐一的陳述
[00:01:16.560 --> 00:01:17.560]  講完之後
[00:01:17.560 --> 00:01:19.840]  他亦都講到人接受福音之後
[00:01:19.840 --> 00:01:23.720]  要有哪一種的態度來回應
[00:01:23.720 --> 00:01:28.840]  哪一種的信仰生活來跟福音對稱
[00:01:28.840 --> 00:01:31.160]  講到今天去到第十五章的時候
