
[00:00:00.000 --> 00:00:02.000]  多謝主席
[00:00:02.000 --> 00:00:04.000]  這段經文也很長吧
[00:00:04.000 --> 00:00:06.000]  有多少個名字 有沒有數過
[00:00:06.000 --> 00:00:08.000]  八十四個
[00:00:08.000 --> 00:00:10.000]  不簡單
[00:00:10.000 --> 00:00:12.000]  讀完經文
[00:00:12.000 --> 00:00:14.000]  我們一同去
[00:00:14.000 --> 00:00:16.000]  聽這個講道
[00:00:16.000 --> 00:00:18.000]  其實都是
[00:00:18.000 --> 00:00:20.000]  我們都是神的僕人
[00:00:20.000 --> 00:00:22.000]  去講解神的說話
[00:00:22.000 --> 00:00:24.000]  所以我們其實是仰望神
[00:00:24.000 --> 00:00:26.000]  我們一起祈禱 求神
[00:00:26.000 --> 00:00:28.000]  幫助我們
[00:00:28.000 --> 00:00:30.000]  聖靈去幫助我們進入
[00:00:30.000 --> 00:00:32.000]  祂的真理
[00:00:32.000 --> 00:00:34.000]  天父
[00:00:34.000 --> 00:00:36.000]  我們多謝你給我們有
[00:00:36.000 --> 00:00:38.000]  聖經 主有些聖經
[00:00:38.000 --> 00:00:40.000]  我們覺得很長或者很悶
[00:00:40.000 --> 00:00:42.000]  但是主其實每一個
[00:00:42.000 --> 00:00:44.000]  每一段
[00:00:44.000 --> 00:00:46.000]  每一隻字主你
[00:00:46.000 --> 00:00:48.000]  透過你的僕人
[00:00:48.000 --> 00:00:50.000]  透過先知來寫下這些
[00:00:50.000 --> 00:00:52.000]  聖經
[00:00:52.000 --> 00:00:54.000]  絕對不是一個普通的事
[00:00:54.000 --> 00:00:56.000]  是很認真
[00:00:56.000 --> 00:00:58.000]  很純熟的事
[00:00:58.000 --> 00:01:00.000]  求你幫助我們現代信徒
[00:01:00.000 --> 00:01:02.000]  真的很方便
[00:01:02.000 --> 00:01:04.000]  我們有很多的聖經
[00:01:04.000 --> 00:01:06.000]  我們有很多不同的版本
[00:01:06.000 --> 00:01:08.000]  有電子 有實體
[00:01:08.000 --> 00:01:10.000]  又可以聆聽
[00:01:10.000 --> 00:01:12.000]  主求你幫助我們
[00:01:12.000 --> 00:01:14.000]  願意的去學
[00:01:14.000 --> 00:01:16.000]  你的話
[00:01:16.000 --> 00:01:18.000]  越方便的
[00:01:18.000 --> 00:01:20.000]  不會使我們更加輕寒
[00:01:20.000 --> 00:01:22.000]  反而我們更加珍惜
[00:01:22.000 --> 00:01:24.000]  幫助我們一起去讀你的話語
[00:01:24.000 --> 00:01:26.000]  我們這麼多的同工
[00:01:26.000 --> 00:01:28.000]  講到尼希米記第十章的時候
[00:01:28.000 --> 00:01:30.000]  我們去一起思想
[00:01:30.000 --> 00:01:32.000]  這些說話
[00:01:32.000 --> 00:01:34.000]  主求你的聖靈
[00:01:34.000 --> 00:01:36.000]  引導我們進入一切的真理
[00:01:36.000 --> 00:01:38.000]  給我們聽了
[00:01:38.000 --> 00:01:40.000]  更加要明白
[00:01:40.000 --> 00:01:42.000]  更加是要遵行
[00:01:42.000 --> 00:01:44.000]  更加是要想通它
[00:01:44.000 --> 00:01:46.000]  更加知道我們的信仰
[00:01:46.000 --> 00:01:48.000]  是信什麼
[00:01:48.000 --> 00:01:50.000]  以致我們整個人生觀
[00:01:50.000 --> 00:01:52.000]  價值觀我們都能夠去改變
