
[00:00:00.000 --> 00:00:06.000]  今日好開心能夠同大家一齊敬拜神
[00:00:06.000 --> 00:00:08.700]  這個口罩是遮蓋了我的笑容
[00:00:08.700 --> 00:00:10.700]  但我是真開心的
[00:00:10.700 --> 00:00:12.500]  尤其是在福音
[00:00:12.500 --> 00:00:14.200]  在中國主日
[00:00:14.200 --> 00:00:16.500]  是同大家一齊思想神的話
[00:00:16.500 --> 00:00:18.000]  我記得幾年前
[00:00:18.000 --> 00:00:21.300]  有一班內地來的傳道人
[00:00:21.300 --> 00:00:23.500]  牧師來到探博的會
[00:00:23.500 --> 00:00:26.500]  我同他們又交流彼此
[00:00:26.500 --> 00:00:28.500]  分享自己的背景
[00:00:28.500 --> 00:00:30.500]  以及對中國發生的事
[00:00:30.500 --> 00:00:32.500]  其中一位牧師就問我
[00:00:32.500 --> 00:00:37.000]  他說羅牧師你17歲就離開了香港
[00:00:37.000 --> 00:00:40.500]  自己去北美去加拿大讀書生活
[00:00:40.500 --> 00:00:42.500]  30多年後才回來
[00:00:42.500 --> 00:00:44.500]  你怎樣學會愛中國
[00:00:44.500 --> 00:00:46.500]  港英政府又不會教你
[00:00:46.500 --> 00:00:48.500]  加拿大政府又不會教你
[00:00:48.500 --> 00:00:53.000]  我說我鍾意中國文學歷史
[00:00:53.000 --> 00:00:55.500]  一個鍾意中國文學歷史的人
[00:00:55.500 --> 00:00:57.500]  不可以不愛中國
[00:00:57.500 --> 00:01:01.500]  他立刻讚成
[00:01:01.500 --> 00:01:03.500]  但你可能有些不同的看法
[00:01:03.500 --> 00:01:08.500]  可能你說牧師我對中國文學歷史沒有興趣
[00:01:08.500 --> 00:01:10.500]  有基督徒跟我說
[00:01:10.500 --> 00:01:16.500]  牧師其實我以前對中國福音事供很熱切
[00:01:16.500 --> 00:01:20.500]  但經過最近幾年香港的變動
[00:01:20.500 --> 00:01:23.500]  我這個熱切的心已經沒有了
[00:01:23.500 --> 00:01:26.500]  而且我的中國心都沒有了
[00:01:26.500 --> 00:01:30.500]  今天我要和大家分享這段經文
[00:01:30.500 --> 00:01:34.500]  這段經文能夠提升你對中國的宣教心
[00:01:34.500 --> 00:01:37.500]  無論你對中國文學歷史有沒有興趣
[00:01:37.500 --> 00:01:39.500]  無論你對中國人有沒有興趣
[00:01:39.500 --> 00:01:46.500]  這段經文神的話都會燃點你的心
[00:01:46.500 --> 00:01:49.500]  將你的福音熱切的心帶回來
[00:01:49.500 --> 00:01:56.500]  這段經文是剛才我們讀的《以賽亞書》第66章
[00:01:56.500 --> 00:01:59.500]  你初初看這段經文會覺得很古怪
[00:01:59.500 --> 00:02:01.500]  為什麼羅莫斯會選擇這段經文
[00:02:01.500 --> 00:02:03.500]  其實這段經文很厲害
[00:02:03.500 --> 00:02:09.500]  它講到天堂、講到地獄、講到上帝的公義、講到上帝的慈愛
[00:02:09.500 --> 00:02:12.500]  在這四樣東西的互動當中
[00:02:12.500 --> 00:02:13.500]  你看到什麼?
[00:02:13.500 --> 00:02:15.500]  你看到上帝的激情
[00:02:15.500 --> 00:02:20.500]  他的熱情、他對上帝、對宣教的激情
[00:02:20.500 --> 00:02:22.500]  你看到上帝的宣教心
[00:02:22.500 --> 00:02:26.500]  上帝的宣教心今天我要和大家分享
[00:02:26.500 --> 00:02:29.500]  讓他的心感動、感染你和我
[00:02:29.500 --> 00:02:35.500]  讓我們的宣教心如火挑旺起來
[00:02:35.500 --> 00:02:37.500]  我看了整本聖經
[00:02:37.500 --> 00:02:49.500]  在舊約中,我找到這段經文最清楚表露出上帝的宣教心
[00:02:49.500 --> 00:02:51.500]  如果你找到第二段,你告訴我
[00:02:51.500 --> 00:02:54.500]  我下次在另一間教會講,我會講第二段經文
[00:02:54.500 --> 00:03:00.500]  這段經文在舊約中是最澎湃、最感動我的
[00:03:00.500 --> 00:03:03.500]  這段經文有三方面
[00:03:03.500 --> 00:03:10.500]  三方面關於宣教的要和大家分享
[00:03:10.500 --> 00:03:17.500]  就是他的目的、實踐和成果
[00:03:17.500 --> 00:03:20.500]  今天我們講宣教的三方面
[00:03:20.500 --> 00:03:25.500]  第一,我們看宣教的目的
[00:03:25.500 --> 00:03:31.500]  這張聖經十八節就用一句話來綜合宣教的目的
[00:03:31.500 --> 00:03:38.500]  上帝說:「時後將到,我必將萬民萬眾聚來看見我的榮耀。」
[00:03:38.500 --> 00:03:43.500]  原來宣教的目的就是讓普世的人看到神的榮耀
[00:03:43.500 --> 00:03:49.500]  我自己問自己,我傳福音究竟有什麼動力令我傳福音呢?
[00:03:49.500 --> 00:03:51.500]  為什麼我會去傳福音呢?
[00:03:51.500 --> 00:03:54.500]  我發現我傳福音不是因為我有愛心
[00:03:54.500 --> 00:03:57.500]  我的愛心是有限、很有限
[00:03:57.500 --> 00:04:00.500]  而且人類都不是可愛的
[00:04:00.500 --> 00:04:05.500]  我傳福音的最終動機就是為了榮耀神
[00:04:05.500 --> 00:04:08.500]  為了叫人來看到上帝的榮耀
[00:04:08.500 --> 00:04:12.500]  所以無論你對中國文化是否視飽可愛
[00:04:12.500 --> 00:04:15.500]  你覺得中國人是否可愛
[00:04:15.500 --> 00:04:20.500]  都不應該影響你向中國傳福音的心
[00:04:20.500 --> 00:04:25.500]  因為你是為了叫中國、叫世界來看到上帝的榮耀
[00:04:25.500 --> 00:04:30.500]  所以上帝就說:「時後將到,我必將萬民萬眾聚來看見我的榮耀。」
