
[00:00:00.000 --> 00:00:04.500]  今年的二月十四日是情人節
[00:00:04.500 --> 00:00:10.580]  又剛剛是基督教傳統當中的聖灰日
[00:00:10.580 --> 00:00:14.080]  就開始了大齋祈
[00:00:14.080 --> 00:00:15.840]  什麼叫大齋祈呢?
[00:00:15.840 --> 00:00:19.580]  大齋祈又被稱為御府祈
[00:00:19.580 --> 00:00:21.780]  或者是四巡祈
[00:00:21.780 --> 00:00:24.280]  就是教會傳統當中特別
[00:00:24.280 --> 00:00:29.140]  是拿來想念耶穌基督的受苦
[00:00:29.140 --> 00:00:32.040]  和受死的工作
[00:00:32.040 --> 00:00:33.440]  在這段時間
[00:00:33.440 --> 00:00:38.340]  教會會集中紀念耶穌基督的受難
[00:00:38.340 --> 00:00:41.440]  象徵著寒冬已深
[00:00:41.440 --> 00:00:43.840]  春天將臨
[00:00:43.840 --> 00:00:45.740]  黑夜已臨
[00:00:45.740 --> 00:00:46.740]  已盡
[00:00:46.740 --> 00:00:48.540]  黎明將至
[00:00:48.540 --> 00:00:51.740]  絕望的人可以因為耶穌基督的救贖
[00:00:51.740 --> 00:00:54.040]  可以有盼望
[00:00:54.040 --> 00:00:56.440]  在大齋祈當中
[00:00:56.440 --> 00:01:00.640]  主要的顏色就是紫色
[00:01:00.640 --> 00:01:05.440]  就提醒信徒要去反思、去悔改
[00:01:05.440 --> 00:01:09.340]  耶穌基督是進入耶路撒冷的中樹節
[00:01:09.340 --> 00:01:12.240]  用的顏色就是紅色
[00:01:12.240 --> 00:01:15.340]  受難節就是用黑色
[00:01:15.340 --> 00:01:20.140]  是表明主耶穌基督承受所有人類的罪
[00:01:20.140 --> 00:01:23.240]  而釘死在十字架上
[00:01:23.240 --> 00:01:26.840]  在復活節就是用白色
[00:01:26.840 --> 00:01:28.640]  甚至是金色
[00:01:28.640 --> 00:01:33.740]  是表達著喜樂和盼望
[00:01:33.740 --> 00:01:36.340]  在這四十天當中
[00:01:36.340 --> 00:01:38.540]  基督徒就要學習耶穌基督
[00:01:38.540 --> 00:01:40.640]  在曠野的禁食和祈禱
[00:01:40.640 --> 00:01:43.440]  透過禁食和禱告
[00:01:43.440 --> 00:01:45.040]  刻記
[00:01:45.040 --> 00:01:46.440]  懺悔
[00:01:46.440 --> 00:01:47.940]  節制
[00:01:47.940 --> 00:01:51.540]  常常去審查我們的內心
[00:01:51.540 --> 00:01:54.540]  求主的憐憫、思念主的愛
[00:01:54.540 --> 00:01:57.740]  也體會到世界上有很多貧苦
[00:01:57.740 --> 00:01:59.340]  很有需要的人
[00:01:59.340 --> 00:02:01.340]  因此我們要學習
