
[00:00:00.000 --> 00:00:02.400]  各位帝王姐妹早上平安,
[00:00:02.400 --> 00:00:05.500]  網路的帝王姐妹朋友們很高興再次進到你的家中,
[00:00:05.500 --> 00:00:10.400]  跟你同進來我們的組一同來分享主的話語。
[00:00:10.400 --> 00:00:13.900]  我愛你是一句我們很容易說得出口,
[00:00:13.900 --> 00:00:17.400]  但是卻很難做到的一件事。
[00:00:17.400 --> 00:00:23.600]  要愛一個體貼你、溫柔對待你的人是很容易的事情。
[00:00:23.600 --> 00:00:28.300]  但是如果要愛一個常常挑剔你、批評你、
[00:00:28.300 --> 00:00:30.800]  有空沒空就跟你作對的人,
[00:00:30.800 --> 00:00:34.100]  要愛他的確很不容易。
[00:00:34.100 --> 00:00:37.200]  所以保羅在《格林多前書》第十三章第七節告訴我們說:
[00:00:37.200 --> 00:00:46.300]  「愛是凡事包容,凡事相信,凡事盼望,凡事忍耐。」
[00:00:46.300 --> 00:00:49.500]  夫妻關係也要如此。
[00:00:49.500 --> 00:00:53.000]  最近老張和他太太的關係有點緊張,
[00:00:53.000 --> 00:00:59.000]  有一天他太太就想要來考驗一下她的老公。
[00:00:59.000 --> 00:01:04.200]  就在他們房間的床頭櫃頭上留了一封信,
[00:01:04.200 --> 00:01:06.000]  信上面是這樣寫的:
[00:01:06.000 --> 00:01:11.800]  「老公,我很厭煩啊!我根本不想和你在一起生活,
[00:01:11.800 --> 00:01:14.000]  我決定要離開你。
[00:01:14.000 --> 00:01:19.400]  當你看到這封信的時候,我已經離開這個鬼地方了。」
[00:01:19.400 --> 00:01:26.300]  然後他就想好,看好他丈夫老公回來的時間,
[00:01:26.300 --> 00:01:29.300]  就躲到床底下去,
[00:01:29.300 --> 00:01:33.400]  想要看看他老公的反應會是怎麼樣。
[00:01:33.400 --> 00:01:38.100]  不久以後,老張回來了,顯然看了這封信,
[00:01:38.100 --> 00:01:42.900]  然後看完以後,就在信上留了一行字,
[00:01:42.900 --> 00:01:47.100]  然後就手舞足蹈,歡呼尖叫,
[00:01:47.100 --> 00:01:50.200]  就打開衣櫃,準備要換衣服。
[00:01:50.200 --> 00:01:53.200]  一面換衣服,一面手機電話說:
[00:01:53.200 --> 00:01:59.000]  「親愛的,我要來找你了,他終於走了。」
[00:01:59.000 --> 00:02:02.500]  想起當年我跟他結婚,根本就是瞎了眼,
[00:02:02.500 --> 00:02:06.500]  要是早點認識你的話,該有多好啊!
[00:02:06.500 --> 00:02:09.700]  「Honey,等我。」
[00:02:09.700 --> 00:02:14.600]  手機掛了以後,就離開房間走得出去。
[00:02:14.600 --> 00:02:20.100]  他老婆在床底下哭得死去活來,幾乎要斷氣了。
[00:02:20.100 --> 00:02:26.000]  最後好不容易鼓起勇氣來,想看看到底老公寫了什麼字。
[00:02:26.000 --> 00:02:28.400]  他一看,老張寫的字:
[00:02:28.400 --> 00:02:34.000]  「你白癡啊!我早就看到你的腳了,
[00:02:34.000 --> 00:02:37.900]  我現在出去買晚餐了。」
[00:02:37.900 --> 00:02:45.400]  告訴我旁邊有人說:「愛是凡事包容。」
[00:02:45.400 --> 00:02:47.600]  愛的考驗真的是不容易。
[00:02:47.600 --> 00:02:50.500]  耶穌在地上的時候,帶領十二個門徒,
[00:02:50.500 --> 00:02:54.000]  曾經也經歷了愛的考驗。
[00:02:54.000 --> 00:02:57.300]  想想要帶這十二個門徒,真的不容易。
[00:02:57.300 --> 00:03:01.900]  他們都不是很可愛的人,其中還有爭權奪利,
[00:03:01.900 --> 00:03:05.300]  還有想要出風頭,自以為是的,
[00:03:05.300 --> 00:03:10.400]  還有曾經不久以後三次否認他的人,
[00:03:10.400 --> 00:03:13.200]  加上還有一個要出賣他的。
[00:03:13.200 --> 00:03:17.000]  當耶穌基督面臨這樣一個愛的挑戰的時候,
[00:03:17.000 --> 00:03:22.400]  愛的考驗的時候,他是如何看待這十二個門徒呢?
[00:03:22.400 --> 00:03:25.400]  今天早上我們一起來思想約翰福音第十三章。
[00:03:25.400 --> 00:03:29.500]  我們先從十三章的第一節到第五節,我們一起來看。
