
[00:00:00.000 --> 00:00:02.500]  我記得在年初的時候
[00:00:02.500 --> 00:00:05.500]  不曉得哪個主日
[00:00:05.500 --> 00:00:07.000]  我記得是年初
[00:00:07.000 --> 00:00:08.500]  我在這裡講過
[00:00:08.500 --> 00:00:13.500]  在四月份我會有一個消息向各位報告
[00:00:13.500 --> 00:00:17.000]  我也沒多講
[00:00:17.000 --> 00:00:21.000]  講完之後隔一陣子就有人來問我
[00:00:21.000 --> 00:00:23.500]  是不是你要抱孫子了
[00:00:23.500 --> 00:00:26.000]  我說不是不是
[00:00:26.000 --> 00:00:29.500]  可是那個時候我又不好講什麼事
[00:00:31.000 --> 00:00:34.500]  因為我在09年的六月的時候
[00:00:34.500 --> 00:00:37.000]  發生一個車禍
[00:00:37.000 --> 00:00:39.500]  發生車禍之後
[00:00:39.500 --> 00:00:42.000]  後來我的保險公司律師說
[00:00:42.000 --> 00:00:45.500]  你不要跟任何人討論這車禍的事
[00:00:45.500 --> 00:00:49.500]  那因為他交代我了
[00:00:49.500 --> 00:00:52.000]  我也以前沒有經過這樣的車禍
[00:00:52.000 --> 00:00:54.500]  那我就乖乖聽
[00:00:54.500 --> 00:00:56.000]  禱告費我也不分享
[00:00:56.000 --> 00:00:58.000]  弟兄姐妹我也不多講
[00:00:58.000 --> 00:00:59.500]  我怕我多講嘛
[00:01:01.000 --> 00:01:04.000]  對方的律師到時候
[00:01:04.000 --> 00:01:06.000]  要來控告我的時候
[00:01:06.000 --> 00:01:08.000]  那我一一都要講出來
[00:01:08.000 --> 00:01:10.500]  那講出來的時候萬一有漏洞
[00:01:10.500 --> 00:01:12.500]  問題就很大
[00:01:12.500 --> 00:01:14.000]  所以當時我就沒有
[00:01:14.000 --> 00:01:17.500]  所以09年的六月的車禍
[00:01:17.500 --> 00:01:23.000]  到上個禮拜五
[00:01:23.000 --> 00:01:25.500]  法院才判決
[00:01:25.500 --> 00:01:27.000]  換句話說
[00:01:27.000 --> 00:01:29.500]  在漫長的四年當中
[00:01:31.000 --> 00:01:34.000]  雖然我心中是有喜樂
[00:01:34.000 --> 00:01:36.000]  可喜樂中有陰影
[00:01:36.000 --> 00:01:38.000]  我要坦白這樣說
[00:01:38.000 --> 00:01:40.000]  我不會說我喜樂
[00:01:40.000 --> 00:01:41.000]  全部交給神
[00:01:41.000 --> 00:01:43.000]  沒有錯交給神
[00:01:43.000 --> 00:01:45.000]  可是交給神
[00:01:45.000 --> 00:01:49.000]  我們的憂愁減少一大半
[00:01:49.000 --> 00:01:54.000]  因為我為什麼我今天要
[00:01:54.000 --> 00:01:56.000]  用這樣的一個開頭呢
[00:01:56.000 --> 00:01:59.000]  因為我們講到賈師父的品格
[00:02:00.000 --> 00:02:02.000]  所以賈師父的品格
[00:02:02.000 --> 00:02:04.000]  是從罪惡來的
[00:02:04.000 --> 00:02:08.000]  那我今天要從一些實例
[00:02:08.000 --> 00:02:11.000]  從罪惡來的恐怖的情形
[00:02:11.000 --> 00:02:13.000]  來跟各位分享
[00:02:13.000 --> 00:02:15.000]  你我都活在
