
[00:00:00.000 --> 00:00:03.360]  教會在15、16年的主題是
[00:00:03.360 --> 00:00:06.600]  「恩賜盡顯 生命成全」
[00:00:06.600 --> 00:00:09.320]  上年我講到主要的內容就是
[00:00:09.320 --> 00:00:12.600]  講及在聖經裏面講有關恩賜的經文
[00:00:12.600 --> 00:00:14.400]  我們弟兄姊妹都要認識一下
[00:00:14.400 --> 00:00:16.600]  自己所領受的恩賜
[00:00:16.600 --> 00:00:18.360]  恩賜包括可以是財幹
[00:00:18.360 --> 00:00:20.080]  或者上帝給我們的負擔
[00:00:20.080 --> 00:00:22.000]  有時是上帝給我們的光景
[00:00:22.000 --> 00:00:23.920]  我們各人都有不同的遺憤
[00:00:23.920 --> 00:00:25.400]  但都可以給主使用
[00:00:25.400 --> 00:00:28.240]  今年我是會用聖經裏面一些人物
[00:00:28.240 --> 00:00:30.040]  來講生命成全
[00:00:30.040 --> 00:00:32.000]  這些人物我叫小人物
[00:00:32.000 --> 00:00:34.640]  留意不是小人 是小人物
[00:00:34.640 --> 00:00:36.480]  即是他們不是差的人
[00:00:36.480 --> 00:00:37.960]  不過是鮮為人知
[00:00:37.960 --> 00:00:40.360]  或者我們較為少接觸的
[00:00:40.360 --> 00:00:43.680]  嘗試來講盡量先講舊約
[00:00:43.680 --> 00:00:45.360]  有時如果可以的話
[00:00:45.360 --> 00:00:47.440]  就講一下新約的人物
[00:00:47.440 --> 00:00:52.680]  在開始的時候交代一下經文的背景
[00:00:52.680 --> 00:00:54.880]  我們如果熟悉猶太人的歷史
[00:00:54.880 --> 00:00:58.760]  就會知道曾經在素羅王
[00:00:58.760 --> 00:01:01.160]  到大衛王 到所羅門王之後
[00:01:01.160 --> 00:01:03.280]  有南北國分開
[00:01:03.280 --> 00:01:05.400]  北國就叫以色列
[00:01:05.400 --> 00:01:07.400]  南國就叫猶太
[00:01:07.400 --> 00:01:12.600]  在主前852年至841年的期間
[00:01:12.600 --> 00:01:13.960]  北國以色列
[00:01:13.960 --> 00:01:19.440]  這個約蘭王受到亞蘭國不斷的壓迫
[00:01:19.440 --> 00:01:25.040]  最終在主前722年敗於亞述
[00:01:25.040 --> 00:01:26.560]  120年之後
[00:01:26.560 --> 00:01:28.800]  就是主前598年
[00:01:28.800 --> 00:01:30.840]  猶太的南國
[00:01:30.840 --> 00:01:34.400]  亦都面臨好像北國的遭遇一樣
[00:01:34.400 --> 00:01:37.280]  不過他們被哪個國家侵略呢
[00:01:37.280 --> 00:01:38.760]  就是巴比倫
[00:01:38.760 --> 00:01:41.120]  在主前598年已經侵略
[00:01:41.120 --> 00:01:46.760]  但直至到586年的時候就亡國
[00:01:46.760 --> 00:01:48.560]  在這個國難當前
[00:01:48.560 --> 00:01:50.440]  上帝對他的子民
[00:01:50.440 --> 00:01:52.720]  其實仍然是不離不棄
[00:01:52.720 --> 00:01:54.400]  無論在北國的時代也好
[00:01:54.400 --> 00:01:56.000]  在南國的時代也好
[00:01:56.000 --> 00:01:59.200]  上帝他揀選不一樣的僕人
[00:01:59.200 --> 00:02:02.640]  承擔著不一樣的使命
[00:02:02.640 --> 00:02:08.280]  叫以色列民可以來回轉悔改
[00:02:08.280 --> 00:02:10.760]  不需要遭受到刑罰
[00:02:10.760 --> 00:02:12.360]  只不過以色列人
[00:02:12.360 --> 00:02:14.040]  包括當時的領袖
[00:02:14.040 --> 00:02:17.080]  很多的先知 祭司 君王
[00:02:17.080 --> 00:02:19.200]  似乎都不聽勸
[00:02:19.200 --> 00:02:21.480]  仍然是行在惡中
[00:02:21.480 --> 00:02:23.920]  所以上帝就要將刑罰臨到
[00:02:23.920 --> 00:02:27.120]  今天我要介紹的是巴祿
[00:02:27.120 --> 00:02:30.960]  巴祿是耶利米一個很重要的
[00:02:30.960 --> 00:02:33.400]  你可以看他為一個助手也好
[00:02:33.400 --> 00:02:35.160]  一個我們今天的說話
[00:02:35.160 --> 00:02:36.280]  同工也好
[00:02:36.280 --> 00:02:38.880]  剛才我們讀的36章第一第二節
[00:02:38.880 --> 00:02:40.120]  告訴我們
[00:02:40.120 --> 00:02:43.560]  耶和華就吩咐耶利米要記錄他的說話
[00:02:43.560 --> 00:02:47.480]  猶大王約西亞的兒子約阿敬第四年
[00:02:47.480 --> 00:02:49.520]  耶和華的話就臨到耶利米說
[00:02:49.520 --> 00:02:50.920]  你取一書卷
[00:02:50.920 --> 00:02:54.360]  將我對你說攻擊以色列和猶大
[00:02:54.360 --> 00:02:56.400]  並各國的一切話
[00:02:56.400 --> 00:02:58.680]  從我對你說話的那一天
[00:02:58.680 --> 00:03:01.080]  就是從約西亞的日子起
[00:03:01.080 --> 00:03:04.400]  直到今天都寫在旗上
[00:03:04.400 --> 00:03:07.720]  上帝吩咐耶利米記得一些說話
[00:03:07.720 --> 00:03:09.520]  那些說話就是上帝跟他說的
[00:03:09.520 --> 00:03:10.840]  由何時開始記呢
[00:03:10.840 --> 00:03:12.880]  就是他夢照的時候
[00:03:12.880 --> 00:03:14.080]  他何時夢照
[00:03:14.080 --> 00:03:15.600]  如果我們翻查一下歷史
[00:03:15.600 --> 00:03:17.280]  你可以看到一些年份
[00:03:17.280 --> 00:03:18.880]  約西亞何時作王呢
[00:03:18.880 --> 00:03:22.960]  就是主前640年至609年
[00:03:22.960 --> 00:03:25.600]  而耶利米是在主前627年
[00:03:25.600 --> 00:03:27.360]  夢照做先知的
[00:03:27.360 --> 00:03:29.760]  當時他就開始領受上帝的說話
[00:03:29.760 --> 00:03:34.320]  預言猶大國的下場會怎樣
[00:03:34.320 --> 00:03:36.560]  他們要參考北角的例子
[00:03:36.560 --> 00:03:40.080]  如果百姓繼續在中間對彼此行惡
[00:03:40.080 --> 00:03:41.400]  欺負孤兒寡婦
[00:03:41.400 --> 00:03:43.280]  不行正直沒有誠實
[00:03:43.280 --> 00:03:45.480]  並且敬拜別臣
[00:03:45.480 --> 00:03:47.800]  殘害自己子民的時候
[00:03:47.800 --> 00:03:48.480]  為何會殘害呢
[00:03:48.480 --> 00:03:50.520]  因為他們要獻自己的子女
[00:03:50.520 --> 00:03:53.160]  結局就好像北角一樣
[00:03:53.160 --> 00:03:58.120]  他警告猶大
[00:03:58.120 --> 00:04:01.960]  直至約阿敬王第四年
[00:04:01.960 --> 00:04:03.400]  約阿敬何時登基呢
[00:04:03.400 --> 00:04:05.680]  就是主前689年
[00:04:05.680 --> 00:04:07.880]  689年之前有一個皇帝叫約哈斯
[00:04:07.880 --> 00:04:09.600]  只是做了皇帝三個月
[00:04:09.600 --> 00:04:12.080]  就到約阿敬了
[00:04:12.080 --> 00:04:14.960]  第四年即是主前605年
[00:04:14.960 --> 00:04:15.920]  在23年來
[00:04:15.920 --> 00:04:18.040]  上帝藉著耶利米所說的話
[00:04:18.040 --> 00:04:20.040]  他就要耶利米記下
[00:04:20.040 --> 00:04:21.160]  記下他的目的是甚麼呢
[00:04:21.160 --> 00:04:22.680]  第三節告訴我們
[00:04:22.680 --> 00:04:24.360]  或者由大家聽見
[00:04:24.360 --> 00:04:26.800]  我想要降禦他們的一切災禍
[00:04:26.800 --> 00:04:29.160]  個人就回頭離開惡道
[00:04:29.160 --> 00:04:32.320]  我好赦免他們的罪孽和罪惡
[00:04:32.320 --> 00:04:34.080]  上帝要耶利米記下
[00:04:34.080 --> 00:04:35.600]  都是很想那些百姓
[00:04:35.600 --> 00:04:37.040]  很想那些子民
[00:04:37.040 --> 00:04:39.040]  來迴轉悔改
[00:04:39.040 --> 00:04:40.760]  轉移他們的惡行
[00:04:40.760 --> 00:04:44.720]  以至上帝不再將災禍降給他們
[00:04:44.720 --> 00:04:46.680]  耶利米聽了之後
[00:04:46.680 --> 00:04:47.800]  第四節
[00:04:47.800 --> 00:04:49.200]  所以耶利米
[00:04:49.200 --> 00:04:51.880]  召了尼利亞的兒子巴祿來
[00:04:51.880 --> 00:04:54.000]  巴祿就從耶利米的口中
[00:04:54.000 --> 00:04:56.800]  將耶華對耶利米所說的一切話
[00:04:56.800 --> 00:04:58.880]  寫在書卷上
[00:04:58.880 --> 00:05:01.800]  你看到耶利米不是親自記載
[00:05:01.800 --> 00:05:03.600]  上帝明明吩咐他記載
[00:05:03.600 --> 00:05:04.560]  但他不是
[00:05:04.560 --> 00:05:08.640]  他找來一個人叫巴祿幫他寫
[00:05:08.640 --> 00:05:11.160]  他為何要找巴祿幫他寫呢?
[00:05:11.160 --> 00:05:12.200]  第五節七節
[00:05:12.200 --> 00:05:14.440]  告訴我們一些原因
[00:05:14.440 --> 00:05:15.480]  第五節
[00:05:15.480 --> 00:05:17.400]  耶利米吩咐巴祿說
[00:05:17.400 --> 00:05:19.920]  「我被驅管」
[00:05:19.920 --> 00:05:22.840]  「不能進耶和華的殿」
[00:05:22.840 --> 00:05:25.080]  即是我被軟禁
[00:05:25.080 --> 00:05:26.440]  或者限制
[00:05:26.440 --> 00:05:28.640]  我不可以進入耶華的殿
[00:05:28.640 --> 00:05:30.160]  不可以進入耶華的殿
[00:05:30.160 --> 00:05:31.640]  你仍然可以寫
[00:05:31.640 --> 00:05:32.560]  但原來是怎樣呢?
[00:05:32.560 --> 00:05:33.240]  第六節
[00:05:33.240 --> 00:05:35.480]  所以你要趁禁食的日子
[00:05:35.480 --> 00:05:37.960]  在耶華殿中將耶和華的話
[00:05:37.960 --> 00:05:41.320]  就是你從我口中所寫在書卷上的話
[00:05:41.320 --> 00:05:46.360]  念給百姓和一切從猶大城邑出來的人聽
[00:05:46.360 --> 00:05:49.560]  或者他們在耶華面前懇求各人回頭
[00:05:49.560 --> 00:05:50.720]  離開惡道
[00:05:50.720 --> 00:05:54.640]  因為耶華向這百姓所說要發的怒氣
[00:05:54.640 --> 00:05:56.800]  和憤怒是大的
[00:05:56.800 --> 00:05:59.920]  原來上帝要耶利米寫下之後
[00:05:59.920 --> 00:06:01.200]  不只是寫下
[00:06:01.200 --> 00:06:04.200]  還要念給百姓聽
[00:06:04.200 --> 00:06:11.120]  還要入耶華的殿念給所有聚集的人聽
[00:06:11.120 --> 00:06:12.840]  耶利米自己不能進入
[00:06:12.840 --> 00:06:14.440]  所以祂要找一個人
[00:06:14.440 --> 00:06:16.720]  是可以「騰祿低」的
[00:06:16.720 --> 00:06:19.440]  並且「騰祿低」的時候祂就熟習了
[00:06:19.440 --> 00:06:23.440]  祂熟習的時候就宣講了
[00:06:23.440 --> 00:06:26.160]  這是三十六章五至七節告訴你
[00:06:26.160 --> 00:06:29.720]  耶利米找巴祿做書記
[00:06:29.720 --> 00:06:31.280]  不單要做書記
[00:06:31.280 --> 00:06:33.560]  並且要做他的代言人
[00:06:33.560 --> 00:06:37.520]  去到聖殿當中宣告上帝的說話
[00:06:37.520 --> 00:06:39.920]  為什麼耶利米會被驅趕呢?
[00:06:39.920 --> 00:06:42.040]  究竟耶利米有什麼遭遇
[00:06:42.040 --> 00:06:43.440]  發生什麼事
[00:06:43.440 --> 00:06:47.000]  要被人排擠在聖殿之外
[00:06:47.000 --> 00:06:48.560]  不再能夠進入聖殿呢?
[00:06:48.560 --> 00:06:50.520]  我們要看一段經文
[00:06:50.520 --> 00:06:52.960]  那段經文告訴我們發生什麼事
[00:06:52.960 --> 00:06:55.680]  耶利米書第26章一至十一節
[00:06:55.680 --> 00:06:57.440]  其實還有另一章
[00:06:57.440 --> 00:06:59.200]  就是第七章一至十一節
[00:06:59.200 --> 00:07:01.080]  不過我們沒時間看那麼多經文
[00:07:01.080 --> 00:07:02.880]  我們只看26章
[00:07:02.880 --> 00:07:05.680]  先看一至七節聽我讀
[00:07:05.680 --> 00:07:10.920]  猶太王約西亞的兒子約阿敬登基的時候
[00:07:10.920 --> 00:07:15.320]  有者說從耶和華臨到耶利米說
[00:07:15.320 --> 00:07:16.880]  耶和華如此說
[00:07:16.880 --> 00:07:19.880]  你站在耶和華殿的院內
[00:07:19.880 --> 00:07:22.440]  對猶大眾誠一般的人
[00:07:22.440 --> 00:07:25.280]  就是到耶和華殿來禮拜的
[00:07:25.280 --> 00:07:27.840]  說我所吩咐你的一切話
[00:07:27.840 --> 00:07:30.280]  一字都不可刪減
[00:07:30.280 --> 00:07:33.920]  或者他們肯聽從我個人回頭離開惡道
[00:07:33.920 --> 00:07:39.400]  使我後悔不將我因他們所行的惡
[00:07:39.400 --> 00:07:42.600]  想要施行的災禍降於他們
[00:07:42.600 --> 00:07:44.960]  留意後悔的意思不是他做錯
[00:07:44.960 --> 00:07:49.160]  後悔的意思是他不想這樣做
[00:07:49.160 --> 00:07:50.520]  要他轉念
[00:07:50.520 --> 00:07:53.360]  上帝也想將他說的話收回
[00:07:53.360 --> 00:07:54.680]  他想收回成名
[00:07:54.680 --> 00:07:56.680]  不過條件是他們要悔改
[00:07:56.680 --> 00:07:58.120]  第四節
[00:07:58.120 --> 00:07:59.520]  你要對他們說
[00:07:59.520 --> 00:08:01.080]  耶和華如此說
[00:08:01.080 --> 00:08:02.920]  你們若不聽從我
[00:08:02.920 --> 00:08:06.400]  不遵行我設立在你們面前的律法
