
[00:00:00.000 --> 00:00:22.000]  聖誕節了,來了
[00:00:22.000 --> 00:00:29.000]  所以今天我們的題目叫做與神相遇
[00:00:29.000 --> 00:00:37.000]  與神相遇,聖誕節紀念我們的神來到我們人類的人間
[00:00:37.000 --> 00:00:42.000]  與神相遇真的是基督教跟其他的宗教
[00:00:42.000 --> 00:00:45.000]  尤其是我們的東方的宗教最大不同的地方
[00:00:45.000 --> 00:00:49.000]  我們東方的宗教基本上是一種自我的體驗
[00:00:49.000 --> 00:00:55.000]  自我的超越,或者是透過修煉,透過修養,自我超越
[00:00:55.000 --> 00:01:03.000]  這是非常好的宗教人生哲學裡面的教訓
[00:01:03.000 --> 00:01:05.000]  非常非常的好
[00:01:05.000 --> 00:01:10.000]  但是基督教在聖經裡面所寫的
[00:01:10.000 --> 00:01:15.000]  基本上不是提議我們怎麼可以自我修養,自我修煉的
[00:01:15.000 --> 00:01:19.000]  基督教的聖經從創世紀一直到啟示錄
[00:01:19.000 --> 00:01:24.000]  充滿了人與神相遇的經驗
[00:01:24.000 --> 00:01:28.000]  神跟祂所創造的人
[00:01:28.000 --> 00:01:32.000]  透過不同的方法,不同的人生的機遇裡面
[00:01:32.000 --> 00:01:34.000]  不斷的跟祂相遇
[00:01:34.000 --> 00:01:37.000]  我們的神是一個活的真實神
[00:01:37.000 --> 00:01:39.000]  不是單單是我們心裡面一種的
[00:01:39.000 --> 00:01:42.000]  一種自我的修養裡面一種的假洩
[00:01:42.000 --> 00:01:44.000]  或者是一種的想像
[00:01:44.000 --> 00:01:46.000]  祂是真的在那裡
[00:01:46.000 --> 00:01:50.000]  然後祂不單單是透過祂自己的存在
[00:01:50.000 --> 00:01:52.000]  就超越了存在那裡
[00:01:52.000 --> 00:01:58.000]  祂還很願意將祂自己的生命與祂所創造的人
[00:01:58.000 --> 00:02:01.000]  在祂的人生當中,不同的人的生命當中
[00:02:01.000 --> 00:02:03.000]  用不同的方法來相遇
[00:02:03.000 --> 00:02:07.000]  我們不斷有機會跟我們所創造的神相遇
[00:02:07.000 --> 00:02:10.000]  有些人相遇的時候認識了祂
[00:02:10.000 --> 00:02:12.000]  以後祂的人生就完全的改變
[00:02:12.000 --> 00:02:14.000]  這個就是基督徒了
[00:02:14.000 --> 00:02:18.000]  所以這個經驗是非常非常重要的經驗
[00:02:18.000 --> 00:02:23.000]  所以今天我就跟大家在聖經裡面拿了四個個案
[00:02:23.000 --> 00:02:25.000]  剛才我們所念的聖經還是蠻長的
[00:02:25.000 --> 00:02:27.000]  你看很不同的聖經
[00:02:27.000 --> 00:02:33.000]  因為在三個地方就表達了這樣的不同的人生經驗
[00:02:33.000 --> 00:02:36.000]  那麼這三個經驗是怎樣的經驗呢
[00:02:36.000 --> 00:02:41.000]  我們今天就每一個簡單的把它勾掛出來
[00:02:41.000 --> 00:02:43.000]  然後我們看看它的意思是什麼
[00:02:43.000 --> 00:02:46.000]  所以很有意思,三個不同的故事
[00:02:46.000 --> 00:02:48.000]  三個不同的人生
[00:02:48.000 --> 00:02:53.000]  第一個是關於摩西,舊約裡面的摩西
[00:02:53.000 --> 00:02:57.000]  第二個剛才我們所念的出於舊約的先知的書
[00:02:57.000 --> 00:02:59.000]  叫做哈巴古書
[00:02:59.000 --> 00:03:02.000]  那是哈巴古先知的人生
[00:03:02.000 --> 00:03:06.000]  第三個的新約就是那些門徒所基於的
[00:03:06.000 --> 00:03:09.000]  他所經驗的在海上面
[00:03:09.000 --> 00:03:13.000]  怎樣碰到遇見耶穌
[00:03:13.000 --> 00:03:16.000]  這三個不同的很不同的記載
[00:03:16.000 --> 00:03:18.000]  不同的人
[00:03:18.000 --> 00:03:23.000]  不同的體驗都帶來了他們人生的很大的改變
[00:03:23.000 --> 00:03:26.000]  所以我加了一個題目就不再一樣
[00:03:26.000 --> 00:03:28.000]  我希望我們聽了以後
[00:03:28.000 --> 00:03:31.000]  當然今天或者以後你的人生當中
[00:03:31.000 --> 00:03:33.000]  神跟你相遇的時候
[00:03:33.000 --> 00:03:36.000]  帶來可能完全不同的情況
[00:03:36.000 --> 00:03:38.000]  完全不同的經驗
[00:03:38.000 --> 00:03:40.000]  不過一樣的方向
