
[00:00:00.000 --> 00:00:05.420]  今天來到《約翰一書》的最後一講
[00:00:05.420 --> 00:00:09.120]  我們都繼續願意上帝藉著祂自己的恩賢
[00:00:09.120 --> 00:00:11.300]  來牧養我們的生命
[00:00:11.300 --> 00:00:15.760]  讓我們大家翻開崇拜的程序表
[00:00:15.760 --> 00:00:19.600]  《約翰一書》五章十八至二十一節
[00:00:19.600 --> 00:00:20.540]  找到的時候
[00:00:20.540 --> 00:00:24.200]  我請弟兄姊妹跟我一起去重讀這四節的經文
[00:00:24.200 --> 00:00:26.400]  好嗎?
[00:00:26.400 --> 00:00:32.760]  一二三,我們知道凡從神生的必不犯罪
[00:00:32.760 --> 00:00:36.600]  從神生的那一位必保守他
[00:00:36.600 --> 00:00:40.160]  那邪惡者無法加害於他
[00:00:40.160 --> 00:00:43.300]  我們知道我們是屬神的
[00:00:43.300 --> 00:00:48.560]  而全世界都服在那邪惡者的權勢之下
[00:00:48.560 --> 00:00:52.400]  我們知道神的義子已經來到
[00:00:52.400 --> 00:00:55.560]  並且將悟性賜給我們
[00:00:55.560 --> 00:00:58.400]  使我們認識那位真實者
[00:00:58.400 --> 00:01:01.640]  我們也在那位真實者裡面
[00:01:01.640 --> 00:01:05.200]  就是在他兒子耶穌基督裡面
[00:01:05.200 --> 00:01:08.500]  這是真實,也是永生
[00:01:08.500 --> 00:01:12.300]  孩子們,你們要遠避偶像
[00:01:12.300 --> 00:01:14.560]  讓我們一起在神面前禱告
[00:01:14.560 --> 00:01:17.400]  求主引導我們以下的時間
[00:01:17.400 --> 00:01:19.200]  天父,我們很感謝祢
[00:01:19.200 --> 00:01:21.500]  讓我們在忙碌的生活當中
[00:01:21.500 --> 00:01:24.960]  今天的早上又可以回到祢的庚前
[00:01:24.960 --> 00:01:27.500]  去聆聽祢自己的道
[00:01:27.500 --> 00:01:29.700]  主,祢的道是生命
[00:01:29.700 --> 00:01:34.400]  在祢面前,我們帶著淌開和謙卑的心
[00:01:34.400 --> 00:01:37.800]  求主,祢今天的早上藉著祢自己的信息
[00:01:37.800 --> 00:01:40.900]  來去建立我們的生命
[00:01:40.900 --> 00:01:44.000]  主,我們在這個世俗的環境當中
[00:01:44.000 --> 00:01:46.600]  我們真的面對很多的衝擊
[00:01:46.600 --> 00:01:48.600]  我們很需要祢幫助我們
[00:01:48.600 --> 00:01:49.900]  去建立我們
[00:01:49.900 --> 00:01:52.100]  叫我們能夠站立得穩
[00:01:52.100 --> 00:01:54.500]  以致我們再見祢面的時候
[00:01:54.500 --> 00:01:58.600]  主,祢能夠說我們是良善忠心的僕人
[00:01:58.600 --> 00:02:00.700]  主,我們很需要祢的恩典
[00:02:00.700 --> 00:02:01.900]  求祢幫助我們
