
[00:00:00.000 --> 00:00:02.520]  今天我們一個新的系列
[00:00:02.520 --> 00:00:04.520]  仍然是和家庭有關的
[00:00:04.520 --> 00:00:06.520]  不過這個系列比較講的是
[00:00:06.520 --> 00:00:10.000]  怎樣將信仰帶回到我們的家庭裏面
[00:00:10.000 --> 00:00:13.280]  在第一課的時候我們會看一篇詩篇
[00:00:13.280 --> 00:00:15.280]  當然今天後面那裏沒有了
[00:00:15.280 --> 00:00:17.080]  但程序單上面都有的
[00:00:17.080 --> 00:00:23.560]  這篇詩篇是詩篇127篇
[00:00:23.560 --> 00:00:25.560]  這篇詩篇是很特別的
[00:00:25.560 --> 00:00:27.880]  因為這篇詩篇
[00:00:27.880 --> 00:00:31.000]  當我去看和預備的時候
[00:00:31.000 --> 00:00:33.640]  發覺這篇詩篇裏面所講到的
[00:00:33.640 --> 00:00:35.640]  一些屬靈原則也好
[00:00:35.640 --> 00:00:37.160]  一些真理也好
[00:00:37.160 --> 00:00:42.320]  其實它裏面的內容之豐富
[00:00:42.320 --> 00:00:45.760]  這篇詩篇本身可以成為一個系列的講道
[00:00:45.760 --> 00:00:47.760]  但因為今天時間的緣故
[00:00:47.760 --> 00:00:52.080]  我只是將裏面一些比較重要的原則
[00:00:52.080 --> 00:00:54.840]  可以拿出來和大家分享
[00:00:54.840 --> 00:00:56.840]  亦是彼此的一個提醒
[00:00:56.840 --> 00:00:58.840]  只不過分兩點和大家分享
[00:00:58.840 --> 00:01:01.640]  第一點這篇詩篇大概分兩部分
[00:01:01.640 --> 00:01:03.640]  第一部分就是第一和第二節
[00:01:03.640 --> 00:01:05.640]  那裏給我一個很好的提醒
[00:01:05.640 --> 00:01:09.960]  就是避免一些沒有價值沒有意義的操勞
[00:01:09.960 --> 00:01:13.320]  很多時候人生是很苦很辛苦的
[00:01:13.320 --> 00:01:15.320]  花很多時間精力去做一些事
[00:01:15.320 --> 00:01:19.680]  但有時我們做的未必是我們想像中那麼有價值
[00:01:19.680 --> 00:01:20.920]  或者那麼值得的
[00:01:20.920 --> 00:01:25.120]  所以避免一些毫無價值毫無意義的操勞
[00:01:25.120 --> 00:01:28.120]  詩篇127篇一到二節是這樣說的
[00:01:28.120 --> 00:01:31.800]  若不是耶和華建造房屋
[00:01:31.800 --> 00:01:34.960]  建造的人就枉然勞力
[00:01:34.960 --> 00:01:38.360]  若不是耶和華看守城池
[00:01:38.360 --> 00:01:41.640]  看守的人就枉然警醒
[00:01:41.640 --> 00:01:44.720]  你們清晨早起
[00:01:44.720 --> 00:01:46.720]  夜晚安歇
