
[00:00:00.000 --> 00:00:05.000]  那不如我們先低頭祈禱吧
[00:00:05.000 --> 00:00:10.000]  天父說我們今天是2023年的最後一天
[00:00:10.000 --> 00:00:11.000]  我們感恩
[00:00:11.000 --> 00:00:13.000]  我們可以在最後一天的時候
[00:00:13.000 --> 00:00:16.000]  我們都可以在你的殿中一齊去敬拜
[00:00:16.000 --> 00:00:21.000]  回想我們在今年或者以往所過的日子當中
[00:00:21.000 --> 00:00:25.000]  無論是高潮或者是低谷
[00:00:25.000 --> 00:00:27.000]  你都是與我們同在
[00:00:27.000 --> 00:00:31.000]  你帶領我們 你親自的扶持我們
[00:00:31.000 --> 00:00:33.000]  你也將恩典給我們
[00:00:33.000 --> 00:00:35.000]  正正是因為你的恩典
[00:00:35.000 --> 00:00:38.000]  我們走過每天的日子
[00:00:38.000 --> 00:00:41.000]  我們好像聖經所說
[00:00:41.000 --> 00:00:43.000]  用恩典為年歲的冠冕
[00:00:43.000 --> 00:00:45.000]  我們所走過的路徑
[00:00:45.000 --> 00:00:47.000]  都滴下你蒙福的自由
[00:00:47.000 --> 00:00:48.000]  我們獻上感恩
[00:00:48.000 --> 00:00:51.000]  我們將榮耀重贊歸給你
[00:00:51.000 --> 00:00:54.000]  因為正如我們剛才所唱的詩歌
[00:00:54.000 --> 00:00:57.000]  唯有你在這個世界上面
[00:00:57.000 --> 00:01:01.000]  可以稱得上道路 真理和生命
[00:01:01.000 --> 00:01:04.000]  正正因為你就是唯一的神
[00:01:04.000 --> 00:01:06.000]  我們也將我們的生命
[00:01:06.000 --> 00:01:08.000]  再一次交到你的手中
[00:01:08.000 --> 00:01:09.000]  願你帶領
[00:01:09.000 --> 00:01:11.000]  奉耶穌基督的名祈求
[00:01:11.000 --> 00:01:14.000]  阿們
[00:01:14.000 --> 00:01:19.000]  今天就是2023年最後一天
[00:01:19.000 --> 00:01:24.000]  也是這個課題 或者是這個系列
[00:01:24.000 --> 00:01:27.000]  生命中九個重要的問題
[00:01:27.000 --> 00:01:30.000]  第九課 最後一課
[00:01:30.000 --> 00:01:33.000]  今天的題目就是 救贖何處尋
[00:01:33.000 --> 00:01:35.000]  一說到救贖的時候
[00:01:35.000 --> 00:01:38.000]  不知道你有什麼觀念
[00:01:38.000 --> 00:01:41.000]  可能你回教會一段時間的時候
[00:01:41.000 --> 00:01:42.000]  一說到救贖
[00:01:42.000 --> 00:01:45.000]  可能你也會覺得 我也知道
[00:01:45.000 --> 00:01:51.000]  牧師也是說這樣的內容
[00:01:51.000 --> 00:01:53.000]  今天想從比較
[00:01:53.000 --> 00:01:55.000]  首先開始的時候
[00:01:55.000 --> 00:01:57.000]  想從一個比較寬一點
[00:01:57.000 --> 00:01:58.000]  或者是寬一點的角度
[00:01:58.000 --> 00:02:02.000]  去想救贖
[00:02:02.000 --> 00:02:04.000]  當我查字典的時候
[00:02:04.000 --> 00:02:06.000]  救贖這個字
[00:02:06.000 --> 00:02:10.000]  當然是基督教的
[00:02:10.000 --> 00:02:12.000]  很重要講的一個課題
[00:02:12.000 --> 00:02:15.000]  但是如果你查字典的救贖是什麼意思
[00:02:15.000 --> 00:02:18.000]  The act process on an instant
[00:02:18.000 --> 00:02:23.000]  to offset or compensate for a defect
[00:02:23.000 --> 00:02:25.000]  如果中文的翻譯
[00:02:25.000 --> 00:02:26.000]  我的翻譯就是說
[00:02:26.000 --> 00:02:28.000]  在一些行動或者過程
[00:02:28.000 --> 00:02:30.000]  或者經過一件事
[00:02:30.000 --> 00:02:32.000]  你都可以挽回
[00:02:32.000 --> 00:02:37.000]  嘗試去補償一些以往的過失
[00:02:37.000 --> 00:02:38.000]  救贖這個觀念
[00:02:38.000 --> 00:02:42.000]  觀念本身當然從聖經的角度
[00:02:42.000 --> 00:02:43.000]  當然講到罪
[00:02:43.000 --> 00:02:46.000]  耶穌的救贖是非常之重要
[00:02:46.000 --> 00:02:47.000]  我們稍後也會講
[00:02:47.000 --> 00:02:50.000]  但是如果從寬一點的角度
[00:02:50.000 --> 00:02:51.000]  去看的時候
[00:02:51.000 --> 00:02:56.000]  救贖之所以有人對於救贖
[00:02:56.000 --> 00:02:59.000]  其實是有一種渴望的
[00:02:59.000 --> 00:03:02.000]  因為在我們人生的過程當中
[00:03:02.000 --> 00:03:04.000]  難免我們會經歷到
[00:03:04.000 --> 00:03:07.000]  有一些事情我們感覺到遺憾
[00:03:07.000 --> 00:03:09.000]  需要挽回
[00:03:09.000 --> 00:03:11.000]  或者想去挽回
