
[00:00:00.000 --> 00:00:07.720]  感謝神在農曆新年帶領我們回到聖殿中敬拜主
[00:00:07.720 --> 00:00:11.720]  是何等美好,是何等的蒙福
[00:00:11.720 --> 00:00:18.720]  在這個時候,我祝大家身體健康,很重要
[00:00:18.720 --> 00:00:22.720]  另外祝大家靈明,都是豐富的
[00:00:22.720 --> 00:00:27.720]  更加在今後的一年,更多的愛神愛人
[00:00:27.720 --> 00:00:31.720]  願神親自賜福我們每一個
[00:00:31.720 --> 00:00:34.720]  不知道大家知不知道
[00:00:34.720 --> 00:00:39.720]  耶穌基督在世上根據四福音書的記載
[00:00:39.720 --> 00:00:44.720]  祂說什麼主題是最多的呢?
[00:00:44.720 --> 00:00:47.720]  透過一些四福音的篇幅
[00:00:47.720 --> 00:00:52.720]  我們留意到,有些主題祂說得很多
[00:00:52.720 --> 00:00:55.720]  排第一位是哪一樣呢?
[00:00:55.720 --> 00:00:59.720]  大家知不知道呢?有沒有想過呢?
[00:00:59.720 --> 00:01:02.720]  根據一些學者告訴我們
[00:01:02.720 --> 00:01:07.720]  排第一位的就是神的國
[00:01:07.720 --> 00:01:10.720]  天國,Kingdom of God
[00:01:10.720 --> 00:01:12.720]  這也是很重要的
[00:01:12.720 --> 00:01:14.720]  當我們讀聖經,讀四福音的時候
[00:01:14.720 --> 00:01:17.720]  都看見耶穌基督常常說天國天國來到
[00:01:17.720 --> 00:01:20.720]  所以是真的排第一位的
[00:01:20.720 --> 00:01:22.720]  篇幅是最多的
[00:01:22.720 --> 00:01:30.720]  那排第二位是什麼主題呢?
[00:01:30.720 --> 00:01:33.720]  就是今天我們所說的題目
[00:01:33.720 --> 00:01:37.720]  說金錢有關的
[00:01:37.720 --> 00:01:40.720]  原來耶穌在世上的教導講道
[00:01:40.720 --> 00:01:42.720]  很多是和錢有關的
[00:01:42.720 --> 00:01:45.720]  和奉獻有關的
[00:01:45.720 --> 00:01:47.720]  篇幅不少
[00:01:47.720 --> 00:01:49.720]  排第二位
[00:01:49.720 --> 00:01:52.720]  是不是我們有些意料之外呢?
[00:01:52.720 --> 00:01:55.720]  耶穌很屬靈的,說天國的事
[00:01:55.720 --> 00:01:56.720]  屬靈的事
[00:01:56.720 --> 00:01:59.720]  但是原來祂也說很多關於錢
[00:01:59.720 --> 00:02:03.720]  祂不會嫌棄錢好像很俗
[00:02:03.720 --> 00:02:07.720]  祂也去講解,幫助人去認識
[00:02:07.720 --> 00:02:09.720]  所以很重要的,弟兄姊妹
[00:02:09.720 --> 00:02:13.720]  今天是奉獻的主日
[00:02:13.720 --> 00:02:18.720]  希望大家仍然在歡樂的日子裡
[00:02:18.720 --> 00:02:20.720]  也稍微鑽研一下
[00:02:20.720 --> 00:02:23.720]  想想一些錢的事
[00:02:23.720 --> 00:02:26.720]  也盼望弟兄姊妹也原諒我
[00:02:26.720 --> 00:02:28.720]  在一個這麼開心快樂的日子裡
[00:02:28.720 --> 00:02:30.720]  突然間又說錢
[00:02:30.720 --> 00:02:32.720]  不過也是很真實
[00:02:32.720 --> 00:02:33.720]  奉獻主日
[00:02:33.720 --> 00:02:35.720]  當然我們回到聖經裡說
