
[00:00:00.000 --> 00:00:02.000]  多謝五姊妹,大家好
[00:00:02.000 --> 00:00:04.000]  大家好嗎?
[00:00:04.000 --> 00:00:06.000]  好
[00:00:06.000 --> 00:00:09.000]  我們昨天過了我們的情人節
[00:00:09.000 --> 00:00:12.000]  其實應該翻譯做愛情節
[00:00:12.000 --> 00:00:14.000]  或者真愛節
[00:00:14.000 --> 00:00:18.000]  其實應該就叫做真愛節
[00:00:18.000 --> 00:00:21.000]  因為我覺得一年有一次
[00:00:21.000 --> 00:00:23.000]  來慶祝或者紀念
[00:00:23.000 --> 00:00:27.000]  我們人間最重要的一份感情
[00:00:27.000 --> 00:00:29.000]  就是愛
[00:00:29.000 --> 00:00:32.000]  愛是人間最重要的感情
[00:00:32.000 --> 00:00:34.000]  大家同意嗎?
[00:00:34.000 --> 00:00:36.000]  同意嗎?
[00:00:36.000 --> 00:00:38.000]  如果沒有愛
[00:00:38.000 --> 00:00:40.000]  這個世界會變得更冰冷
[00:00:40.000 --> 00:00:42.000]  如果沒有愛
[00:00:42.000 --> 00:00:44.000]  這個世界也會變得很黑暗
[00:00:44.000 --> 00:00:46.000]  冰冷就沒有溫暖
[00:00:46.000 --> 00:00:48.000]  黑暗就沒有光芒
[00:00:48.000 --> 00:00:50.000]  更加重要的就是
[00:00:50.000 --> 00:00:52.000]  可能連生命都沒有
[00:00:52.000 --> 00:00:54.000]  沒有生命力
[00:00:54.000 --> 00:00:56.000]  沒有生氣
[00:00:56.000 --> 00:01:00.000]  真愛在這個世界都很難找到
[00:01:00.000 --> 00:01:03.000]  因為這個世界是愛慾不分
[00:01:03.000 --> 00:01:05.000]  有很多時候
[00:01:05.000 --> 00:01:09.000]  愛和我們的慾是混在一起的
[00:01:09.000 --> 00:01:11.000]  我覺得廣東人很有趣
[00:01:11.000 --> 00:01:13.000]  你拿一樣東西給他
[00:01:13.000 --> 00:01:14.000]  你愛不愛?
[00:01:14.000 --> 00:01:15.000]  愛!
