
[00:00:00.000 --> 00:00:02.000]  各位帝兄姐妹 早晨
[00:00:02.000 --> 00:00:06.560]  在新的一年裡 我藉此機會再次恭祝大家
[00:00:06.560 --> 00:00:08.680]  主領蒙恩 德福
[00:00:08.680 --> 00:00:12.640]  也有健康的身體 活潑的靈命跟隨主
[00:00:12.640 --> 00:00:17.040]  今天想跟大家特別分享一個訊息
[00:00:17.040 --> 00:00:18.760]  更新心靈的視野
[00:00:18.760 --> 00:00:22.360]  因為新的一年 我們也想更新自己的生命
[00:00:22.360 --> 00:00:27.720]  所以大家看到台上已經有一個 banner
[00:00:27.720 --> 00:00:31.440]  我們未來半年的新一季的講道主題
[00:00:31.440 --> 00:00:33.880]  就是「作俗世清泉」
[00:00:33.880 --> 00:00:35.200]  如果大家有留意
[00:00:35.200 --> 00:00:39.760]  就知道我們過去由2023年5月開始到現在
[00:00:39.760 --> 00:00:41.080]  接近兩年的時間
[00:00:41.080 --> 00:00:43.280]  一直到今年6月 就剛剛好兩年
[00:00:43.280 --> 00:00:46.080]  我們就一直有一個大的總題
[00:00:46.080 --> 00:00:50.920]  就叫做「同心彰顯主愛 同行為主得人」
[00:00:50.920 --> 00:00:52.200]  在當中我們學習
[00:00:52.200 --> 00:00:53.800]  我們一生只能會一次
[00:00:53.800 --> 00:00:55.560]  生命很珍貴 很寶貴
[00:00:55.560 --> 00:00:58.280]  當中我們也學習 究竟我們怎樣可以
[00:00:58.280 --> 00:01:00.400]  就是「夢照」作祝福
[00:01:00.400 --> 00:01:03.160]  去祝福我們的社區 祝福我們身邊周圍的人
[00:01:03.160 --> 00:01:06.120]  更加在過去一季我們也學習
[00:01:06.120 --> 00:01:07.880]  就是「同心與神同行」
[00:01:07.880 --> 00:01:08.960]  怎樣透過「彌稀米」
[00:01:08.960 --> 00:01:13.000]  我們跟神一起去同行辨識神的心意
[00:01:13.000 --> 00:01:16.200]  接下來這一季我們就會用「作俗世清泉」
[00:01:16.200 --> 00:01:18.480]  所以如果你有兩個上方寶劍的話
[00:01:18.480 --> 00:01:19.760]  作為一個基督徒
[00:01:19.760 --> 00:01:22.160]  怎樣在我們的生活當中去見證神呢
