
[00:00:00.000 --> 00:00:02.960]  那如果你說 那我就不來這一套
[00:00:02.960 --> 00:00:05.960]  我就純粹的把我最真實的一面
[00:00:05.960 --> 00:00:07.960]  呈現給對方
[00:00:07.960 --> 00:00:10.460]  那這時候你有另外一個害怕來到了就是
[00:00:10.460 --> 00:00:12.460]  萬一我把最好的一面
[00:00:12.460 --> 00:00:14.460]  呈現給對方看的話
[00:00:14.460 --> 00:00:16.460]  那他就不愛我了呀
[00:00:16.460 --> 00:00:18.460]  就是 你總會覺得
[00:00:18.460 --> 00:00:20.460]  如果有任何的人
[00:00:20.460 --> 00:00:23.460]  知道我真實的一面是怎麼樣的
[00:00:23.460 --> 00:00:25.460]  那那個人應該會
[00:00:25.460 --> 00:00:27.460]  不會再花時間去愛我
[00:00:27.460 --> 00:00:29.460]  對我來講 這就是真愛
[00:00:29.460 --> 00:00:31.460]  最矛盾的點
[00:00:31.460 --> 00:00:33.460]  就是說 我又想得到他的愛
[00:00:33.460 --> 00:00:35.460]  但是如果我用最真實的那一面
[00:00:35.460 --> 00:00:37.460]  他就不愛我
[00:00:37.460 --> 00:00:39.460]  但如果我用最不真實的那一面
[00:00:39.460 --> 00:00:41.460]  吸引他呢
[00:00:41.460 --> 00:00:43.460]  他的愛又讓我感覺到有點不踏實
[00:00:43.460 --> 00:00:45.460]  你告訴我為什麼不踏實嗎
[00:00:45.460 --> 00:00:47.460]  因為凡是裝出來的東西
[00:00:47.460 --> 00:00:49.460]  一定有他的實踐性
[00:00:49.460 --> 00:00:51.460]  有實踐性
[00:00:51.460 --> 00:00:53.460]  就知道說 這種愛好像
[00:00:53.460 --> 00:00:55.460]  run不長 就是沒法長遠
[00:00:55.460 --> 00:00:57.460]  就是擁有一下就算了
[00:00:57.460 --> 00:00:59.460]  有些人年輕的時候
[00:00:59.460 --> 00:01:01.460]  是懷著這種方式談戀愛的
[00:01:01.460 --> 00:01:03.460]  就是拍個散拖
[00:01:03.460 --> 00:01:05.460]  無所謂 反正我最近比較無聊
[00:01:05.460 --> 00:01:07.460]  也空虛寂寞
[00:01:07.460 --> 00:01:09.460]  反正有個人陪就好
[00:01:09.460 --> 00:01:11.460]  我管他什麼 他能夠陪我多少年
[00:01:11.460 --> 00:01:13.460]  反正趁我現在還青春
[00:01:13.460 --> 00:01:15.460]  就找一個陪著唄
[00:01:15.460 --> 00:01:17.460]  但是你慢慢年紀大了
[00:01:17.460 --> 00:01:19.460]  你總會有一天會問自己說
[00:01:19.460 --> 00:01:21.460]  如果這世間真的有真愛
[00:01:21.460 --> 00:01:23.460]  這種真愛如果
[00:01:23.460 --> 00:01:25.460]  被我定義成是真誠的愛
[00:01:25.460 --> 00:01:27.460]  那必須他有一個特點
[00:01:27.460 --> 00:01:29.460]  也是聖經說的一個特點
[00:01:29.460 --> 00:01:31.460]  是今天我跟你講的第一個特點
[00:01:31.460 --> 00:01:33.460]  那就是說真愛有一個其中的特點
[00:01:33.460 --> 00:01:35.460]  跟假的不一樣就是
[00:01:35.460 --> 00:01:37.460]  真愛他的實踐性
[00:01:37.460 --> 00:01:39.460]  跟假的就是不一樣
[00:01:39.460 --> 00:01:41.460]  真愛的實踐性總是比較長遠的
[00:01:41.460 --> 00:01:43.460]  其實聖經告訴我們
[00:01:43.460 --> 00:01:45.460]  愛 從生而來的愛
[00:01:45.460 --> 00:01:47.460]  其實是永恆的
[00:01:47.460 --> 00:01:49.460]  他沒有一個實踐性
[00:01:49.460 --> 00:01:51.460]  既然是永恆的沒有實踐性
[00:01:51.460 --> 00:01:53.460]  他打破了很多東西
