
[00:00:00.000 --> 00:00:03.000]  很開心今天可以在這裡和大家分享訊息
[00:00:03.000 --> 00:00:08.000]  最近今屆的奧運仍然進行當中
[00:00:08.000 --> 00:00:10.000]  大家有沒有看到
[00:00:10.000 --> 00:00:14.000]  直播或者一些頒獎或者比賽
[00:00:14.000 --> 00:00:18.000]  無論大家是否好像很多人所說
[00:00:18.000 --> 00:00:20.000]  仍然這麼支持中國隊
[00:00:20.000 --> 00:00:25.000]  但我相信中國的選手仍然是大家會討論的對象
[00:00:25.000 --> 00:00:29.000]  其中孫楊可以說是比較出位的一個
[00:00:29.000 --> 00:00:35.000]  孫楊在上屆為中國隊在游泳項目奪得了一個金牌
[00:00:35.000 --> 00:00:38.000]  成就了這個零的突破
[00:00:38.000 --> 00:00:43.000]  因為在泳界中中國隊一向都不是一個他們的強項
[00:00:43.000 --> 00:00:46.000]  所以整個中國都很興奮
[00:00:46.000 --> 00:00:51.000]  上年他拿的是400米自由式金牌
[00:00:51.000 --> 00:00:53.000]  今年孫楊繼續參賽
[00:00:53.000 --> 00:00:56.000]  在400米的金牌
[00:00:56.000 --> 00:00:58.000]  他失去了這一面金牌
[00:00:58.000 --> 00:01:00.000]  他深深感到很不忿
[00:01:00.000 --> 00:01:04.000]  他的對手是澳洲的一位選手何頓
[00:01:04.000 --> 00:01:10.000]  據澳洲傳媒報道
[00:01:10.000 --> 00:01:16.000]  原來孫楊和何頓在比賽之前已經有些磨擦
[00:01:16.000 --> 00:01:20.000]  孫楊在練水的時候就用水潑他的對手
[00:01:20.000 --> 00:01:22.000]  嘗試去挑釁他
[00:01:22.000 --> 00:01:25.000]  令他有些壓力去騷擾他
[00:01:27.000 --> 00:01:32.000]  在贏了男子200米的金牌之後
[00:01:32.000 --> 00:01:34.000]  孫楊在400米失去了他的金牌
[00:01:34.000 --> 00:01:36.000]  但在200米他拿回了金牌
[00:01:36.000 --> 00:01:39.000]  他就很熱氣風發地說
[00:01:39.000 --> 00:01:43.000]  澳洲的選手何頓他太看重自己了
[00:01:43.000 --> 00:01:47.000]  他上年也只是拿了一塊金牌
[00:01:47.000 --> 00:01:48.000]  其實我已經比他厲害了
[00:01:48.000 --> 00:01:51.000]  我跟他比較抬舉了他
[00:01:51.000 --> 00:01:55.000]  而且最後他講出一句令很多人都很震撼的話
[00:01:55.000 --> 00:01:57.000]  或者覺得他很狂妄的話
[00:01:57.000 --> 00:02:02.000]  他說在接下來的500米的1500米比賽
[00:02:02.000 --> 00:02:04.000]  我才是王者
[00:02:04.000 --> 00:02:06.000]  何頓我根本不認識他
[00:02:06.000 --> 00:02:08.000]  但很諷刺的是
[00:02:08.000 --> 00:02:11.000]  當他講出他自己才是王者之後
[00:02:11.000 --> 00:02:15.000]  他竟然因為那裡是籃半球比賽
[00:02:15.000 --> 00:02:18.000]  那邊的天氣很冷
[00:02:18.000 --> 00:02:19.000]  他就患上了感冒
[00:02:19.000 --> 00:02:21.000]  結果影響了他的表現
[00:02:21.000 --> 00:02:25.000]  他在1500米初賽也不能夠晉升
[00:02:25.000 --> 00:02:29.000]  他在時間上比何頓慢了足足13秒
[00:02:29.000 --> 00:02:32.000]  是一個很大的羞愧
[00:02:32.000 --> 00:02:35.000]  他自己所講的話
[00:02:35.000 --> 00:02:39.000]  跟比賽出現的落差實在太大了
[00:02:39.000 --> 00:02:41.000]  成為了很多人的笑柄
[00:02:41.000 --> 00:02:45.000]  在比賽之後何頓面對傳媒
[00:02:45.000 --> 00:02:46.000]  他怎麼說呢
