
[00:00:00.000 --> 00:00:02.840]  弟兄姊妹、牧者、朋友
[00:00:02.840 --> 00:00:05.000]  主來平安
[00:00:05.000 --> 00:00:10.120]  很感謝神今天我能夠又跟大家分享神的說話
[00:00:10.120 --> 00:00:15.960]  讓我們都先將以下的時間交託給神
[00:00:15.960 --> 00:00:18.920]  親愛的天父阿爸父
[00:00:18.920 --> 00:00:24.960]  我們感謝你讓我們今早可以一起去敬拜你
[00:00:24.960 --> 00:00:26.320]  天父縱然
[00:00:26.320 --> 00:00:29.640]  我們此刻可能有人心裡面是
[00:00:29.640 --> 00:00:32.600]  有很多的擔子
[00:00:32.600 --> 00:00:36.240]  有一些的困難還未曾解決得到
[00:00:36.240 --> 00:00:40.520]  重重壓在我們的肩膀或者心頭上
[00:00:40.520 --> 00:00:45.680]  但每當我們能夠來到你的殿去敬拜你的時候
[00:00:45.680 --> 00:00:49.960]  你的靈總叫我們心裡面歡喜快樂
[00:00:49.960 --> 00:00:52.360]  再一次去提醒我們
[00:00:52.360 --> 00:00:53.960]  順靠你
[00:00:53.960 --> 00:00:56.440]  你必引領我們
[00:00:56.440 --> 00:00:59.800]  去找到你給我們的出路
[00:00:59.800 --> 00:01:04.280]  天父此刻就求你繼續幫助我們
[00:01:04.280 --> 00:01:07.000]  去心靈誠實敬拜你
[00:01:07.000 --> 00:01:10.360]  又讓你去閱讀我們的敬拜
[00:01:10.360 --> 00:01:13.120]  我們將以下的時間交上
[00:01:13.120 --> 00:01:15.720]  求天父親自跟我們說話
[00:01:15.720 --> 00:01:19.760]  叫我們眾人能夠從你得著慰揚
[00:01:19.760 --> 00:01:23.880]  我們縱然有時真的空空的來
[00:01:23.880 --> 00:01:28.040]  但總能夠滿足飽足的離開
[00:01:28.040 --> 00:01:29.480]  求你親自幫助
[00:01:29.480 --> 00:01:31.920]  求聖靈引領我們
[00:01:31.920 --> 00:01:35.320]  教導我們聆聽你的說話
[00:01:35.320 --> 00:01:38.200]  成為我們每日生活裡面的力量
[00:01:38.200 --> 00:01:40.760]  我們這樣的恭敬祈禱交托
[00:01:40.760 --> 00:01:42.640]  捧靠主耶穌基督的名
[00:01:42.640 --> 00:01:44.400]  阿們
[00:01:44.400 --> 00:01:49.800]  如果我們今天看一看
[00:01:49.800 --> 00:01:52.160]  《提摩太后書》第二章的結構
[00:01:52.160 --> 00:01:54.160]  很簡單我們看到
[00:01:54.160 --> 00:01:58.320]  保羅他在教導提摩太中心侍奉主的時候
[00:01:58.320 --> 00:02:01.080]  在這一章的經文裡面
[00:02:01.080 --> 00:02:04.520]  他引用了好幾個的圖標
[00:02:04.520 --> 00:02:08.840]  就是一些標誌或者一些形象去描繪
[00:02:08.840 --> 00:02:11.640]  如果我們看看第一到第七節經文
[00:02:11.640 --> 00:02:15.360]  它裡面有些圖標是精兵
[00:02:15.360 --> 00:02:19.160]  一些賽跑的選手 農夫
[00:02:19.160 --> 00:02:20.880]  在第十四到第十九節
[00:02:20.880 --> 00:02:23.160]  他用無愧的工人
[00:02:23.160 --> 00:02:28.320]  二十到二十三節他就用到貴重的器皿
[00:02:28.320 --> 00:02:31.080]  偏偏在今天我們看的經文八至十三節
[00:02:31.080 --> 00:02:32.320]  他沒有圖標在那裡
[00:02:32.320 --> 00:02:34.720]  沒有一個形象給我們
