
[00:00:00.000 --> 00:00:04.000]  第一章第二十七節我們一同來念來
[00:00:04.000 --> 00:00:07.000]  神就照著自己的形象造人
[00:00:07.000 --> 00:00:10.000]  乃是照著他的形象造男造女
[00:00:10.000 --> 00:00:12.000]  二章二十四節一同來
[00:00:12.000 --> 00:00:14.000]  因此人要離開父母
[00:00:14.000 --> 00:00:15.000]  與妻子聯合
[00:00:15.000 --> 00:00:17.000]  二人成為一體
[00:00:17.000 --> 00:00:19.000]  我們就讀到這裡
[00:00:19.000 --> 00:00:21.000]  今天再次非常歡喜
[00:00:21.000 --> 00:00:23.000]  有大家跟我一同來慶祝
[00:00:23.000 --> 00:00:25.000]  這個結婚四十週年
[00:00:25.000 --> 00:00:27.000]  回想這四十年來
[00:00:27.000 --> 00:00:31.000]  真的是一條充滿神恩典的道路
[00:00:31.000 --> 00:00:33.000]  而走過這條恩典之路
[00:00:33.000 --> 00:00:38.000]  就越來越明白神對人的婚姻的心意
[00:00:38.000 --> 00:00:40.000]  你知道每次我們在證婚的時候
[00:00:40.000 --> 00:00:43.000]  都會說婚姻乃是神所設立的
[00:00:43.000 --> 00:00:47.000]  意思就是婚姻絕對不是人類
[00:00:47.000 --> 00:00:49.000]  只是為了自己的需要
[00:00:49.000 --> 00:00:52.000]  所想出來的一套辦法
[00:00:52.000 --> 00:00:55.000]  婚姻的確是神在創造世界的時候
[00:00:55.000 --> 00:00:59.000]  是為人類所設立一個盟約
[00:00:59.000 --> 00:01:01.000]  以佛所書五章二十二十三節
[00:01:01.000 --> 00:01:02.000]  我們看見
[00:01:02.000 --> 00:01:03.000]  好像神在這裡
[00:01:03.000 --> 00:01:06.000]  就是用這樣一個夫妻做一個比喻
[00:01:06.000 --> 00:01:07.000]  祂們說你們做妻子
[00:01:07.000 --> 00:01:08.000]  當順夫自己的丈夫
[00:01:08.000 --> 00:01:09.000]  如同順夫主
[00:01:09.000 --> 00:01:11.000]  因為丈夫是妻子的頭
[00:01:11.000 --> 00:01:13.000]  如同基督是教會的頭
[00:01:13.000 --> 00:01:15.000]  祂也是教會全體的救主
[00:01:15.000 --> 00:01:17.000]  你看見神甚至在這裡
[00:01:17.000 --> 00:01:19.000]  用夫妻之間的關係
[00:01:19.000 --> 00:01:23.000]  來預表到神與我們的關係
[00:01:23.000 --> 00:01:27.000]  可見神多麼看重我們人類的婚姻
[00:01:27.000 --> 00:01:29.000]  今天你可以看很多的書
[00:01:29.000 --> 00:01:30.000]  你也可以聽很多的演講
[00:01:30.000 --> 00:01:33.000]  知道人怎麼看婚姻
[00:01:33.000 --> 00:01:36.000]  但既然婚姻是神所設立的
[00:01:36.000 --> 00:01:39.000]  那我們就應當先回到神的面前
[00:01:39.000 --> 00:01:43.000]  來明白神對婚姻的藍圖是什麼
[00:01:43.000 --> 00:01:47.000]  然後當我們照著神的藍圖去做的時候
[00:01:47.000 --> 00:01:49.000]  我們才能夠真正享受
[00:01:49.000 --> 00:01:51.000]  神在婚姻裡面給我們的恩典
[00:01:51.000 --> 00:01:55.000]  那麼神對婚姻的藍圖是什麼呢
[00:01:55.000 --> 00:01:56.000]  今天要從三方面來思想
[00:01:56.000 --> 00:01:57.000]  第一個
[00:01:57.000 --> 00:01:59.000]  婚姻是要彰顯神的形象
[00:01:59.000 --> 00:02:00.000]  跟你們說
[00:02:00.000 --> 00:02:05.000]  婚姻是要彰顯神的形象
[00:02:05.000 --> 00:02:06.000]  剛才讀的聖經講到
[00:02:06.000 --> 00:02:08.000]  當神創造人類的時候
[00:02:08.000 --> 00:02:13.000]  神是按照他的形象造男造女
[00:02:13.000 --> 00:02:14.000]  換句話說
[00:02:14.000 --> 00:02:18.000]  我們人被創造是按照神的形象所造
[00:02:18.000 --> 00:02:21.000]  無論是男跟女都一樣
[00:02:21.000 --> 00:02:24.000]  既然是按照神的形象所造
[00:02:24.000 --> 00:02:26.000]  那神將我們連結在一起
[00:02:26.000 --> 00:02:28.000]  那婚姻首要的目的
[00:02:28.000 --> 00:02:33.000]  不就是應當彰顯神這樣一個形象的容美嗎
[00:02:33.000 --> 00:02:36.000]  那什麼是神的形象呢
[00:02:36.000 --> 00:02:39.000]  以佛所說四章二十四節我們一同來念
[00:02:39.000 --> 00:02:40.000]  並且穿上新人
[00:02:40.000 --> 00:02:43.000]  這新人是照著神的形象造的
[00:02:43.000 --> 00:02:47.000]  有真理的仁義和聖潔
[00:02:47.000 --> 00:02:48.000]  我們也可以特別講到
[00:02:48.000 --> 00:02:50.000]  神的形象是什麼
