
[00:00:00.000 --> 00:00:01.800]  今天還讀這篇的詩篇
[00:00:01.800 --> 00:00:03.460]  「耶和華是我的牧者」
[00:00:03.460 --> 00:00:09.620]  我們沒有一個人是畜牧成長的
[00:00:09.620 --> 00:00:12.120]  你又不知道畜牧的情形
[00:00:12.120 --> 00:00:15.580]  牧羊人在當時裏面是非常重要的
[00:00:15.580 --> 00:00:16.780]  沒有了牧羊人
[00:00:16.780 --> 00:00:18.360]  羊就生存不了了
[00:00:18.360 --> 00:00:23.000]  我現在馬上說為什麼耶和華是牧者
[00:00:23.000 --> 00:00:24.300]  或者是我的牧者
[00:00:24.300 --> 00:00:26.120]  究竟他在說些什麼呢
[00:00:26.120 --> 00:00:31.960]  不過我就說 如果上帝真的照顧我們的話
[00:00:31.960 --> 00:00:37.860]  為什麼會容許現在香港的動盪
[00:00:37.860 --> 00:00:39.700]  或者轉個問題
[00:00:39.700 --> 00:00:42.000]  我們不能夠全部知道為什麼
[00:00:42.000 --> 00:00:44.340]  因為如果上帝全部告訴我們
[00:00:44.340 --> 00:00:47.240]  我猜我和你都不能夠全部明白
[00:00:47.240 --> 00:00:49.340]  那我只是想問另外一個問題
[00:00:49.340 --> 00:00:51.840]  我在心境動盪
[00:00:51.840 --> 00:00:54.480]  動盪到去超市動盪
[00:00:54.480 --> 00:00:56.220]  動盪到買了這麼多東西
[00:00:56.220 --> 00:00:59.860]  這些只是反映很表面的一些動盪
[00:00:59.860 --> 00:01:02.060]  環境上的動盪
[00:01:02.060 --> 00:01:06.260]  安全上的震驚
[00:01:06.260 --> 00:01:10.560]  無論是表達意見的強烈者
[00:01:10.560 --> 00:01:12.940]  路經的無辜者
[00:01:12.940 --> 00:01:15.500]  努力的執法者
[00:01:15.500 --> 00:01:18.000]  都有安全的驚嚇
[00:01:18.000 --> 00:01:20.340]  好像說得很客氣
[00:01:20.340 --> 00:01:23.680]  我走路我開車我都很有驚嚇
[00:01:23.680 --> 00:01:25.980]  我又堵在了農場
[00:01:25.980 --> 00:01:27.920]  又堵在了窩打路
[00:01:27.920 --> 00:01:29.920]  我看到很多路障
[00:01:29.920 --> 00:01:32.360]  我看到自己的身體狀態
[00:01:32.360 --> 00:01:33.520]  我又有自知之明
[00:01:33.520 --> 00:01:35.360]  又不敢下車搬開
[00:01:35.360 --> 00:01:36.560]  不是不夠力搬開
[00:01:36.560 --> 00:01:37.560]  是不敢搬開
[00:01:37.560 --> 00:01:38.520]  說得直接一點
[00:01:38.520 --> 00:01:39.920]  不是沒力搬開那些東西
[00:01:39.920 --> 00:01:42.300]  是不敢搬開那些東西
[00:01:42.300 --> 00:01:43.600]  這麼多的東西
[00:01:43.600 --> 00:01:45.000]  上帝在哪裡
[00:01:45.000 --> 00:01:46.100]  今天敬拜上帝
[00:01:46.100 --> 00:01:47.140]  我就想說
[00:01:47.140 --> 00:01:51.100]  起碼在頭腦知識上再一次來溫習
[00:01:51.100 --> 00:01:53.480]  上帝說我就是這樣的了
[00:01:53.480 --> 00:01:56.040]  先在這個認知上
[00:01:56.040 --> 00:01:56.940]  我信耶穌
[00:01:56.940 --> 00:01:57.640]  耶穌是怎樣
[00:01:57.640 --> 00:01:58.540]  我信上帝
[00:01:58.540 --> 00:02:01.380]  直覺耶穌就知道這個永恆的上帝
[00:02:01.380 --> 00:02:04.120]  先聽一下祂說
[00:02:04.120 --> 00:02:06.660]  我是誰
[00:02:06.660 --> 00:02:08.380]  就不是質疑祂
[00:02:08.380 --> 00:02:10.660]  究竟你怎麼做事的
[00:02:10.660 --> 00:02:11.860]  你走開讓我來做
[00:02:11.860 --> 00:02:12.760]  就是這樣子
[00:02:12.760 --> 00:02:13.660]  究竟你做什麼
[00:02:13.660 --> 00:02:15.500]  上帝你做什麼容許我
[00:02:15.500 --> 00:02:17.960]  上帝你在這裡扮演什麼角色呢
[00:02:17.960 --> 00:02:19.060]  究竟是不是很真實
[00:02:19.060 --> 00:02:22.000]  從這裡開始去想
[00:02:22.000 --> 00:02:25.680]  然後才求上帝幫助我們去理解
[00:02:25.680 --> 00:02:26.400]  幫助我們去理解
[00:02:26.400 --> 00:02:29.280]  然後應用在今天的生活上
[00:02:29.280 --> 00:02:29.940]  看看怎麼應用
[00:02:29.940 --> 00:02:34.780]  我希望今天這篇導讀簡單一點
[00:02:34.780 --> 00:02:36.480]  使我們實際有幫助
[00:02:36.480 --> 00:02:38.580]  在我們生活上有所影響
[00:02:38.580 --> 00:02:40.520]  這個是我們的價值觀
[00:02:40.520 --> 00:02:44.120]  影響我們的心思、感受
[00:02:44.120 --> 00:02:45.760]  以致要待人接物
[00:02:45.760 --> 00:02:48.160]  以致要行事為人
[00:02:48.160 --> 00:02:50.100]  耶和華是我的目者
[00:02:50.100 --> 00:02:52.760]  我專程在這…抱歉,我先看回那一張
[00:02:52.760 --> 00:02:59.000]  你看到這個就是埃及的一個皇帝
[00:02:59.000 --> 00:03:07.440]  皇帝的象徵是有一個在你的這邊
[00:03:07.440 --> 00:03:08.780]  就是你的左手邊
[00:03:08.780 --> 00:03:11.020]  那支是什麼來的
[00:03:11.020 --> 00:03:14.620]  啊?
[00:03:14.620 --> 00:03:15.520]  我告訴你
[00:03:15.520 --> 00:03:17.360]  不是雨傘
[00:03:17.360 --> 00:03:20.500]  不用想太多,那時候還沒有這個運動
[00:03:20.500 --> 00:03:23.800]  那個是牧羊人之象
[00:03:23.800 --> 00:03:25.800]  但是那個時代
[00:03:25.800 --> 00:03:28.360]  埃及王的時候已經說
[00:03:28.360 --> 00:03:36.380]  皇帝有如牧羊人一樣照顧他的國民
[00:03:36.380 --> 00:03:37.840]  愛護帶領
[00:03:37.840 --> 00:03:39.480]  所以有那支象
[00:03:39.480 --> 00:03:40.940]  又不是綠玉象
[00:03:40.940 --> 00:03:42.380]  又不是黃色的雨傘
[00:03:42.380 --> 00:03:45.280]  雖然黃黃的這張照片
[00:03:45.280 --> 00:03:46.660]  牧羊人之象
[00:03:46.660 --> 00:03:48.460]  下一張
[00:03:48.460 --> 00:03:49.880]  這個剛剛讀過了
