
[00:00:00.000 --> 00:00:02.280]  各位靈智媒早晨
[00:00:02.280 --> 00:00:05.280]  明天是Family Day的假期
[00:00:05.280 --> 00:00:07.640]  大家準備跟家人去哪裏?
[00:00:07.640 --> 00:00:10.680]  可能已經有些人出發了
[00:00:10.680 --> 00:00:13.760]  有一天我就問了Pastor Leo
[00:00:13.760 --> 00:00:16.880]  為甚麼會有這一天的出現呢?
[00:00:16.880 --> 00:00:18.640]  這個假期是怎樣來的呢?
[00:00:18.640 --> 00:00:21.640]  Pastor Leo就告訴我
[00:00:21.640 --> 00:00:26.280]  因為由1月1日到4月的復活節之前
[00:00:26.280 --> 00:00:28.560]  三個多月都沒有假期
[00:00:28.560 --> 00:00:32.040]  不像中國人,有一個農曆新年會長一點
[00:00:32.040 --> 00:00:33.640]  所以就設立這一天
[00:00:33.640 --> 00:00:37.400]  讓家人在這段期間可以有一天的休息
[00:00:37.400 --> 00:00:39.600]  享受天倫之樂
[00:00:39.600 --> 00:00:43.040]  我不知道你怎樣去安排
[00:00:43.040 --> 00:00:46.280]  跟家人在這個長假期
[00:00:46.280 --> 00:00:51.680]  能夠一起相聚、有分享、交流的時間
[00:00:51.680 --> 00:00:54.400]  我相信原來我們每一個弟兄姊妹
[00:00:54.400 --> 00:00:56.960]  我們都有原生的家庭
[00:00:56.960 --> 00:00:59.800]  又或者我們自己都有自己神
[00:00:59.800 --> 00:01:01.680]  帶領我們建立一個家庭
[00:01:01.680 --> 00:01:03.640]  不知道在當中
[00:01:03.640 --> 00:01:06.480]  我們最期盼的是甚麼呢?
[00:01:06.480 --> 00:01:09.680]  你對你家人最期盼的是甚麼呢?
[00:01:09.680 --> 00:01:12.600]  每一個人都有自己的家
[00:01:12.600 --> 00:01:16.520]  家理論上是一個被愛的地方
[00:01:16.520 --> 00:01:17.800]  不過在現實裏面
[00:01:17.800 --> 00:01:21.360]  可能亦都是傷害我們最深的地方
[00:01:21.360 --> 00:01:24.880]  家亦都本來是一個最安全的地方
[00:01:24.880 --> 00:01:28.200]  不過在這段的時間
[00:01:28.200 --> 00:01:30.760]  其實都很多人離家出走
[00:01:30.760 --> 00:01:34.560]  家本來亦都是一個很溫暖的地方
[00:01:34.560 --> 00:01:37.920]  但是很多時候我們卻是經歷不到
[00:01:37.920 --> 00:01:41.400]  那份溫暖,只是經歷到一些冷漠
[00:01:41.400 --> 00:01:45.000]  家亦都本來是一個被鼓勵的地方
[00:01:45.000 --> 00:01:46.080]  不過亦都很多時候
[00:01:46.080 --> 00:01:49.680]  我們亦都在家裏面被擇避
[00:01:49.680 --> 00:01:53.440]  經歷言語的傷害
[00:01:53.440 --> 00:01:56.200]  過去這三年其實對我們每一個人
[00:01:56.200 --> 00:01:57.160]  每一個家庭來講
[00:01:57.160 --> 00:02:00.400]  可能我們都面對著很大的挑戰
[00:02:00.400 --> 00:02:01.760]  在疫情裏面
[00:02:01.760 --> 00:02:05.920]  隨著疫情逐步來到遠去的時候
[00:02:05.920 --> 00:02:11.000]  可能我們此刻又面對一個新的掙扎、挑戰
[00:02:11.000 --> 00:02:12.400]  每一個的弟兄姊妹
[00:02:12.400 --> 00:02:14.320]  可能我們都同樣面對著
[00:02:14.320 --> 00:02:20.320]  即將我們預備耶穌基督復活之前受苦
[00:02:20.320 --> 00:02:25.960]  我們都會一樣面對著一些肉身的苦難
[00:02:25.960 --> 00:02:29.640]  可能在世界裏面都給我們很多的困鎖
[00:02:29.640 --> 00:02:33.600]  亦都周圍的人都有不同的目光來看我們
[00:02:33.600 --> 00:02:35.520]  一直這樣走下去的時候
[00:02:35.520 --> 00:02:37.680]  我們都經歷高高低低
[00:02:37.680 --> 00:02:40.000]  經歷人生很多的起起伏伏
[00:02:40.000 --> 00:02:41.720]  經歷了很多的事情
[00:02:41.720 --> 00:02:44.080]  當然我們作為神的兒女來講
[00:02:44.080 --> 00:02:45.840]  我們亦都相信
[00:02:45.840 --> 00:02:48.760]  在神的裏面我們都有很多的恩典
[00:02:48.760 --> 00:02:52.400]  當發生在我們生命裏面的一些事情
[00:02:52.400 --> 00:02:54.400]  無論是好、無論是壞
[00:02:54.400 --> 00:02:55.800]  我們都深信
[00:02:55.800 --> 00:02:58.200]  當我們來到神的面前的時候
[00:02:58.200 --> 00:03:01.760]  我們都看見真的有祂的心意
[00:03:01.760 --> 00:03:05.200]  我們都很相信萬事都是互相效力
[00:03:05.200 --> 00:03:08.120]  叫愛神的人能夠得益處
[00:03:08.120 --> 00:03:11.680]  所以今天很想透過約翰的家庭
[00:03:11.680 --> 00:03:15.080]  剛才競派隊為我們讀出
[00:03:15.080 --> 00:03:18.240]  盧家福音在第一章裏面施朕約翰
[00:03:18.240 --> 00:03:23.840]  他的父母給我們三方面的學習
[00:03:23.840 --> 00:03:26.640]  這三方面的學習分別是
[00:03:26.640 --> 00:03:30.080]  我們怎樣去學習放下未知的擔憂
[00:03:30.080 --> 00:03:34.600]  怎樣去擺脫期望所給我們的枷鎖
[00:03:34.600 --> 00:03:36.360]  亦都讓我們在成長的過程裏面
[00:03:36.360 --> 00:03:40.000]  能夠突破一些框框
[00:03:40.000 --> 00:03:43.600]  我們逐一去看這三個的學習
[00:03:43.600 --> 00:03:46.720]  施朕約翰可能大家都很熟悉
[00:03:46.720 --> 00:03:50.840]  他是出身在一個利美茲派的祭司家庭
[00:03:50.840 --> 00:03:53.520]  父親是一位祭司
[00:03:53.520 --> 00:03:55.360]  名叫撒加利亞
[00:03:55.360 --> 00:03:58.840]  而他的母親是亞倫的後裔
[00:03:58.840 --> 00:04:00.760]  名叫伊利沙伯
[00:04:00.760 --> 00:04:02.600]  當繼續看下去的時候
[00:04:02.600 --> 00:04:06.080]  原來我們就知道施朕約翰他的姨媽
[00:04:06.080 --> 00:04:07.760]  就是瑪利亞
[00:04:07.760 --> 00:04:10.720]  所以耶穌是他的表兄
[00:04:10.720 --> 00:04:14.600]  撒加利亞和伊利沙伯這對夫婦
[00:04:14.600 --> 00:04:17.480]  其實是很愛主很敬虔的
