
[00:00:00.000 --> 00:00:02.000]  今日起見幾位弟兄姊妹
[00:00:02.000 --> 00:00:03.240]  來受洗
[00:00:03.240 --> 00:00:05.240]  加入教會的大家庭
[00:00:05.240 --> 00:00:07.080]  又見到熟悉的弟兄姊妹
[00:00:07.080 --> 00:00:08.040]  將他們的下一代
[00:00:08.040 --> 00:00:10.720]  來奉獻給這位愛他們的神
[00:00:10.720 --> 00:00:12.720]  其實是一幅很美好的圖畫
[00:00:12.720 --> 00:00:14.800]  今天是一個很開心
[00:00:14.800 --> 00:00:16.680]  很感恩的日子
[00:00:16.680 --> 00:00:18.880]  每逢聖禮的時候
[00:00:18.880 --> 00:00:20.440]  通常都會勾起
[00:00:20.440 --> 00:00:23.120]  我們對自己洗禮的一些回憶
[00:00:23.120 --> 00:00:26.840]  我自己大約在夜幾年前來受浸
[00:00:26.840 --> 00:00:29.280]  很記得昨天回想的時候
[00:00:29.280 --> 00:00:31.280]  在那天受浸的時候
[00:00:31.280 --> 00:00:32.840]  天氣都很冷
[00:00:32.840 --> 00:00:34.840]  大約十多度左右
[00:00:34.840 --> 00:00:36.840]  在教會的大禮堂裏面
[00:00:36.840 --> 00:00:40.120]  弟兄姊妹預備了一些人造的浸池
[00:00:40.120 --> 00:00:41.400]  因為天氣很冷
[00:00:41.400 --> 00:00:44.320]  所以要不斷煲水
[00:00:44.320 --> 00:00:46.640]  受浸的弟兄姊妹都很多
[00:00:46.640 --> 00:00:48.240]  到我受浸的時候
[00:00:48.240 --> 00:00:51.080]  浸下去的水真的有點打冷顫
[00:00:51.080 --> 00:00:53.080]  當起來的時候
[00:00:53.080 --> 00:00:55.400]  真的都覺得很冷
[00:00:55.400 --> 00:00:58.120]  但當見到一群弟兄姊妹
[00:00:58.120 --> 00:00:59.440]  舉起手
[00:00:59.440 --> 00:01:02.240]  為著你的洗禮來感恩讚美
[00:01:02.240 --> 00:01:03.600]  祈禱的時候
[00:01:03.600 --> 00:01:08.360]  又當見到自己熟悉的一些姐妹的媽媽
[00:01:08.360 --> 00:01:10.960]  特意做了一個蛋糕來慶祝那一天
[00:01:10.960 --> 00:01:12.600]  很特別的日子的時候
[00:01:12.600 --> 00:01:14.600]  心裏面那份喜悅
[00:01:14.600 --> 00:01:15.800]  那份感動
[00:01:15.800 --> 00:01:18.280]  到今天仍然留在我的心裏面
[00:01:18.280 --> 00:01:20.280]  一幅很美好的圖畫
[00:01:20.280 --> 00:01:22.600]  洗禮是一個很重要的日子
[00:01:22.600 --> 00:01:24.320]  亦都是一生人只有一次
[00:01:24.320 --> 00:01:25.640]  好像昏迷一樣
[00:01:25.640 --> 00:01:28.760]  在這個重要日子裏面
[00:01:28.760 --> 00:01:31.400]  在福音書同樣有記載
[00:01:31.400 --> 00:01:33.840]  耶穌昔日都有受洗
[00:01:33.840 --> 00:01:35.280]  耶穌昔日受洗
[00:01:35.280 --> 00:01:37.080]  四卷福音書都有記載
