
[00:00:00.000 --> 00:00:05.800]  今天也是我們所謂西方的過年的第二個主日
[00:00:05.800 --> 00:00:07.900]  對我而言是第一次見大家
[00:00:07.900 --> 00:00:13.700]  所以我都跟大家說一聲很普遍的一句祝福的說話
[00:00:13.700 --> 00:00:14.500]  新年快樂
[00:00:14.500 --> 00:00:16.200]  這個我們經常都會說的
[00:00:16.200 --> 00:00:21.900]  誰知我昨天在向日葵和一班向日葵的電影節目說新年快樂之後
[00:00:21.900 --> 00:00:24.300]  圓了崇拜有一個姊妹走到我那裡
[00:00:24.300 --> 00:00:27.700]  她說「牧師,你記不記得你幾年前講過的編導」
[00:00:27.700 --> 00:00:31.200]  我說:「幾年前在向日葵講過的編導?」
[00:00:31.200 --> 00:00:35.500]  她說:「我記得那時候講過的編導叫我們不要講新年快樂」
[00:00:35.500 --> 00:00:37.700]  「叫我們講新年喜樂」
[00:00:37.700 --> 00:00:40.200]  我說那些向日葵弟兄姊妹的記性
[00:00:40.200 --> 00:00:42.200]  好過你和我
[00:00:42.200 --> 00:00:44.100]  簡直是挑戰我的
[00:00:44.100 --> 00:00:45.700]  「你應該講新年喜樂」
[00:00:45.700 --> 00:00:48.500]  「因為快樂是因為環境」
[00:00:48.500 --> 00:00:50.600]  「喜樂是因為心境」
[00:00:50.600 --> 00:00:53.600]  再一次跟大家說一聲新年喜樂
[00:00:53.600 --> 00:00:55.400]  無論什麼環境也好
[00:00:55.400 --> 00:00:59.200]  我們的內心仍然有一種喜樂的心
[00:00:59.200 --> 00:01:04.700]  今年謝牧師在港道的裏面
[00:01:04.700 --> 00:01:06.400]  他的感動就是說
[00:01:06.400 --> 00:01:10.200]  會不會用「活出愛」這個主題
[00:01:10.200 --> 00:01:15.400]  成為了我們今年全年的一個港道的中心
[00:01:15.400 --> 00:01:21.300]  也有同工在過去一段時間去思考、去禱告
[00:01:21.300 --> 00:01:27.800]  究竟怎樣安排這個主題在整年裏面的內容
[00:01:27.800 --> 00:01:31.100]  希望我們能夠按著有系統的
[00:01:31.100 --> 00:01:34.700]  也是將這個主題和弟兄姊妹來分享
