
[00:00:00.000 --> 00:00:03.160]  很高興今天可以跟大家一齊敬拜上帝
[00:00:03.160 --> 00:00:08.000]  今天我們的講員是 Dr. Mike Stewart
[00:00:08.000 --> 00:00:13.000]  他是GCA 大使命聯會
[00:00:13.000 --> 00:00:15.960]  Great Commission Association的行政總裁
[00:00:15.960 --> 00:00:19.640]  今天的講道是來自於他
[00:00:19.640 --> 00:00:25.320]  他的題目是聖靈降下的能力和目的
[00:00:25.320 --> 00:00:29.240]  在試堂轉的第一章的六至十一節
[00:00:29.240 --> 00:00:33.240]  當耶穌基督復活後升天之前
[00:00:33.240 --> 00:00:37.160]  他向使徒顯現有十四天的時候
[00:00:37.160 --> 00:00:38.680]  和他們一起
[00:00:38.680 --> 00:00:41.480]  你會覺得在這十四天裡
[00:00:41.480 --> 00:00:45.000]  耶穌基督和他的門徒說了些什麼?
[00:00:45.000 --> 00:00:47.000]  在聖經告訴我們
[00:00:47.000 --> 00:00:50.600]  耶穌和他們說了神覺的事
[00:00:50.600 --> 00:00:52.600]  而這些神覺的事
[00:00:52.600 --> 00:00:55.880]  就成為了他們屬靈生命的錦囊
[00:00:55.880 --> 00:00:59.000]  以致他們可以更加懇切的祈禱
[00:00:59.000 --> 00:01:00.840]  更加倚靠聖靈
[00:01:00.840 --> 00:01:02.840]  對罪人更加的接納
[00:01:02.840 --> 00:01:06.040]  無論遇到什麼都常存感恩的心
[00:01:06.040 --> 00:01:09.000]  對上帝是有信心
[00:01:09.000 --> 00:01:12.440]  因為耶穌基督要離開了
[00:01:12.440 --> 00:01:19.240]  門徒迫不得已地開始再回想當日他們呼召的那一刻
[00:01:19.240 --> 00:01:21.720]  原來耶穌給他們的呼召
[00:01:21.720 --> 00:01:26.920]  實在他們明白和上帝的救恩是有份的
[00:01:26.920 --> 00:01:30.040]  尤其當他們依靠聖靈的能力
[00:01:30.040 --> 00:01:32.360]  和明白聖靈工作的一刻
[00:01:32.360 --> 00:01:34.040]  那個目的的時候
[00:01:34.040 --> 00:01:35.320]  他們更加體會到
[00:01:35.320 --> 00:01:38.200]  他們昔日的呼召是何等的重要
[00:01:38.200 --> 00:01:41.960]  在《使徒行傳》的一章六至十一節
[00:01:41.960 --> 00:01:43.160]  聖經說
[00:01:43.160 --> 00:01:45.960]  他們聚集的時候問耶穌說
[00:01:45.960 --> 00:01:49.960]  主啊 你復興以色列國就在這時候嗎?
[00:01:49.960 --> 00:01:51.960]  耶穌對他們說
[00:01:51.960 --> 00:01:58.040]  扶憑著自己的權柄所定的時候日期不是你們可以知道的
[00:01:58.040 --> 00:02:01.800]  但聖靈降臨在你們身上你們就必得著能力
[00:02:01.800 --> 00:02:03.640]  並要在耶路撒冷
[00:02:03.640 --> 00:02:08.200]  猶太傳地和撒瑪利亞直到地極作我的見證
[00:02:08.200 --> 00:02:09.000]  說道者說
[00:02:09.000 --> 00:02:10.680]  他們正看的時候
[00:02:10.680 --> 00:02:12.600]  他就被升上天
[00:02:12.600 --> 00:02:14.920]  有一朵雲彩把他接去
[00:02:14.920 --> 00:02:17.800]  便看不見他了
