
[00:00:00.000 --> 00:00:04.440]  我們如何明白《啟示錄》這本書呢?
[00:00:04.440 --> 00:00:10.520]  很多人覺得《啟示錄》是一本非常撲朔迷離的書
[00:00:10.520 --> 00:00:14.040]  其實是一種誤會
[00:00:14.040 --> 00:00:17.400]  整本《啟示錄》最想你要知道的
[00:00:17.400 --> 00:00:21.120]  就是要你明白而不是要你不明白
[00:00:21.120 --> 00:00:24.640]  一會兒再說如何去明白
[00:00:24.640 --> 00:00:26.440]  所以我第一樣想你知道的
[00:00:26.440 --> 00:00:28.640]  如果你下次有機會再回去看《啟示錄》的時候
[00:00:28.640 --> 00:00:34.440]  你要知道《啟示錄》是想你明白
[00:00:34.440 --> 00:00:38.400]  就算你沒辦法明白中間很多啟示的元素
[00:00:38.400 --> 00:00:40.480]  大圖畫應該是很清晰的
[00:00:40.480 --> 00:00:45.280]  所以就算我說不清楚給你聽裡面的啟示元素
[00:00:45.280 --> 00:00:47.200]  應該是如何理解的時候
[00:00:47.200 --> 00:00:49.000]  我都想給你幾個大原則
[00:00:49.000 --> 00:00:52.160]  你看了大原則你就抓到了
[00:00:52.160 --> 00:00:55.360]  我想帶你去看看《啟示錄》的架構
[00:00:55.360 --> 00:00:57.520]  其實架構是很簡單的
[00:00:57.520 --> 00:00:59.960]  聖學者說有一個序幕
[00:00:59.960 --> 00:01:01.400]  有一個結語
[00:01:01.400 --> 00:01:02.960]  中間有一個主體
[00:01:02.960 --> 00:01:04.480]  不過你看一下
[00:01:04.480 --> 00:01:06.960]  主體是很巨型的
[00:01:06.960 --> 00:01:09.760]  所以一會兒我們要把主體切斷
[00:01:09.760 --> 00:01:13.280]  主體的名字就是「給七間教會的信」
[00:01:13.280 --> 00:01:16.000]  如果你直接進入這個主體
[00:01:16.000 --> 00:01:19.560]  你會發覺它所寫的跟寶羅書信差不多
[00:01:19.560 --> 00:01:21.760]  一開始就會寫給七封信
[00:01:21.760 --> 00:01:24.960]  「願為慈愛平安致於你」
[00:01:24.960 --> 00:01:27.160]  其實是一封書信
[00:01:27.160 --> 00:01:29.560]  不過在這封書信當中
[00:01:29.560 --> 00:01:33.920]  就加插了前面的序幕和結語
[00:01:33.920 --> 00:01:37.600]  在序幕裡面它告訴我們
[00:01:37.600 --> 00:01:39.440]  要如何去看《啟示錄》
[00:01:39.440 --> 00:01:41.440]  它給了我們一個文體
[00:01:41.440 --> 00:01:46.000]  這個文體就叫做「啟示」和「預言」
[00:01:46.000 --> 00:01:48.840]  我解釋一下這件事
[00:01:48.840 --> 00:01:50.200]  什麼叫做「啟示」呢
[00:01:50.200 --> 00:01:53.920]  原來整本《啟示錄》的第一個字是Apocalypse
[00:01:53.920 --> 00:01:55.720]  你看英文
[00:01:55.720 --> 00:01:57.480]  原文就是Apocalypse
[00:01:57.480 --> 00:02:01.920]  這個字其實是代表了一種文體
[00:02:01.920 --> 00:02:06.720]  這個文體原來是在舊約和新約中間
[00:02:06.720 --> 00:02:10.560]  四百年所創造出來的文體
