
[00:00:00.000 --> 00:00:02.000]  對於我們屬於耶穌的人來說
[00:00:02.000 --> 00:00:05.000]  我們望見天上七色的彩虹
[00:00:05.000 --> 00:00:07.000]  有一個特別的意思
[00:00:07.000 --> 00:00:10.000]  因為彩虹是代表
[00:00:10.000 --> 00:00:13.000]  我們和神的關係
[00:00:13.000 --> 00:00:15.000]  在聖經裡面我們叫做約
[00:00:15.000 --> 00:00:18.000]  但其實約就是一種關係
[00:00:18.000 --> 00:00:19.000]  我們和神的關係
[00:00:19.000 --> 00:00:21.000]  這個關係是很特別的
[00:00:21.000 --> 00:00:27.000]  這個關係不是冷冰冰的合約關係
[00:00:27.000 --> 00:00:30.000]  而是有一份情在這裡
[00:00:30.000 --> 00:00:31.000]  換句話說
[00:00:31.000 --> 00:00:33.000]  有些時間我們可能忘記了
[00:00:33.000 --> 00:00:34.000]  我們信神的時候
[00:00:34.000 --> 00:00:36.000]  我們有些時間忘記了
[00:00:36.000 --> 00:00:38.000]  可能這個世界有很多東西
[00:00:38.000 --> 00:00:40.000]  被我們好像埋沒了
[00:00:40.000 --> 00:00:41.000]  遮掩了
[00:00:41.000 --> 00:00:43.000]  遮掩了我們的眼睛
[00:00:43.000 --> 00:00:44.000]  遮掩了我們的心
[00:00:44.000 --> 00:00:45.000]  我們看不見它
[00:00:45.000 --> 00:00:46.000]  但這個關係不會沒有了
[00:00:46.000 --> 00:00:48.000]  神仍然在這裡
[00:00:48.000 --> 00:00:49.000]  永遠愛我們
[00:00:49.000 --> 00:00:52.000]  並且這個關係不會無端端沒有了
[00:00:52.000 --> 00:00:53.000]  我們不當是
[00:00:53.000 --> 00:00:54.000]  祂也當是
[00:00:54.000 --> 00:00:57.000]  所以這個是代表神跟我們說
[00:00:57.000 --> 00:00:59.000]  我永遠不會丟下你
[00:00:59.000 --> 00:01:01.000]  永遠不會撇棄我們
[00:01:01.000 --> 00:01:03.000]  祂永遠與我們同在
[00:01:03.000 --> 00:01:04.000]  一生一世
[00:01:04.000 --> 00:01:05.000]  永永遠遠
[00:01:05.000 --> 00:01:07.000]  並且是有情
[00:01:07.000 --> 00:01:11.000]  不是兩時三刻
[00:01:11.000 --> 00:01:13.000]  是永遠和我們一起
[00:01:13.000 --> 00:01:18.000]  所以這是代表神很大的愛在我們當中
[00:01:18.000 --> 00:01:23.000]  所以當我們見到七色彩虹的時候
[00:01:23.000 --> 00:01:24.000]  我們認定
[00:01:24.000 --> 00:01:26.000]  這些一定是好東西
[00:01:26.000 --> 00:01:27.000]  因為代表神說
[00:01:27.000 --> 00:01:29.000]  我永遠不會丟下你
[00:01:29.000 --> 00:01:30.000]  永遠祝福你
[00:01:30.000 --> 00:01:32.000]  永遠與我們同在
[00:01:32.000 --> 00:01:34.000]  就算人生裡面
[00:01:34.000 --> 00:01:35.000]  有低的
[00:01:35.000 --> 00:01:36.000]  有高的
[00:01:36.000 --> 00:01:37.000]  有眼淚
[00:01:37.000 --> 00:01:38.000]  有歡笑
[00:01:38.000 --> 00:01:40.000]  這個關係都不會變
[00:01:40.000 --> 00:01:43.000]  並且他心裡面期望是越來越好
[00:01:43.000 --> 00:01:47.000]  這個就是神對我們每一個的心
[00:01:47.000 --> 00:01:50.000]  所以讓我們一起去用這首詩歌
[00:01:50.000 --> 00:01:52.000]  彩虹下約定去敬拜的時候
[00:01:52.000 --> 00:01:54.000]  一起去紀念我們
[00:01:54.000 --> 00:01:55.000]  愛我們的神
[00:01:55.000 --> 00:01:56.000]  在很多年前
[00:01:56.000 --> 00:01:58.000]  一個聖誕節
[00:01:58.000 --> 00:02:00.000]  當鞋舖的老闆
[00:02:00.000 --> 00:02:03.000]  夫婦正在上修舖的時候
[00:02:03.000 --> 00:02:05.000]  老闆望著櫥窗外面
[00:02:05.000 --> 00:02:08.000]  有一個穿著破爛的小朋友
[00:02:08.000 --> 00:02:12.000]  正在望著櫥窗裡面的皮鞋
[00:02:12.000 --> 00:02:14.000]  老闆就走出去門口
[00:02:14.000 --> 00:02:15.000]  就跟他說小朋友
[00:02:15.000 --> 00:02:16.000]  聖誕快樂
[00:02:16.000 --> 00:02:18.000]  有什麼我可以幫到你
[00:02:18.000 --> 00:02:21.000]  那個小朋友就很害羞地跟老闆說
[00:02:21.000 --> 00:02:23.000]  你可不可以為我祈禱
[00:02:23.000 --> 00:02:25.000]  求神給我一雙新鞋
[00:02:25.000 --> 00:02:27.000]  老闆娘聽見的時候
[00:02:27.000 --> 00:02:29.000]  就靜靜地在老闆的耳邊說
[00:02:29.000 --> 00:02:30.000]  這個小朋友真是可憐
[00:02:30.000 --> 00:02:33.000]  不如我們送一雙新鞋給他
[00:02:33.000 --> 00:02:36.000]  老闆就跟老闆娘這樣說
[00:02:36.000 --> 00:02:39.000]  他說他現在需要的不是一雙新鞋
[00:02:39.000 --> 00:02:41.000]  你拿一雙新的給我
[00:02:41.000 --> 00:02:43.000]  拿一盆熱水給我
[00:02:43.000 --> 00:02:45.000]  當老闆用這盆熱水
[00:02:45.000 --> 00:02:48.000]  跟小朋友洗腳的時候
[00:02:48.000 --> 00:02:49.000]  老闆跟他說
[00:02:49.000 --> 00:02:50.000]  我問過神了
[00:02:50.000 --> 00:02:52.000]  祂不可以給你一雙新鞋
[00:02:52.000 --> 00:02:55.000]  不過祂可以送一雙新物給你
[00:02:55.000 --> 00:02:57.000]  小朋友聽完之後就很失望
[00:02:57.000 --> 00:02:58.000]  老闆跟他說你先不要失望
[00:02:58.000 --> 00:03:00.000]  你聽我說下去
[00:03:00.000 --> 00:03:03.000]  每一個人都求神給他一些東西
[00:03:03.000 --> 00:03:05.000]  但是我們所信的神
[00:03:05.000 --> 00:03:08.000]  是不希望我們不勞而獲
[00:03:08.000 --> 00:03:10.000]  正如我以前
[00:03:10.000 --> 00:03:12.000]  我求神給我一間鞋舖
[00:03:12.000 --> 00:03:14.000]  但是神沒有給我一間鞋舖
