
[00:00:00.000 --> 00:00:04.360]  今天的講題很特別,跟石頭的系列有關
[00:00:04.360 --> 00:00:07.360]  因為我們每一次,當youth在這裡聚會的時候
[00:00:07.360 --> 00:00:10.840]  我們都會安排一個特別的講題,跟石頭是有關的
[00:00:10.840 --> 00:00:14.040]  我們暫時會安排舊約的石頭系列
[00:00:14.040 --> 00:00:20.440]  今天我們看的就是一個石板,或者一個神指頭寫的石板
[00:00:20.440 --> 00:00:25.320]  提到神指頭所寫的石板,大家都會估計得到一定是十戒
[00:00:25.320 --> 00:00:31.120]  一定是上帝寫的石板,用祂的指頭寫出來的石板
[00:00:31.120 --> 00:00:35.880]  不過,不知道大家有沒有想過,十戒是哪十戒呢?
[00:00:35.880 --> 00:00:40.280]  我知道大家大部分都是來自香港的弟兄姊妹
[00:00:40.280 --> 00:00:45.400]  最近都見到一個AI的研究,就是說離英香港港人的十戒
[00:00:45.400 --> 00:00:51.800]  要保持開放的心態,尊重多元文化,提升你的語言能力
[00:00:51.800 --> 00:00:58.440]  建立社交的網絡,遵守法律的法規,保持文化的根源
[00:00:58.440 --> 00:01:01.280]  就是等於你保持自己香港的文化的根源
[00:01:01.280 --> 00:01:06.320]  當然也要遵守這裡的法例,以及尊重多元性
[00:01:06.320 --> 00:01:10.080]  尋找一些支持的資源,良好的心理健康
[00:01:10.080 --> 00:01:14.520]  因為你要知道來到英國之後,其實要有心理健康都一點都不容易
[00:01:14.520 --> 00:01:18.320]  因為有時候你都會發現,英國很多東西都沒有東西好吃
[00:01:18.320 --> 00:01:21.280]  也都沒有什麼好去,所以都挺悶的
[00:01:21.280 --> 00:01:25.520]  還有你要融入當地的生活,要記得你的香港的根
[00:01:25.520 --> 00:01:27.600]  你的家人,或者你的朋友等等
[00:01:27.600 --> 00:01:30.280]  這個就是離英香港人的十戒
[00:01:30.280 --> 00:01:34.200]  但同樣我都找到學生的十戒
[00:01:34.200 --> 00:01:37.400]  有些什麼東西呢?這個通常都是父母的要求
[00:01:37.400 --> 00:01:42.680]  不可以遲到十點睡覺,打機不可以多於三十分鐘
[00:01:42.680 --> 00:01:47.280]  求學時期不可以拍拖,罵你不可以頂嘴
[00:01:47.280 --> 00:01:53.160]  一切都要聽父母說,要吃飯的時候叫家人
[00:01:53.160 --> 00:01:57.160]  要做家務,貪大手板拿錢當然不用想了
[00:01:57.160 --> 00:02:00.440]  一定不可以貪大手板拿錢
[00:02:00.440 --> 00:02:03.200]  至少要懂一種樂器,一種體育
[00:02:03.200 --> 00:02:05.360]  還要多懂一種語文
[00:02:05.360 --> 00:02:12.440]  當然最重要一樣,在Facebook,IG不可以駁我
[00:02:12.440 --> 00:02:15.520]  又對嗎?
[00:02:15.520 --> 00:02:19.520]  提到十戒,不知道大家有沒有見過十戒的衣服呢?
[00:02:19.520 --> 00:02:22.200]  我在非洲做宣教的時候,做短宣的時候
[00:02:22.200 --> 00:02:25.040]  我曾經在毛利求斯買過兩件十戒的衣服
[00:02:25.040 --> 00:02:26.320]  這件不是我買的
[00:02:26.320 --> 00:02:28.160]  我一件黑色,一件黃色
[00:02:28.160 --> 00:02:29.840]  以前我都挺喜歡黃色的
[00:02:29.840 --> 00:02:32.680]  有一次我去以色列的時候
[00:02:32.680 --> 00:02:35.280]  我穿了一件黃色的十戒的衣服
[00:02:35.280 --> 00:02:39.040]  你知道,通常飛機一降落到地面的時候
[00:02:39.040 --> 00:02:43.800]  它有一個巴士載你去大樓
[00:02:43.800 --> 00:02:45.800]  我在巴士準備下車的時候
[00:02:45.800 --> 00:02:48.960]  當時的巴士載滿了人群
[00:02:48.960 --> 00:02:51.520]  我穿了一件黃色十戒的衣服
[00:02:51.520 --> 00:02:53.040]  挺搶眼的,對不對?
[00:02:53.040 --> 00:02:55.000]  因為以色列熱,所以穿短袖衣服
[00:02:55.000 --> 00:02:56.120]  是大家都看到的
[00:02:56.120 --> 00:02:58.080]  當時整個巴士都擠滿了人
[00:02:58.080 --> 00:03:01.280]  有一個婆婆拿著兩個行李
[00:03:01.280 --> 00:03:03.120]  她到處看,有沒有人可以幫我
[00:03:03.120 --> 00:03:03.720]  有沒有人可以幫她
[00:03:03.720 --> 00:03:05.480]  她的眼神,她沒有說話
[00:03:05.480 --> 00:03:09.480]  她一看見我,就瞪著我
[00:03:09.480 --> 00:03:11.280]  接著她說,年輕人
[00:03:11.280 --> 00:03:13.240]  可不可以幫我拿行李
[00:03:13.240 --> 00:03:15.600]  整車人她沒有人選擇
[00:03:15.600 --> 00:03:17.720]  就是選我,我知道為什麼
[00:03:17.720 --> 00:03:20.320]  因為我穿了一件十戒的衣服
[00:03:20.320 --> 00:03:21.960]  通常可能她覺得穿十戒的衣服
[00:03:21.960 --> 00:03:24.520]  那些人應該都有一個好人
[00:03:24.520 --> 00:03:26.640]  所以我就幫了她拿十戒
[00:03:26.640 --> 00:03:29.840]  提到十戒,我就做了一個道具
[00:03:29.840 --> 00:03:32.040]  這個道具是昨晚做的
