
[00:00:00.000 --> 00:00:01.960]  各位體驗姐妹平安
[00:00:01.960 --> 00:00:05.220]  我想問下大家
[00:00:05.220 --> 00:00:07.220]  唔知大家嘅
[00:00:07.220 --> 00:00:10.240]  讀聖經嘅習慣係點呢
[00:00:10.240 --> 00:00:13.900]  又玩下民意調查先
[00:00:13.900 --> 00:00:16.500]  有冇人係由創世紀
[00:00:16.500 --> 00:00:20.100]  一路順住聖經嗰66卷嘅次序
[00:00:20.100 --> 00:00:21.880]  讀到落啟示錄有冇呀
[00:00:21.880 --> 00:00:24.920]  好
[00:00:24.920 --> 00:00:27.580]  又有冇人會
[00:00:27.580 --> 00:00:30.580]  我自行選擇我今個月讀創世紀
[00:00:30.580 --> 00:00:33.060]  下個月讀啟示錄
[00:00:33.060 --> 00:00:35.980]  冇一個既定嘅程序去讀呢本聖經
[00:00:35.980 --> 00:00:36.980]  有冇呀
[00:00:36.980 --> 00:00:39.360]  ok
[00:00:39.360 --> 00:00:43.380]  又問多條問題先
[00:00:43.380 --> 00:00:48.100]  大家有冇試過一口氣睇曬四副音
[00:00:48.100 --> 00:00:51.400]  有冇有冇一口氣睇曬四副音 ok
[00:00:51.400 --> 00:00:55.980]  當喺十
[00:00:55.980 --> 00:00:58.740]  九月至十月期間
[00:00:58.740 --> 00:01:01.620]  青少及積青部
[00:01:01.620 --> 00:01:04.380]  我哋都有個讀經計劃
[00:01:04.380 --> 00:01:07.340]  就係大家一齊去睇曬四副音
[00:01:07.340 --> 00:01:10.560]  當完成讀咗四副音嘅時候
[00:01:10.560 --> 00:01:12.380]  有啲人反映
[00:01:12.380 --> 00:01:16.140]  我好似不停咁睇緊耶穌
[00:01:16.140 --> 00:01:18.560]  重覆重覆又重覆嘅事件
[00:01:18.560 --> 00:01:21.500]  睇到有啲悶
[00:01:21.500 --> 00:01:24.960]  睇到點解又係講嗰啲嘢
[00:01:26.460 --> 00:01:28.720]  唔知有試過
[00:01:28.720 --> 00:01:30.220]  頭先有人舉手啦
[00:01:30.220 --> 00:01:33.260]  有試過一次過讀四副音嘅大兄姐妹
[00:01:33.260 --> 00:01:36.960]  我唔知你會唔會有呢個相同嘅感受
[00:01:36.960 --> 00:01:40.480]  不過其實我哋都知道
[00:01:40.480 --> 00:01:43.680]  即使四本呼音書
[00:01:43.680 --> 00:01:46.460]  都有相同事件嘅記載
[00:01:46.460 --> 00:01:49.320]  但係喺佈局同結構上
[00:01:49.320 --> 00:01:52.600]  四本呼音書都有佢各自嘅取材
[00:01:52.600 --> 00:01:57.260]  各自作者所要表達嘅事件
[00:01:57.260 --> 00:01:58.740]  訊息
[00:01:58.740 --> 00:02:03.820]  不過我哋卻係有唔少時候
[00:02:03.820 --> 00:02:09.280]  我哋好少去留意究竟四幅音書裏面
[00:02:09.280 --> 00:02:11.920]  所記載同一件事都好
