
[00:00:00.000 --> 00:00:08.000]  我們感謝主因典,我們今天天氣很好
[00:00:08.000 --> 00:00:14.000]  明天會看影片的,所以我們也會告訴明天的人聽
[00:00:14.000 --> 00:00:19.000]  明天你們在看影片的時候,你們在神的面前都是同心合意的
[00:00:19.000 --> 00:00:25.000]  我們雖然不在同一個時空裡面,但其實我們都是同心合意的敬拜主
[00:00:25.000 --> 00:00:31.000]  今天經文裡面提到我們一件事情,就是其實約翰寫約翰福音
[00:00:31.000 --> 00:00:34.000]  約翰一書最重要告訴你們做什麼呢?
[00:00:34.000 --> 00:00:38.000]  首先它不是寫給一個人的,很清楚寫給信仰群體
[00:00:38.000 --> 00:00:45.000]  我將這些話寫給你們,就是讀這卷書的人,是一個信仰群體
[00:00:45.000 --> 00:00:47.000]  寫給我們,讓我們知道什麼?
[00:00:47.000 --> 00:00:51.000]  一件最重要的事情,知道我們要有永生
[00:00:51.000 --> 00:00:58.000]  但是這寫給什麼人呢?還有一個規格,就是信奉神而子之名的人
[00:00:58.000 --> 00:01:04.000]  我們為什麼會收到這封信?或者我們會讀出來,會明白,會有感受
[00:01:04.000 --> 00:01:08.000]  因為我們都是信奉神而子之名的人
[00:01:08.000 --> 00:01:13.000]  但是我們約翰的心意是要我們知道我們自己有永生
[00:01:13.000 --> 00:01:17.000]  所以今天結束的時候,你離開這個禮拜堂的時候
[00:01:17.000 --> 00:01:20.000]  希望你能夠把握到這個重點
[00:01:20.000 --> 00:01:22.000]  我們知道自己是有永生的
[00:01:22.000 --> 00:01:27.000]  因為約翰很清楚的,約翰福音開始已經跟我們說了
[00:01:27.000 --> 00:01:32.000]  因為神愛世人,甚至將他的獨庚子賜給他們
[00:01:32.000 --> 00:01:38.000]  叫一切相信的,不致滅亡,返得永生
[00:01:38.000 --> 00:01:41.000]  就是將永生放在我們生命的當中
[00:01:41.000 --> 00:01:45.000]  這個是確句,因為主耶穌答應了
[00:01:45.000 --> 00:01:48.000]  凡親信靠他的人,就得享永生
[00:01:48.000 --> 00:01:50.000]  這是祂給我們的確句
[00:01:50.000 --> 00:01:52.000]  這個確句有什麼用呢?
[00:01:52.000 --> 00:01:54.000]  有時候看回頭,有些弟兄
[00:01:54.000 --> 00:01:58.000]  因為牧師經常接觸一些年長長的伯伯
[00:01:58.000 --> 00:02:01.000]  他們信了主之後,有些牙斬斬,跟我說
[00:02:01.000 --> 00:02:03.000]  牧師,我們有永生
[00:02:03.000 --> 00:02:07.000]  隨便都可以,找個石頭捲起來,丟到海裡就可以了
[00:02:07.000 --> 00:02:11.000]  有時候有些牙斬斬的伯伯,有沒有見過?
[00:02:11.000 --> 00:02:14.000]  我有時候見,不是很多,都見幾個
[00:02:14.000 --> 00:02:18.000]  你跟我的兒子說,包圍我,我們有永生
