
[00:00:00.000 --> 00:00:03.640]  今日講的是《哥倫多後書》一章廿三節至二章十一節
[00:00:03.640 --> 00:00:06.140]  「穆者的心」心腸
[00:00:06.140 --> 00:00:09.140]  好,我們看一看這一段經文
[00:00:09.140 --> 00:00:11.940]  我們看以下經文的時候
[00:00:11.940 --> 00:00:14.540]  就是想透過以下這一段經文裏面
[00:00:14.540 --> 00:00:18.940]  我們看保羅對信徒的愛和接納
[00:00:18.940 --> 00:00:20.640]  從而去理解穆者
[00:00:20.640 --> 00:00:23.340]  特別是講耶穌基督的心腸
[00:00:23.340 --> 00:00:25.340]  我們一齊來到
[00:00:25.340 --> 00:00:27.940]  清清神神一早起身的時候
[00:00:27.940 --> 00:00:29.340]  當面對神的懷疑的時候
[00:00:29.340 --> 00:00:30.740]  帶著一種很精神的
[00:00:30.740 --> 00:00:33.040]  我們一齊來讀神的話語
[00:00:33.040 --> 00:00:36.040]  我們一齊來讀好不好
[00:00:36.040 --> 00:00:37.040]  一二三
[00:00:37.040 --> 00:00:41.040]  我呼籲神給我的心作見證
[00:00:41.040 --> 00:00:43.540]  我沒有往哥倫多去
[00:00:43.540 --> 00:00:46.040]  是為要寬容你們
[00:00:46.040 --> 00:00:50.040]  我們並不是嚇管你們的信心
[00:00:50.040 --> 00:00:53.040]  乃是幫助你們的快樂
[00:00:53.040 --> 00:00:57.040]  因為你們憑信才站立得住
[00:00:57.040 --> 00:00:59.540]  我自己定了主意
[00:00:59.540 --> 00:01:02.040]  再到你們那裏去
[00:01:02.040 --> 00:01:05.040]  必須大家沒有憂愁
[00:01:05.040 --> 00:01:08.540]  倘若我叫你們憂愁
[00:01:08.540 --> 00:01:12.040]  誰了我叫那憂愁的人以外
[00:01:12.040 --> 00:01:15.040]  誰能叫我快樂呢
[00:01:15.040 --> 00:01:18.040]  我曾把這事寫給你們
[00:01:18.040 --> 00:01:20.040]  恐怕我到的時候
[00:01:20.040 --> 00:01:23.540]  應該叫我快樂的那些人
[00:01:23.540 --> 00:01:25.540]  反倒叫我憂愁
[00:01:25.540 --> 00:01:28.540]  我也深信你們眾人
[00:01:28.540 --> 00:01:32.540]  都以我的快樂為自己的快樂
[00:01:32.540 --> 00:01:36.040]  我先前心裏難過痛苦
[00:01:36.040 --> 00:01:38.040]  多多地流淚
[00:01:38.040 --> 00:01:40.040]  寫信給你們
