
[00:00:00.000 --> 00:00:02.360]  羅馬書第十五講
[00:00:02.360 --> 00:00:07.160]  羅馬書第六章十五至二十三節
[00:00:07.160 --> 00:00:12.260]  今天又要講一句保羅很出名的名言
[00:00:12.260 --> 00:00:15.820]  保羅說我們不在律法之下
[00:00:15.820 --> 00:00:17.580]  有很多人就問
[00:00:17.580 --> 00:00:20.320]  為什麼不在律法之下
[00:00:20.320 --> 00:00:22.280]  是否等於可以犯罪
[00:00:22.280 --> 00:00:24.240]  不在律法之下
[00:00:24.240 --> 00:00:28.420]  是否可以將所有聖經裡面的律例典章
[00:00:28.420 --> 00:00:32.000]  全部拋到窗口以外
[00:00:32.000 --> 00:00:34.000]  我們稍後就會來解釋
[00:00:34.000 --> 00:00:36.160]  究竟不在律法之下
[00:00:36.160 --> 00:00:39.840]  真正的意思是什麼
[00:00:39.840 --> 00:00:44.520]  首先我們都需要做少許的回顧
[00:00:44.520 --> 00:00:46.280]  就是在羅馬書裡面
[00:00:46.280 --> 00:00:50.320]  三至五章是講到清義的部份
[00:00:50.320 --> 00:00:52.260]  什麼叫做清義
[00:00:52.260 --> 00:00:54.600]  就是一個人接受耶穌基督
[00:00:54.600 --> 00:00:58.840]  好像剛才Lily姊妹一樣接受耶穌基督
[00:00:58.840 --> 00:01:01.920]  神就稱她為一個義人
[00:01:01.920 --> 00:01:03.820]  稱她為一個義人
[00:01:03.820 --> 00:01:07.460]  還將耶穌基督的義披在她的腎上
[00:01:07.460 --> 00:01:08.780]  為什麼
[00:01:08.780 --> 00:01:11.060]  因為當我們是一個罪人
[00:01:11.060 --> 00:01:13.880]  我們每一個人生出來都是一個罪人
[00:01:13.880 --> 00:01:15.940]  當我們有罪的時候
[00:01:15.940 --> 00:01:18.680]  神是不能與我們和好
[00:01:18.680 --> 00:01:22.220]  所以我們需要耶穌基督的義披在我們身上
[00:01:22.220 --> 00:01:25.040]  但這不是我們自己的義
[00:01:25.040 --> 00:01:27.280]  這只不過是一個地位
[00:01:27.280 --> 00:01:30.860]  神稱我們為義人 為聖徒
