
[00:00:00.000 --> 00:00:02.000]  好,我們再一次同心禱告
[00:00:02.000 --> 00:00:05.780]  天助我們去感謝祢
[00:00:05.780 --> 00:00:07.780]  有祢的話語去提醒我們
[00:00:07.780 --> 00:00:12.980]  特別提醒我們在地上作為教會
[00:00:12.980 --> 00:00:15.900]  我們作為教會裏面的一份子
[00:00:15.900 --> 00:00:18.660]  我們應該怎樣去生活
[00:00:18.660 --> 00:00:21.380]  我們應該怎樣去尊崇祢
[00:00:21.380 --> 00:00:24.400]  求主幫助我們的生命
[00:00:24.400 --> 00:00:27.080]  因著祢的話語有更新改變
[00:00:27.400 --> 00:00:30.100]  禱告仰望奉耶穌基督的聖名
[00:00:30.100 --> 00:00:32.100]  阿們
[00:00:32.100 --> 00:00:34.860]  美國有一個牧師
[00:00:34.860 --> 00:00:36.860]  他叫做Robert Schuller
[00:00:36.860 --> 00:00:38.860]  我們叫他舒勒牧師
[00:00:38.860 --> 00:00:40.860]  舒勒牧師在1955年
[00:00:40.860 --> 00:00:43.660]  他在美國加州的橙縣
[00:00:43.660 --> 00:00:45.660]  Garden Grove這個地方
[00:00:45.660 --> 00:00:47.660]  他創辦了一間教會
[00:00:47.660 --> 00:00:51.480]  叫做加登格勒佛社區教會
[00:00:51.480 --> 00:00:53.480]  用一個地方名的教會
[00:00:53.480 --> 00:00:56.660]  舒勒牧師的講道
[00:00:56.660 --> 00:00:58.660]  有很多心理學
[00:00:58.660 --> 00:01:00.660]  和很多成功神學的元素
[00:01:00.660 --> 00:01:02.660]  有沒有人去過
[00:01:02.660 --> 00:01:04.660]  水晶大教堂這間教會
[00:01:04.660 --> 00:01:08.660]  有些人去過
[00:01:08.660 --> 00:01:10.660]  因為舒勒牧師
[00:01:10.660 --> 00:01:12.660]  他最成名之處就是
[00:01:12.660 --> 00:01:14.660]  後來他建立了
[00:01:14.660 --> 00:01:16.660]  水晶大教堂這間教會
[00:01:16.660 --> 00:01:20.660]  他的講道很成功神學
[00:01:20.660 --> 00:01:22.660]  他很少講罪
[00:01:22.660 --> 00:01:24.660]  很少講人要神的救贖
[00:01:24.660 --> 00:01:26.660]  他的名言是什麼
[00:01:26.660 --> 00:01:28.660]  如果你有夢想
[00:01:28.660 --> 00:01:30.660]  你一定做得到
[00:01:30.660 --> 00:01:32.660]  很多心理的鼓勵
[00:01:32.660 --> 00:01:34.660]  他的信息吸引了
[00:01:34.660 --> 00:01:36.660]  很多很多的聽眾
[00:01:36.660 --> 00:01:38.660]  教會不斷的增長
[00:01:38.660 --> 00:01:40.660]  在1961年
[00:01:40.660 --> 00:01:42.660]  舒勒牧師當時在
[00:01:42.660 --> 00:01:44.660]  橙縣這個地方
[00:01:44.660 --> 00:01:46.660]  他建立了一個叫做希望之塔
[00:01:46.660 --> 00:01:48.660]  150呎高
[00:01:48.660 --> 00:01:50.660]  在希望之塔上面
[00:01:50.660 --> 00:01:52.660]  再樹立一個很宏偉
[00:01:52.660 --> 00:01:54.660]  90呎高的十字架
[00:01:54.660 --> 00:01:56.660]  所以希望之塔成為當時
[00:01:56.660 --> 00:01:58.660]  橙縣的一個地標建築物
[00:01:58.660 --> 00:02:02.660]  再不久的1980年
