
[00:00:00.000 --> 00:00:05.500]  親愛的主,我們感謝祢讓我們能夠在今天雖然是下雨天
[00:00:05.500 --> 00:00:08.500]  但我們能夠去到祢的聖所
[00:00:08.500 --> 00:00:12.000]  我們弟兄姊妹們一同的見面,一同的讚美
[00:00:12.000 --> 00:00:14.000]  如今我們要聽祢的話語
[00:00:14.000 --> 00:00:18.500]  懇求祢讓我們每個弟兄姊妹們都有美好的耳朵
[00:00:18.500 --> 00:00:20.500]  我們很願意聽祢的話
[00:00:20.500 --> 00:00:24.000]  聽祢的話,領受祢給我們的力量
[00:00:24.000 --> 00:00:26.000]  主啊,求祢憐憫恩待我們
[00:00:26.000 --> 00:00:30.000]  讓我們每個人都能夠因為祢的話語的緣故
[00:00:30.000 --> 00:00:32.500]  我們相信祢的話語的緣故
[00:00:32.500 --> 00:00:34.500]  我們生命有力
[00:00:34.500 --> 00:00:37.500]  主啊,求祢憐憫我們,幫助我們
[00:00:37.500 --> 00:00:42.000]  我們這樣的禱告是奉主耶穌基督的名字,阿們
[00:00:42.000 --> 00:00:48.000]  氣象專家一直在警告
[00:00:48.000 --> 00:00:53.000]  全球化的問題,全球暖化的問題越來越厲害
[00:00:53.000 --> 00:00:57.000]  所以海平面上升淹沒土地
[00:00:57.000 --> 00:01:01.000]  到現在為止有一萬人
[00:01:01.000 --> 00:01:07.000]  陸續離開印度洋的小島洛克切納
[00:01:07.000 --> 00:01:10.000]  因為這個小島已經被海水吞噬了
[00:01:10.000 --> 00:01:15.000]  太平洋的珊瑚礁島國基利巴斯
[00:01:15.000 --> 00:01:18.000]  一個沒有人居住的小島被淹沒了
[00:01:18.000 --> 00:01:24.000]  孫德爾本斯三角洲地帶一個沒有人居住的島嶼
[00:01:24.000 --> 00:01:27.000]  蘇柏里本格消失了
[00:01:27.000 --> 00:01:31.000]  另外一個有人居住的島嶼
[00:01:31.000 --> 00:01:35.000]  是科拉馬拉三分二的面積被永久淹沒
[00:01:35.000 --> 00:01:40.000]  印尼可能將來沒有了二千個島嶼
[00:01:40.000 --> 00:01:46.000]  這些現象好像應驗聖經所說的
[00:01:46.000 --> 00:01:49.000]  各海島都逃避了
[00:01:49.000 --> 00:01:52.000]  中山都不見了
[00:01:52.000 --> 00:01:59.000]  專家估計持續上升的氣溫
[00:01:59.000 --> 00:02:05.000]  到2080年會讓百萬計的人
[00:02:05.000 --> 00:02:08.000]  面對糧食短缺的問題
[00:02:08.000 --> 00:02:12.000]  所以挪威的政府在北極的深山
[00:02:12.000 --> 00:02:16.000]  建造了一個叫做末日洞穴
[00:02:16.000 --> 00:02:21.000]  儲存了三百萬種植物的種子
[00:02:21.000 --> 00:02:27.000]  作為人類的食糧的羅亞方舟
[00:02:27.000 --> 00:02:32.000]  荷里活的電影叫做王牌天神
[00:02:32.000 --> 00:02:36.000]  是現代版的羅亞的故事
[00:02:36.000 --> 00:02:39.000]  故事的主角伊雲
[00:02:39.000 --> 00:02:43.000]  用我要改變世界的口號
[00:02:43.000 --> 00:02:45.000]  贏取了國會的議席
[00:02:45.000 --> 00:02:48.000]  當他要改變世界的時候
[00:02:48.000 --> 00:02:50.000]  剛剛遇見神
[00:02:50.000 --> 00:02:56.000]  神就說你要按照創世紀六章十四節的記載
[00:02:56.000 --> 00:02:59.000]  興建一隻羅亞方舟
[00:02:59.000 --> 00:03:04.000]  要拯救將被淹沒的地上的動物
[00:03:04.000 --> 00:03:09.000]  並且啟示在九月二十三日洪水會來到
[00:03:09.000 --> 00:03:16.000]  很多人見到伊雲在建造方舟的時候就笑他
[00:03:16.000 --> 00:03:20.000]  究竟洪水會怎樣來呢
[00:03:20.000 --> 00:03:25.000]  因為眾議院的委員會主席龍恩
[00:03:25.000 --> 00:03:29.000]  他靠著自己的權勢要建造一個大壩
[00:03:29.000 --> 00:03:33.000]  但是他偷工減料騙了很多錢
[00:03:33.000 --> 00:03:35.000]  並且繼續貪下去
[00:03:35.000 --> 00:03:37.000]  希望能夠透過他的權勢
[00:03:37.000 --> 00:03:40.000]  透過土地使用權的法案
[00:03:40.000 --> 00:03:45.000]  希望能夠拿到更多國家公園的用地
[00:03:45.000 --> 00:03:50.000]  這個議案的表決日期是九月二十二日
[00:03:50.000 --> 00:03:52.000]  在九月二十二日那天
[00:03:52.000 --> 00:03:57.000]  伊雲預備要裝載動物上船
[00:03:57.000 --> 00:03:59.000]  勸人上船
[00:03:59.000 --> 00:04:01.000]  但周圍的人就笑
[00:04:01.000 --> 00:04:03.000]  有沒有搞錯
[00:04:03.000 --> 00:04:04.000]  於是就不肯
[00:04:04.000 --> 00:04:08.000]  但那時候有警察來要拆這個方舟
[00:04:08.000 --> 00:04:13.000]  在那時候大塔突然倒下
[00:04:13.000 --> 00:04:15.000]  洪水傾流而出
[00:04:15.000 --> 00:04:18.000]  於是周圍的人就上方舟
[00:04:18.000 --> 00:04:22.000]  而洪水將這個方舟推到
[00:04:22.000 --> 00:04:26.000]  沖到華盛頓的國會山莊
[00:04:26.000 --> 00:04:31.000]  在那個時候龍欣正要表決土地方案
[00:04:31.000 --> 00:04:34.000]  大塔倒下的事件
[00:04:34.000 --> 00:04:38.000]  將龍欣不法的手段暴露出來
[00:04:38.000 --> 00:04:41.000]  最後伊雲勝過惡人
[00:04:41.000 --> 00:04:44.000]  拯救了無數人的生命
[00:04:44.000 --> 00:04:48.000]  表面來看羅亞方舟是一個兒童的故事
[00:04:48.000 --> 00:04:50.000]  叫人看得很開心
[00:04:50.000 --> 00:04:54.000]  但其實裡面有很重要的訊息
[00:04:54.000 --> 00:04:57.000]  是我們聽到我們不太喜歡的
[00:04:57.000 --> 00:05:00.000]  這個開心的兒童故事
[00:05:00.000 --> 00:05:02.000]  搞笑的故事背後
[00:05:02.000 --> 00:05:05.000]  其實是說出人類的黑暗
[00:05:05.000 --> 00:05:09.000]  和神的失望
[00:05:09.000 --> 00:05:11.000]  在創世紀錄記載當中
