
[00:00:00.000 --> 00:00:03.800]  今日我們的訊息題目是「追隨基督」
[00:00:03.800 --> 00:00:06.600]  不過在 PowerPoint 打出來的題目
[00:00:06.600 --> 00:00:12.400]  比較仔細來描述追隨基督的意思
[00:00:12.400 --> 00:00:14.500]  按照我們這兩年的計劃
[00:00:14.500 --> 00:00:18.300]  今天是本督會規第四章十節
[00:00:18.300 --> 00:00:20.700]  很簡單的一句說話
[00:00:20.700 --> 00:00:25.000]  To deny oneself in order to follow Christ
[00:00:25.000 --> 00:00:27.200]  犧牲自己
[00:00:27.200 --> 00:00:30.900]  目的就是要跟隨耶穌基督
[00:00:30.900 --> 00:00:33.800]  這個這麼簡單的一段說話
[00:00:33.800 --> 00:00:36.700]  是來自《聖經》方書裡面
[00:00:36.700 --> 00:00:39.500]  《馬太福音》和《路加福音》
[00:00:39.500 --> 00:00:45.400]  我們今天會按照《馬太福音》的說法來思想
[00:00:45.400 --> 00:00:49.200]  《路加福音》不同的是多了「天天」兩個字
[00:00:49.200 --> 00:00:52.700]  強調這個跟隨耶穌基督的過程
[00:00:52.700 --> 00:00:57.900]  是每一刻、每一天延續的
[00:00:57.900 --> 00:00:59.700]  今天在這個世界裡面
[00:00:59.700 --> 00:01:04.400]  很多人有追隨者成為偶像
[00:01:04.400 --> 00:01:08.800]  假如你在某一樣的運動方面
[00:01:08.800 --> 00:01:11.300]  是一個卓越的人
[00:01:11.300 --> 00:01:13.400]  經過媒體的宣傳
[00:01:13.400 --> 00:01:16.800]  很多人都會以你為偶像
[00:01:16.800 --> 00:01:20.700]  也有很多人成為追隨別人的人
[00:01:20.700 --> 00:01:23.700]  追捧某些偶像
[00:01:23.700 --> 00:01:26.700]  這些偶像有些是藝人
[00:01:26.700 --> 00:01:28.300]  有些是歌星
[00:01:28.300 --> 00:01:30.500]  有些是球壇的巨星
[00:01:30.500 --> 00:01:33.900]  有些是運動的能手
[00:01:33.900 --> 00:01:38.900]  偶像也很可能是一個人的嗜好和興趣
[00:01:38.900 --> 00:01:41.900]  我在香港電影展館那裡
[00:01:41.900 --> 00:01:45.000]  看到有些很舊的剪報
[00:01:45.000 --> 00:01:50.200]  和一些是黑白電影的記錄
[00:01:50.200 --> 00:01:53.800]  是一個在屋邨住的人
[00:01:53.800 --> 00:01:56.200]  他對電影特別有興趣
[00:01:56.200 --> 00:01:59.500]  以前我看明報對他的訪問說
[00:01:59.500 --> 00:02:03.700]  他窮其一生改變他的生活習慣和方式
[00:02:03.700 --> 00:02:06.300]  晚上不答應出去飲宴
[00:02:06.300 --> 00:02:08.500]  下班就睡覺
[00:02:08.500 --> 00:02:11.800]  然後到凌晨的時候
[00:02:11.800 --> 00:02:14.000]  就打開這些黑白的電視
[00:02:14.000 --> 00:02:15.300]  看這些舊片
[00:02:15.300 --> 00:02:18.100]  然後逐一步來記錄
[00:02:18.100 --> 00:02:22.400]  他在舊書攤搜集很多舊的電影雜誌
[00:02:22.400 --> 00:02:24.100]  然後剪起來
[00:02:24.100 --> 00:02:25.400]  從沒有一個人
[00:02:25.400 --> 00:02:28.700]  對一件不是很重要的東西
[00:02:28.700 --> 00:02:31.900]  做一個這麼全面的搜集
[00:02:31.900 --> 00:02:35.900]  在屋邨這麼小的地方
[00:02:35.900 --> 00:02:38.100]  做了很多疊的書架
[00:02:38.100 --> 00:02:40.100]  放了這些東西
[00:02:40.100 --> 00:02:42.700]  然後到香港有電影展館的時候
[00:02:42.700 --> 00:02:46.100]  他將這些資料捐了出來
[00:02:46.100 --> 00:02:50.300]  我一樣嗜好原來一個人可以熱誠瘋狂
[00:02:50.300 --> 00:02:52.300]  到一個這樣的地步
[00:02:52.300 --> 00:02:54.300]  同樣在今天的社會裏面
[00:02:54.300 --> 00:02:58.000]  也有很多人追捧某些政治人物
[00:02:58.000 --> 00:02:59.900]  某些政治的制度
[00:02:59.900 --> 00:03:02.400]  某些政治的理想
[00:03:02.400 --> 00:03:04.400]  我舉兩個例子
[00:03:04.400 --> 00:03:06.100]  在七五年的時候
[00:03:06.100 --> 00:03:08.400]  很多重要的人去世
[00:03:08.400 --> 00:03:12.900]  其中一個就是台灣的總統蔣介石
[00:03:12.900 --> 00:03:15.000]  當時登在報紙裏面
[00:03:15.000 --> 00:03:16.900]  遺囑這麼說
[00:03:16.900 --> 00:03:18.700]  自如出發以來
[00:03:18.700 --> 00:03:21.000]  即追隨總理革命
