
[00:00:00.000 --> 00:00:02.940]  人生有很多不同的抉擇
[00:00:02.940 --> 00:00:05.480]  婚姻是一個抉擇
[00:00:05.480 --> 00:00:09.080]  買不買樓在這個時刻是一個抉擇
[00:00:09.080 --> 00:00:13.040]  結婚租屋還是買樓是一個抉擇
[00:00:13.040 --> 00:00:15.420]  工作是一個抉擇
[00:00:15.420 --> 00:00:19.020]  當你的工作忙到七彩
[00:00:19.020 --> 00:00:20.400]  天天加班
[00:00:20.400 --> 00:00:22.140]  一個星期開足七天
[00:00:22.140 --> 00:00:24.440]  你到底留下這份工作
[00:00:24.440 --> 00:00:27.040]  還是我另謀高就
[00:00:27.040 --> 00:00:28.380]  是一個抉擇
[00:00:28.600 --> 00:00:31.540]  不需要等老闆來幫你做抉擇
[00:00:31.540 --> 00:00:33.460]  是你自己做的抉擇
[00:00:33.460 --> 00:00:36.260]  另一方面我們的時間怎麼用
[00:00:36.260 --> 00:00:37.480]  是一個抉擇
[00:00:37.480 --> 00:00:38.640]  在現在這一刻
[00:00:38.640 --> 00:00:40.040]  每個人都說升級
[00:00:40.040 --> 00:00:42.460]  以至工作忙到七彩
[00:00:42.460 --> 00:00:43.960]  你還要去進修
[00:00:43.960 --> 00:00:46.280]  搞到自己渾身殘
[00:00:46.280 --> 00:00:48.400]  這是一個抉擇
[00:00:48.400 --> 00:00:51.180]  到底我們要追求這個潮流
[00:00:51.180 --> 00:00:53.560]  還是我們自己本身來衡量一下
[00:00:53.560 --> 00:00:55.480]  我到底應不應付得到
[00:00:55.480 --> 00:00:57.480]  這是一個抉擇
[00:00:57.960 --> 00:00:59.500]  真言告訴我們
[00:00:59.500 --> 00:01:01.460]  喜樂的心
[00:01:01.460 --> 00:01:02.920]  乃是良藥
[00:01:02.920 --> 00:01:04.500]  憂傷的靈
[00:01:04.500 --> 00:01:06.000]  使骨枯幹
[00:01:06.000 --> 00:01:07.480]  喜樂的心
[00:01:07.480 --> 00:01:08.760]  憂傷的靈
[00:01:08.760 --> 00:01:10.860]  原來在這個地方給我們看見
[00:01:10.860 --> 00:01:12.440]  是一個抉擇
[00:01:12.440 --> 00:01:14.720]  你和我可能會問一個問題
[00:01:14.720 --> 00:01:17.540]  為什麼這是一個抉擇呢?
[00:01:17.540 --> 00:01:19.960]  因為聖經裡面說得很清楚
[00:01:19.960 --> 00:01:23.320]  喜樂是裡面的東西
[00:01:23.320 --> 00:01:25.020]  是心
[00:01:25.020 --> 00:01:26.560]  是靈
[00:01:26.560 --> 00:01:28.560]  憂傷是靈
[00:01:28.560 --> 00:01:30.560]  喜樂是心
[00:01:30.560 --> 00:01:33.640]  我們可以選擇我們的心境
[00:01:33.640 --> 00:01:35.360]  我們選擇不了環境
[00:01:35.360 --> 00:01:36.160]  不要緊
[00:01:36.160 --> 00:01:38.560]  但是我們可以選擇我們的心境
[00:01:38.560 --> 00:01:40.260]  如果你和我們的心境
[00:01:40.260 --> 00:01:41.460]  好像剛才
[00:01:41.460 --> 00:01:43.460]  和我們說見證的姐妹一樣
[00:01:43.460 --> 00:01:45.940]  你會完全不同的看法
[00:01:45.940 --> 00:01:48.360]  同一個時間
[00:01:48.360 --> 00:01:50.160]  幾個月裡面
[00:01:50.160 --> 00:01:52.560]  母女一起患癌症
[00:01:52.560 --> 00:01:56.060]  環境惡劣
[00:01:56.060 --> 00:01:57.860]  環境
[00:01:57.860 --> 00:01:59.860]  每個人都會感覺到
[00:01:59.860 --> 00:02:01.360]  惡言
[00:02:01.360 --> 00:02:02.860]  不知所措
[00:02:02.860 --> 00:02:04.060]  有幾個人覺得
[00:02:04.060 --> 00:02:06.860]  如果這些環境淋到你的時候
[00:02:06.860 --> 00:02:08.860]  是一個惡號
[00:02:08.860 --> 00:02:10.160]  是很不開心的
[00:02:10.160 --> 00:02:11.860]  可不可以舉手?
[00:02:11.860 --> 00:02:13.860]  每個人都會有這個感覺
[00:02:13.860 --> 00:02:15.860]  但是我們看到姐妹
[00:02:15.860 --> 00:02:17.860]  她寧願選擇
[00:02:17.860 --> 00:02:20.660]  不是問為什麼
[00:02:20.660 --> 00:02:22.660]  而是問
[00:02:22.660 --> 00:02:24.660]  神在這個時刻
[00:02:26.160 --> 00:02:28.260]  你要我學的功課是什麼?
[00:02:28.260 --> 00:02:30.860]  你要我把握的機會是什麼?
[00:02:30.860 --> 00:02:33.660]  你要我關心的是誰?
[00:02:33.660 --> 00:02:34.860]  所以因為這樣
[00:02:34.860 --> 00:02:35.960]  在這段時間裡面
[00:02:35.960 --> 00:02:38.160]  她關心多年的媽媽
[00:02:38.160 --> 00:02:39.760]  是因為癌症
[00:02:39.760 --> 00:02:41.960]  以致有一種需要感
[00:02:41.960 --> 00:02:43.460]  是這種需要感
[00:02:43.460 --> 00:02:46.360]  令她真真正正決志信耶穌
[00:02:46.360 --> 00:02:48.260]  就是因為她的決志信耶穌
[00:02:48.260 --> 00:02:51.460]  縱使是末期的肺癌也好
[00:02:51.460 --> 00:02:53.460]  是帶給一家人
[00:02:53.460 --> 00:02:56.060]  一個開心,帶給他開心
[00:02:56.060 --> 00:02:57.160]  而她自己本身
[00:02:57.160 --> 00:02:59.160]  就是因為一個喜樂的心
[00:02:59.160 --> 00:03:01.460]  連在接受化療
[00:03:01.460 --> 00:03:03.060]  開完刀期間
[00:03:03.060 --> 00:03:06.760]  她的康復比一般人都要快
[00:03:06.760 --> 00:03:08.960]  你相不相信,弟兄姊妹?
[00:03:08.960 --> 00:03:10.360]  很多時候
[00:03:10.360 --> 00:03:13.360]  你的病容不容易好
[00:03:13.360 --> 00:03:15.460]  或者你容不容易大步
[00:03:15.460 --> 00:03:17.760]  跨過某些困難
[00:03:17.760 --> 00:03:19.760]  是你的選擇
[00:03:19.760 --> 00:03:21.760]  當我們有一個喜樂的心的時候
[00:03:21.760 --> 00:03:23.160]  原來有很多的病
[00:03:23.160 --> 00:03:24.560]  它會遠離你的
[00:03:24.560 --> 00:03:25.660]  有很多的病
[00:03:25.660 --> 00:03:27.560]  你會好得快很多的
[00:03:27.560 --> 00:03:29.760]  但是如果你選擇是憂傷
[00:03:29.760 --> 00:03:31.160]  是不開心的時候
[00:03:31.160 --> 00:03:34.360]  那些病是天天纏著你
[00:03:34.360 --> 00:03:37.160]  那種衰退可能比人更加快
[00:03:37.160 --> 00:03:38.760]  更加大
[00:03:38.760 --> 00:03:41.760]  我們今天都很想和大家分享
[00:03:41.760 --> 00:03:43.460]  一個抉擇
[00:03:43.460 --> 00:03:44.660]  是一個選擇
[00:03:44.660 --> 00:03:47.260]  這個選擇是人群的選擇
[00:03:47.260 --> 00:03:50.860]  還是耶穌基督告訴你的選擇
[00:03:50.860 --> 00:03:52.560]  我覺得有一段時間
[00:03:52.560 --> 00:03:55.160]  有不少的弟兄姊妹和我提及道
[00:03:55.160 --> 00:03:57.160]  他說:蘇慕斯,很對不起
[00:03:57.160 --> 00:03:58.960]  我今天不是很集中
[00:03:58.960 --> 00:04:00.360]  所以我聽你的道的時候
[00:04:00.360 --> 00:04:01.460]  雲有障礙
[00:04:01.460 --> 00:04:03.360]  我就問他:有什麼事呢?
[00:04:03.360 --> 00:04:04.560]  他一回來
[00:04:04.560 --> 00:04:06.360]  我見到某人
[00:04:06.360 --> 00:04:08.660]  我就整個人不開心
[00:04:08.660 --> 00:04:10.360]  然後整堂崇拜
[00:04:10.360 --> 00:04:11.760]  就是因為見到他在這裡
[00:04:11.760 --> 00:04:13.160]  我就很不開心了
[00:04:13.160 --> 00:04:15.360]  我說這個人做了什麼事
[00:04:15.360 --> 00:04:17.160]  令你這麼不開心呢?
[00:04:17.160 --> 00:04:18.960]  他不是道德問題
[00:04:18.960 --> 00:04:20.060]  他又不是什麼
[00:04:20.060 --> 00:04:23.060]  總之我接納不到他
