
[00:00:00.000 --> 00:00:01.280]  丙智慧早晨
[00:00:01.280 --> 00:00:04.560]  今天主佩我有機會是貨型格回來
[00:00:04.560 --> 00:00:06.800]  25天在香港都很忙碌
[00:00:06.800 --> 00:00:10.520]  回來都很忙碌去預備很多的工作
[00:00:10.520 --> 00:00:12.520]  再次有機會臣的話語
[00:00:12.520 --> 00:00:14.520]  我們一起低頭禱告
[00:00:14.520 --> 00:00:16.800]  天佛感謝你
[00:00:16.800 --> 00:00:19.480]  你給我們有機會來練聽你的話語
[00:00:19.480 --> 00:00:22.000]  願你來到當中親自對眾人說話
[00:00:22.000 --> 00:00:24.000]  使用孩子所領受的
[00:00:24.000 --> 00:00:25.000]  所感動的
[00:00:25.000 --> 00:00:27.600]  都能夠一五一十和丙智慧分享
[00:00:27.600 --> 00:00:31.600]  讓我們一起在上帝面前不斷調整自己的生命
[00:00:31.600 --> 00:00:35.120]  越來越領受上帝你的豐盛的恩典和生命
[00:00:35.120 --> 00:00:36.640]  帶我們以下時隔
[00:00:36.640 --> 00:00:37.600]  以上禱告
[00:00:37.600 --> 00:00:39.600]  奉耶穌的祈禱
[00:00:39.600 --> 00:00:44.080]  年尾的時候
[00:00:44.080 --> 00:00:47.600]  通常很多網絡媒體都會說
[00:00:47.600 --> 00:00:50.080]  到底2023年做了些什麼
[00:00:50.080 --> 00:00:52.880]  無論在不同的基督教媒體
[00:00:52.880 --> 00:00:54.160]  無論是《低聲道》
[00:00:54.160 --> 00:00:56.560]  或者是台灣的《基督教日報》那些
[00:00:56.560 --> 00:01:00.240]  都會說基督應該在2023年做過清單
[00:01:00.240 --> 00:01:03.280]  我不知道2023年你做過些什麼
[00:01:03.280 --> 00:01:05.840]  例如你有沒有回崇拜
[00:01:05.840 --> 00:01:07.440]  有沒有看完一本聖經
[00:01:07.440 --> 00:01:08.720]  有沒有退休
[00:01:08.720 --> 00:01:10.560]  你有做到的話你就拍一拍
[00:01:10.560 --> 00:01:12.960]  你做完的那一份就是highlight一下
[00:01:12.960 --> 00:01:16.160]  所以當每年回顧的時候
[00:01:16.160 --> 00:01:17.200]  你都會回顧
[00:01:17.200 --> 00:01:20.160]  究竟我2023年做過些什麼
[00:01:20.160 --> 00:01:23.440]  又或者同時進入2024年的時候
[00:01:23.440 --> 00:01:28.480]  你又期望你自己又做到些什麼呢
[00:01:28.480 --> 00:01:31.360]  不過有時當我們回望
[00:01:31.360 --> 00:01:33.600]  2023年做過些什麼時候
[00:01:33.600 --> 00:01:35.600]  有些事做不到為什麼呢
[00:01:35.600 --> 00:01:38.320]  或者到2024年我期望做的時候
[00:01:38.320 --> 00:01:40.400]  我又怎樣預備我的屬靈生命
[00:01:40.400 --> 00:01:44.640]  或者在我的目標當中能夠做到呢
[00:01:44.640 --> 00:01:46.480]  新年每一個計劃
[00:01:46.480 --> 00:01:48.000]  我們都會想想做些什麼
[00:01:48.000 --> 00:01:52.400]  但是我們有沒有同時去檢視自己的生命
[00:01:52.400 --> 00:01:56.880]  什麼原因在2023年不能夠讀完一本聖經呢
[00:01:56.880 --> 00:02:00.640]  什麼原因我不能夠很投入全契呢
[00:02:00.640 --> 00:02:04.160]  什麼原因你不去拍退休會呢
[00:02:04.160 --> 00:02:05.440]  等等之類的東西
[00:02:05.440 --> 00:02:10.400]  我們好像仿佛是未試過去檢視自己的屬靈生命
[00:02:10.400 --> 00:02:13.760]  什麼原因做不到我們所定的目標
[00:02:13.760 --> 00:02:17.200]  那麼生命當中是需要調整
[00:02:17.200 --> 00:02:19.440]  所以很多時候有很多壞習慣
[00:02:19.440 --> 00:02:23.760]  我不知道你對404有沒有熟悉這個表現
[00:02:23.760 --> 00:02:26.480]  如果讀IT你就知道什麼是404了
[00:02:26.480 --> 00:02:30.960]  404就是可能那些長者你留意
[00:02:30.960 --> 00:02:33.280]  為什麼我網頁上不到呢
[00:02:33.280 --> 00:02:36.560]  是因為你的網絡斷線了
[00:02:36.560 --> 00:02:38.880]  一斷線你去任何網頁
[00:02:38.880 --> 00:02:41.120]  你都會出現404這個字
[00:02:41.120 --> 00:02:43.600]  Page Not File
[00:02:43.600 --> 00:02:47.520]  其實生命當中我們都有很多404的
[00:02:47.520 --> 00:02:49.840]  因為我們找不到我們的生命
[00:02:49.840 --> 00:02:52.960]  生命為什麼找不到呢
[00:02:52.960 --> 00:02:56.640]  我希望在這次的信仰當中
[00:02:56.640 --> 00:03:00.240]  在我們這篇信息的崇拜當中
[00:03:00.240 --> 00:03:02.320]  我們一起想一想去反思一下
[00:03:02.320 --> 00:03:03.760]  為什麼斷了線
[00:03:03.760 --> 00:03:07.440]  為什麼生命當中有一片空白找不到東西
[00:03:07.440 --> 00:03:10.800]  以致我們從來未達到我們生命的目標
[00:03:10.800 --> 00:03:12.880]  或者從來沒有經歷我們封聖
[00:03:12.880 --> 00:03:15.760]  耶穌給我們的封聖的生命
[00:03:15.760 --> 00:03:17.600]  生命斷了線
[00:03:17.600 --> 00:03:20.240]  是因為我們生命當中有很多壞習慣
[00:03:20.240 --> 00:03:22.240]  或者很多error在當中
[00:03:22.240 --> 00:03:25.600]  error就是一些錯誤的信息出現
[00:03:25.600 --> 00:03:27.520]  我們一起在這段經文當中
[00:03:27.520 --> 00:03:32.800]  發現究竟我們的信仰有什麼error呢
[00:03:32.800 --> 00:03:34.560]  在第二章
[00:03:34.560 --> 00:03:38.800]  就是在楊福音六章22至25節的時候
[00:03:38.800 --> 00:03:41.360]  其實要看回上文下理
[00:03:41.360 --> 00:03:42.400]  所以有時候看這段經文
[00:03:42.400 --> 00:03:43.840]  你戴聖經就最好了
[00:03:43.840 --> 00:03:46.560]  因為程序表只印了部分
[00:03:46.560 --> 00:03:49.280]  如果你有手機千萬不要去看WhatsApp
[00:03:49.280 --> 00:03:51.360]  你可以看回前文後理
