
[00:00:00.000 --> 00:00:02.240]  我們也有一個簡短的祈禱
[00:00:02.240 --> 00:00:04.640]  來準備我們一心聽神的道
[00:00:04.640 --> 00:00:09.440]  天父多謝你讓我們一起去聆聽你的話語
[00:00:09.440 --> 00:00:11.440]  就算是最熟悉的經文
[00:00:11.440 --> 00:00:13.200]  每一次我們去讀的時候
[00:00:13.200 --> 00:00:15.440]  我們去進入角色
[00:00:15.440 --> 00:00:17.140]  我們去認識耶穌
[00:00:17.140 --> 00:00:19.140]  我們讚嘆耶穌的大能
[00:00:19.140 --> 00:00:21.140]  我們求祢讓今天
[00:00:21.140 --> 00:00:23.640]  我們再一次去讀這段經文的時候
[00:00:23.640 --> 00:00:25.640]  這個故事、這個事蹟
[00:00:25.640 --> 00:00:28.140]  讓我們再一次體會到耶穌的大能
[00:00:28.140 --> 00:00:32.140]  讓我們體會到作為一個信徒
[00:00:32.140 --> 00:00:35.140]  我們應該怎樣去尋求我們的主
[00:00:35.140 --> 00:00:37.140]  和祢的關係是怎樣
[00:00:37.140 --> 00:00:39.140]  我們多謝主聽我們禱告
[00:00:39.140 --> 00:00:41.140]  祈禱奉耶穌基督的名字
[00:00:41.140 --> 00:00:42.140]  阿們
[00:00:42.140 --> 00:00:44.140]  剛才說這段經文
[00:00:44.140 --> 00:00:46.140]  是有幾個讀法都可以的
[00:00:46.140 --> 00:00:47.140]  幾個角度
[00:00:47.140 --> 00:00:50.140]  第一個角度我自己也常用的
[00:00:50.140 --> 00:00:51.140]  就是拿這段經文
[00:00:51.140 --> 00:00:55.140]  來講關於福音聖的課題
[00:00:55.140 --> 00:00:59.140]  因為一個滿身長大麻瘋的病人
[00:00:59.140 --> 00:01:02.140]  你可以說是很難醫治的
[00:01:02.140 --> 00:01:06.140]  甚至那時候醫學上就當作是絕症
[00:01:06.140 --> 00:01:07.140]  被隔離
[00:01:07.140 --> 00:01:09.140]  而他怎樣尋求耶穌
[00:01:09.140 --> 00:01:11.140]  而一次過就醫好了
[00:01:11.140 --> 00:01:12.140]  這是一個奇蹟
[00:01:12.140 --> 00:01:14.140]  這裡可以看到耶穌的大能
[00:01:14.140 --> 00:01:16.140]  所以這段經文用福音聖的角度來看
[00:01:16.140 --> 00:01:18.140]  是很合適的
[00:01:18.140 --> 00:01:21.140]  很多時候都會令很多朋友很感動
[00:01:21.140 --> 00:01:23.140]  第二個角度就是
[00:01:23.140 --> 00:01:26.140]  其實我們一查釋經書
