
[00:00:00.000 --> 00:00:02.000]  我們再一起祈禱
[00:00:02.000 --> 00:00:04.000]  預備思想今天的聖經
[00:00:31.000 --> 00:00:32.000]  主,我們敬拜祢
[00:00:32.000 --> 00:00:35.000]  因為祢的確是創造我們的主
[00:00:35.000 --> 00:00:37.000]  是我們生命的主宰
[00:00:37.000 --> 00:00:40.000]  主,我們很願意來尊崇祢
[00:00:40.000 --> 00:00:42.000]  很願意來高舉祢
[00:00:42.000 --> 00:00:45.000]  主,當我們敬拜祢的時候
[00:00:45.000 --> 00:00:48.000]  求祢讓我們的心更加可以貼近祢
[00:00:48.000 --> 00:00:51.000]  更加知道尊祢偉大
[00:00:51.000 --> 00:00:55.000]  更加知道在生活上去聽從祢
[00:00:55.000 --> 00:00:57.000]  主,我們仰望祢自己
[00:00:57.000 --> 00:01:01.000]  當我們現今打開聖經再次思想祢的說話的時候
[00:01:01.000 --> 00:01:03.000]  主,我們很需要祢的聖靈
[00:01:03.000 --> 00:01:06.000]  常常在我們心裡面幫助我們
[00:01:06.000 --> 00:01:08.000]  明白祢的道
[00:01:08.000 --> 00:01:11.000]  有領受力量去行出來
[00:01:11.000 --> 00:01:13.000]  求祢賜福,引導我們
[00:01:13.000 --> 00:01:15.000]  我們同心祈禱
[00:01:15.000 --> 00:01:17.000]  奉耶穌基督,聖名祈求
[00:01:17.000 --> 00:01:18.000]  阿門
[00:01:18.000 --> 00:01:22.000]  我們再看回聖經羅馬書十二章
[00:01:22.000 --> 00:01:24.000]  我們剛才讀的經文
[00:01:28.000 --> 00:01:30.000]  我們常常都會說到
[00:01:30.000 --> 00:01:32.000]  基督徒的人生
[00:01:32.000 --> 00:01:34.000]  其實就是一個侍奉的人生
[00:01:34.000 --> 00:01:37.000]  過去在未曾信主的時候
[00:01:37.000 --> 00:01:39.000]  我們可能有很多不同
[00:01:39.000 --> 00:01:41.000]  我們追隨的對象
[00:01:41.000 --> 00:01:44.000]  或者說我們其實在過去
[00:01:44.000 --> 00:01:46.000]  是侍奉著這個世界
[00:01:46.000 --> 00:01:49.000]  或者說服侍著我們自己的
[00:01:49.000 --> 00:01:51.000]  個人的理想
[00:01:51.000 --> 00:01:53.000]  我們自己的人生的
[00:01:53.000 --> 00:01:55.000]  很多大的目標
[00:01:55.000 --> 00:01:58.000]  或者說自我的一個目標
[00:01:58.000 --> 00:02:00.000]  又或者是很多時候
[00:02:00.000 --> 00:02:02.000]  我們會有很多心中的偶像
[00:02:02.000 --> 00:02:05.000]  我們是跟隨著
[00:02:05.000 --> 00:02:07.000]  但是信了主之後你知道
[00:02:07.000 --> 00:02:09.000]  聖經很清楚的講述給我們知道
[00:02:09.000 --> 00:02:12.000]  從今以後我們承認神是神
[00:02:12.000 --> 00:02:16.000]  因此我們是侍奉著這位的上帝
[00:02:16.000 --> 00:02:19.000]  當然侍奉有很多不同的表達
[00:02:19.000 --> 00:02:22.000]  我們會提到有三方面
[00:02:22.000 --> 00:02:25.000]  也都是我們過去藤井輝牧師常常提到
[00:02:25.000 --> 00:02:27.000]  我們三方面的侍奉
[00:02:27.000 --> 00:02:30.000]  第一你是以你的敬拜讚美
[00:02:30.000 --> 00:02:32.000]  來侍奉神
[00:02:32.000 --> 00:02:33.000]  第二
[00:02:33.000 --> 00:02:35.000]  以你的生活行為
[00:02:35.000 --> 00:02:37.000]  按著主的旨意來活出來
[00:02:37.000 --> 00:02:40.000]  作為生命的侍奉
[00:02:40.000 --> 00:02:42.000]  第三
[00:02:42.000 --> 00:02:44.000]  按著神給你的呼召
[00:02:44.000 --> 00:02:46.000]  祂給你的恩賜
[00:02:46.000 --> 00:02:48.000]  你都去做出來
[00:02:48.000 --> 00:02:51.000]  成為了你工作性的侍奉
[00:02:52.000 --> 00:02:54.000]  這三種的侍奉
[00:02:54.000 --> 00:02:56.000]  或者叫做本位的侍奉
[00:02:56.000 --> 00:02:57.000]  敬拜
[00:02:57.000 --> 00:02:59.000]  生命的侍奉
[00:02:59.000 --> 00:03:01.000]  還有工作的侍奉
[00:03:01.000 --> 00:03:03.000]  構成了你整個侍奉的人生
[00:03:03.000 --> 00:03:06.000]  而當你一直跟隨著主的時候
[00:03:06.000 --> 00:03:08.000]  你常常都會問一個問題
[00:03:08.000 --> 00:03:11.000]  我今天是否侍奉著神
[00:03:11.000 --> 00:03:14.000]  還是好像還沒有順序之前
[00:03:14.000 --> 00:03:16.000]  侍奉著這個世界
[00:03:16.000 --> 00:03:21.000]  而當你越來越走侍奉的路的時候
[00:03:22.000 --> 00:03:26.000]  你發覺你的生命是更加能夠屬於神
[00:03:26.000 --> 00:03:29.000]  因為不再是屬於這個世界
[00:03:29.000 --> 00:03:31.000]  而是聽從神
[00:03:31.000 --> 00:03:33.000]  做神喜悅你做的事情
[00:03:33.000 --> 00:03:35.000]  而你更加經歷那種
[00:03:35.000 --> 00:03:38.000]  與神同行的人生的美善
[00:03:38.000 --> 00:03:41.000]  今天我們一起讀聖經
[00:03:41.000 --> 00:03:43.000]  羅莫書十二章是大家熟悉的
[00:03:43.000 --> 00:03:45.000]  而今天特別所提及的一種侍奉
[00:03:45.000 --> 00:03:49.000]  就是在教會裏面的一種工作性的侍奉
[00:03:49.000 --> 00:03:52.000]  但這種侍奉必須有一個大前提
[00:03:52.000 --> 00:03:55.000]  就是奉獻自己
[00:03:55.000 --> 00:03:59.000]  然後我們才能夠真正去侍奉
[00:03:59.000 --> 00:04:02.000]  從奉獻去到侍奉
[00:04:02.000 --> 00:04:04.000]  大家讀回十二章第一節
