
[00:00:00.000 --> 00:00:04.080]  今天的題目是「順從聖靈成長的生命」
[00:00:04.080 --> 00:00:08.760]  我不知道大家有沒有試過想完成一些目標
[00:00:08.760 --> 00:00:10.800]  但是你很努力去完成
[00:00:10.800 --> 00:00:15.960]  但是很努力的背後又好像達不到預期的效果
[00:00:15.960 --> 00:00:19.960]  最近在一次少年導師的outing裡面
[00:00:19.960 --> 00:00:24.000]  一群很愛我的少年導師和我的太太
[00:00:24.000 --> 00:00:27.440]  鼓勵我要減肥
[00:00:27.640 --> 00:00:31.880]  我看到這張照片真的覺得很像我自己
[00:00:31.880 --> 00:00:36.400]  我感謝教主Joyce說「你真的找得好,找得這麼像」
[00:00:36.400 --> 00:00:40.400]  他們鼓勵我,鼓勵我要減肥
[00:00:40.400 --> 00:00:45.160]  我發現減肥不是只要努力就可以
[00:00:45.160 --> 00:00:48.600]  當我決定減肥的時候,有不同的人給了我不同的意見
[00:00:48.600 --> 00:00:51.520]  首先我要感謝童工對我的支持,因為他們很好
[00:00:51.520 --> 00:00:54.720]  很愛我,不斷為我搜羅健康的食物
[00:00:54.720 --> 00:01:04.200]  多謝Pastor Irene和我去買白切雞胸飯,酒汁小飯
[00:01:04.200 --> 00:01:10.200]  但是很難買,有時候去到燒味店已經賣光了
[00:01:10.200 --> 00:01:14.200]  每次都把最後一份雞胸留給我
[00:01:14.200 --> 00:01:17.640]  多謝童工們的支持
[00:01:17.640 --> 00:01:24.960]  也有不同的人跟我說「你減肥要找對方法」
[00:01:24.960 --> 00:01:26.960]  我說「什麼是找對方法?」
[00:01:26.960 --> 00:01:32.200]  他們說「你不只是做運動,當然要有好飲食習慣」
[00:01:32.200 --> 00:01:35.840]  我說「飲食習慣就是吃少一點」
[00:01:35.840 --> 00:01:39.040]  他們說「不是,不是只吃少一點」
[00:01:39.040 --> 00:01:43.400]  「你要知道什麼應該吃,什麼可以吃」
[00:01:43.400 --> 00:01:46.920]  「什麼應該不吃,什麼不可以吃」
[00:01:46.920 --> 00:01:48.920]  我說「這麼多東西?」
[00:01:48.920 --> 00:01:50.920]  「不只是這樣」
[00:01:50.920 --> 00:01:58.320]  「不只是這樣,你要知道什麼時候可以吃,什麼時候不可以吃」
[00:01:58.320 --> 00:02:01.400]  「哇,想起都頭昏了」
[00:02:01.400 --> 00:02:05.920]  我多謝了,順便很多人都很愛我
[00:02:05.920 --> 00:02:06.920]  我太太也很愛我
[00:02:06.920 --> 00:02:10.720]  有一次她請了好朋友上來打火鍋
[00:02:10.720 --> 00:02:14.080]  她買了很好的肥牛去招呼朋友
[00:02:14.080 --> 00:02:18.920]  我剛剛想吃的時候,她說「那些不是你的」
[00:02:18.920 --> 00:02:21.120]  我說「那些不是我的,那些是你的」
[00:02:21.120 --> 00:02:23.120]  「那些是瘦牛肉來的」
[00:02:23.120 --> 00:02:25.120]  「那些肥牛是朋友吃的」
[00:02:25.120 --> 00:02:27.120]  我吃瘦牛肉,多謝太太的愛
[00:02:27.120 --> 00:02:30.120]  其實她也為我預備了這些位置
[00:02:30.120 --> 00:02:34.120]  所以我們發現有時候要達到一些目標
[00:02:34.120 --> 00:02:36.120]  我們不可以只是很努力
[00:02:36.120 --> 00:02:40.120]  我們要有正確的方法,正確的做法
[00:02:40.120 --> 00:02:44.120]  但不只是這樣,我發現有時候我們去達成一些目標
[00:02:44.120 --> 00:02:49.120]  可能我們需要有合適的導師或者師傅
[00:02:49.120 --> 00:02:53.120]  大家可能聽過,我小時候是學習拉小提琴的
[00:02:53.120 --> 00:02:57.120]  我記得我初初學小提琴的時候,其實我很努力
[00:02:57.120 --> 00:02:59.120]  但我不知道為什麼彈來彈去也彈不到
[00:02:59.120 --> 00:03:03.120]  我看到老師和同學彈得很甜美的聲音
[00:03:03.120 --> 00:03:06.120]  我彈來彈去都像宰雞一樣
[00:03:06.120 --> 00:03:10.120]  然後我就覺得不要緊
[00:03:10.120 --> 00:03:14.120]  我只要回去努力練習,我就不會宰雞了
[00:03:14.120 --> 00:03:16.120]  於是我就再回家練習
[00:03:16.120 --> 00:03:20.120]  宰了很久雞之後,我就開始有點氣餒
[00:03:20.120 --> 00:03:22.120]  覺得為什麼我學不好
[00:03:22.120 --> 00:03:26.120]  但有一次有一位老師,他跟我說
[00:03:26.120 --> 00:03:29.120]  「你要首先學清楚如何拿琴」
[00:03:29.120 --> 00:03:31.120]  我說「你拿琴的手勢不行」
[00:03:31.120 --> 00:03:33.120]  他說「你又不太懂得怎樣結」
[00:03:33.120 --> 00:03:35.120]  「又不太懂得怎樣去拿」
[00:03:35.120 --> 00:03:37.120]  「所以琴就彈來彈去」
[00:03:37.120 --> 00:03:41.120]  他說「琴彈來彈去的時候,你彈的時候」
[00:03:41.120 --> 00:03:44.120]  「那些弦就被你卡住了」
[00:03:44.120 --> 00:03:46.120]  「就像宰雞一樣」
[00:03:46.120 --> 00:03:49.120]  「我原來要學如何去拿琴」
[00:03:49.120 --> 00:03:53.120]  「而且要找合適的托托著去學」
[00:03:53.120 --> 00:03:55.120]  「而且你拿琴弓不行」
[00:03:55.120 --> 00:03:57.120]  「你拿琴弓要學過」
[00:03:57.120 --> 00:04:00.120]  「我經常有些事很緊張」
[00:04:00.120 --> 00:04:03.120]  「我就很緊張地去拿著琴弓」
[00:04:03.120 --> 00:04:12.120]  我說「不是,這裡要拿緊,那裡要放鬆」
