
[00:00:00.000 --> 00:00:03.480]  今天跟大家分享的題目是「無痛人生」
[00:00:03.480 --> 00:00:05.060]  我特意弄了一個問號
[00:00:05.060 --> 00:00:08.000]  我猜大家大概都會知道
[00:00:08.000 --> 00:00:12.620]  應該沒什麼可能真的有這個無痛人生
[00:00:12.620 --> 00:00:15.080]  但是我也要想一想
[00:00:15.080 --> 00:00:20.880]  我相信沒有誰會喜歡很痛苦的經驗
[00:00:20.880 --> 00:00:24.920]  不過如果有人建議我們應該用盡方法
[00:00:24.920 --> 00:00:27.320]  就算不可以消滅一切痛苦也好
[00:00:27.320 --> 00:00:32.120]  盡可能將人生可能出現的不同的痛苦
[00:00:32.120 --> 00:00:34.340]  我們逐個逐個去消除
[00:00:34.340 --> 00:00:36.300]  消滅多少就多少
[00:00:36.300 --> 00:00:39.100]  不知道你會不會大力贊成呢?
[00:00:39.100 --> 00:00:42.120]  那些必須要留下是因為消滅不了
[00:00:42.120 --> 00:00:44.280]  你贊不贊成呢?
[00:00:44.280 --> 00:00:49.120]  這個問題我相信大家不是很膚淺的人
[00:00:49.120 --> 00:00:50.120]  大家都很猶豫
[00:00:50.120 --> 00:00:53.920]  沒有太容易馬上舉手說贊成
[00:00:53.920 --> 00:00:59.380]  為什麼真的消滅所有痛苦未必是一件好事呢?
[00:00:59.380 --> 00:01:02.420]  或許這個見證我接下來分享的經歷
[00:01:02.420 --> 00:01:04.920]  大家都會覺得真的很難
[00:01:04.920 --> 00:01:07.740]  或者不應該消滅所有的痛苦
[00:01:07.740 --> 00:01:11.580]  我曾經試過兩三次因為胃食的緣故
[00:01:11.580 --> 00:01:14.280]  出去吃晚餐的時候我吃得太多
[00:01:14.280 --> 00:01:16.280]  而且是很難消化的東西
[00:01:16.280 --> 00:01:19.200]  結果搞到我晚上兩三點的時候
[00:01:19.200 --> 00:01:22.360]  是因為胃痛痛得太厲害而痛醒了
[00:01:22.360 --> 00:01:25.320]  並且痛了兩三個小時
[00:01:25.320 --> 00:01:28.240]  當時我真的很想有個方法
[00:01:28.240 --> 00:01:30.240]  叮一聲或者吃一粒胃藥
[00:01:30.240 --> 00:01:31.540]  當然也有吃胃藥
[00:01:31.540 --> 00:01:34.620]  很希望一吃下去痛苦就消失了
[00:01:34.620 --> 00:01:36.040]  但是也沒辦法
[00:01:36.040 --> 00:01:39.340]  要熬那兩三個小時很痛的時間也要熬
[00:01:39.340 --> 00:01:41.720]  硬吃沒辦法
[00:01:41.720 --> 00:01:45.600]  原來真的有些痛苦
[00:01:45.600 --> 00:01:47.960]  你要忍受是真的很艱難
[00:01:47.960 --> 00:01:51.800]  但解決不了是令你真的很沮喪
[00:01:51.800 --> 00:01:56.100]  最近我跟一位姐妹聊過童年養寵物的經驗
[00:01:56.100 --> 00:01:59.600]  她提到原來她認識了一位小朋友
[00:01:59.600 --> 00:02:03.700]  因為小時候養雞的時候沒有禽流感
[00:02:03.700 --> 00:02:05.020]  所以不用擔心
[00:02:05.020 --> 00:02:09.100]  她不知道雞仔不停地吃東西是不會停的
[00:02:09.100 --> 00:02:10.320]  我不知道大家知不知道
[00:02:10.320 --> 00:02:12.320]  我自己也不太知道
[00:02:12.320 --> 00:02:15.780]  於是那個小朋友不停地給雞仔吃東西
[00:02:15.780 --> 00:02:18.780]  不停地餵牠吃
[00:02:18.780 --> 00:02:24.080]  結果導致雞仔因為太飽而死了
[00:02:24.080 --> 00:02:26.380]  雞仔死的時候
[00:02:26.380 --> 00:02:29.300]  肥到有四個下巴
[00:02:29.300 --> 00:02:31.300]  肥得很誇張
[00:02:31.300 --> 00:02:32.340]  我不禁想
[00:02:32.340 --> 00:02:35.960]  如果我不是有這麼難忘胃痛的經驗
[00:02:35.960 --> 00:02:37.340]  雖然是很痛苦
[00:02:37.340 --> 00:02:39.480]  可能我大概也沒什麼好下場
[00:02:39.480 --> 00:02:41.320]  好像小雞一樣不停地吃
[00:02:41.320 --> 00:02:42.320]  不停地吃是不會停的
[00:02:42.320 --> 00:02:43.860]  因為不需要痛
[00:02:43.860 --> 00:02:45.860]  這樣就真的很笨了
[00:02:45.860 --> 00:02:47.860]  我相信
[00:02:47.860 --> 00:02:49.360]  說完這件事
[00:02:49.360 --> 00:02:51.860]  其實不只是在座的醫生
[00:02:51.860 --> 00:02:54.360]  可能是包括老師
[00:02:54.360 --> 00:02:57.860]  或者在座當中的臨床心理學家
[00:02:57.860 --> 00:02:59.860]  總之是有份參與
[00:02:59.860 --> 00:03:02.860]  真的處理生命有關的事情
[00:03:02.860 --> 00:03:07.360]  甚至去到幫人戒煙、戒酒、戒毒等等
[00:03:07.360 --> 00:03:11.360]  如果我們是有份去處理生命有關的事情
[00:03:11.360 --> 00:03:13.360]  我猜你也可以很輕易
[00:03:13.360 --> 00:03:15.860]  馬上提到有很多理由
[00:03:15.860 --> 00:03:17.360]  指出痛苦的經驗
[00:03:17.360 --> 00:03:19.360]  其實是有它的重要性
[00:03:19.360 --> 00:03:21.360]  甚至是益處的
[00:03:21.360 --> 00:03:23.360]  痛苦是每個人生命裡面
[00:03:23.360 --> 00:03:25.360]  無可避免的現實
[00:03:25.360 --> 00:03:27.360]  雖然我們知道
[00:03:27.360 --> 00:03:28.360]  它可以
[00:03:28.360 --> 00:03:29.360]  雖然這樣說
[00:03:29.360 --> 00:03:32.360]  我們知道它可以發揮一些有效的作用
[00:03:32.360 --> 00:03:34.860]  但是當我們遇到苦難的時候
[00:03:34.860 --> 00:03:36.860]  無論是身體的病痛
[00:03:36.860 --> 00:03:37.860]  生離死別
[00:03:37.860 --> 00:03:40.360]  又或者是重大的挫折
[00:03:40.360 --> 00:03:43.360]  我們都會覺得是很難面對的
[00:03:43.360 --> 00:03:45.860]  雖然知道它有很好的價值
[00:03:45.860 --> 00:03:48.360]  但是真的很難面對
[00:03:48.360 --> 00:03:49.360]  我覺得
[00:03:49.360 --> 00:03:51.360]  我們覺得這些苦難
[00:03:51.360 --> 00:03:54.860]  是真的情願不要發生在我們身上
[00:03:54.860 --> 00:03:56.860]  不過感謝上帝
[00:03:56.860 --> 00:04:00.860]  因為聖經裡面給我們很多很寶貴的英許
[00:04:00.860 --> 00:04:02.860]  讓我們知道
[00:04:02.860 --> 00:04:05.860]  很言簡意合地教導我們
[00:04:05.860 --> 00:04:08.360]  怎樣可以去面對這些苦難
[00:04:08.360 --> 00:04:10.360]  雖然是很難面對
[00:04:10.360 --> 00:04:13.360]  但是感謝上帝給我們很寶貴的英許
[00:04:13.360 --> 00:04:16.360]  今天就很希望和大家透過這些英許
[00:04:16.360 --> 00:04:18.360]  我們一起學習一個
[00:04:18.360 --> 00:04:20.860]  知道沒有辦法是無痛的人生
[00:04:20.860 --> 00:04:23.360]  需要與苦難共處
[00:04:23.360 --> 00:04:25.360]  好像Kathy所說
[00:04:25.360 --> 00:04:28.360]  我們可以怎樣去面對呢
[00:04:28.360 --> 00:04:31.360]  第一個可以幫助我們的英許
[00:04:31.360 --> 00:04:33.360]  其實我相信是在指示我們
[00:04:33.360 --> 00:04:36.860]  我們要看清楚一幅真正的大圖畫
[00:04:36.860 --> 00:04:39.860]  我邀請大家一起讀這段經文
[00:04:39.860 --> 00:04:41.360]  預備 1 2 3
[00:04:43.360 --> 00:04:47.360]  基督的罪名 至於要如何應付所謂的罪名和罪行
[00:04:47.360 --> 00:04:50.360]  在世上竟然有苦難
[00:04:50.360 --> 00:04:54.360]  但應如何應付所謂的罪名和罪行
[00:04:54.360 --> 00:04:55.360]  好
[00:04:55.360 --> 00:04:57.360]  這個寶貴的英許
[00:04:57.360 --> 00:05:02.360]  其實是耶穌為我們釘十字架之前
[00:05:02.360 --> 00:05:04.360]  向門徒作出的
[00:05:04.360 --> 00:05:07.360]  耶穌給我們有心理準備
[00:05:07.360 --> 00:05:09.360]  要預了苦難
[00:05:09.360 --> 00:05:12.360]  是我們活在世上生命的一個給予
[00:05:12.360 --> 00:05:15.360]  一個被賦予的事實
[00:05:15.360 --> 00:05:17.360]  對決心跟隨耶穌的人來說
[00:05:17.360 --> 00:05:21.360]  我猜這個事實是尤其是真確的
[00:05:21.360 --> 00:05:24.360]  因為我們往往會因為信仰
[00:05:24.360 --> 00:05:26.360]  可能我們面對的一些難處
[00:05:26.360 --> 00:05:29.360]  一些掙扎可能還會多一點
[00:05:29.360 --> 00:05:31.360]  但耶穌告訴我們
[00:05:31.360 --> 00:05:33.360]  預了要有這件事
[00:05:33.360 --> 00:05:36.360]  他卻是同時提醒我們
[00:05:36.360 --> 00:05:37.360]  即刻提醒我們
[00:05:37.360 --> 00:05:38.360]  雖然是這樣
[00:05:38.360 --> 00:05:42.360]  但你們不要因為這樣而消沉或懼怕
[00:05:42.360 --> 00:05:44.360]  反而去吩咐我們
[00:05:44.360 --> 00:05:46.360]  你們可以放心
[00:05:46.360 --> 00:05:48.360]  甚至Be of good cheer
[00:05:48.360 --> 00:05:49.360]  寬容一點
[00:05:49.360 --> 00:05:50.360]  鬆容一點
[00:05:50.360 --> 00:05:53.360]  不要整個心沉了
[00:05:53.360 --> 00:05:55.360]  我們繼續可以有十足的勇氣
[00:05:55.360 --> 00:05:58.360]  來走我們人生的道路
[00:05:58.360 --> 00:06:00.360]  因為他說什麼
[00:06:00.360 --> 00:06:02.360]  他說他已經勝過世界
[00:06:02.360 --> 00:06:05.360]  他已經勝了世界
[00:06:05.360 --> 00:06:08.360]  苦難只是在世界上
[00:06:08.360 --> 00:06:11.360]  眾多的境遇的其中一件事
[00:06:11.360 --> 00:06:14.360]  當耶穌說他勝了世界的時候
[00:06:14.360 --> 00:06:17.360]  他說其實世界上不單止苦難
[00:06:17.360 --> 00:06:18.360]  其中一樣
[00:06:18.360 --> 00:06:21.360]  他是整個世界裡面
[00:06:21.360 --> 00:06:23.360]  我們有機會
[00:06:23.360 --> 00:06:24.360]  叫我們發現
[00:06:24.360 --> 00:06:27.360]  是我們走信心道路的種種難處
[00:06:27.360 --> 00:06:29.360]  他都幫我們勝過了
[00:06:29.360 --> 00:06:31.360]  全部包攬了
[00:06:31.360 --> 00:06:33.360]  如果撒旦的工作
[00:06:33.360 --> 00:06:35.360]  是要千方百計地
[00:06:35.360 --> 00:06:37.360]  用世界上不同的境況
[00:06:37.360 --> 00:06:40.360]  很希望威逼或誤導我們
[00:06:40.360 --> 00:06:43.360]  要我們懷疑耶穌基督的救恩
[00:06:43.360 --> 00:06:45.360]  在我們生命上的能力的時候
[00:06:45.360 --> 00:06:47.360]  要我們中途而廢的話
[00:06:47.360 --> 00:06:50.360]  耶穌將一個很重要的事實告訴我們
