
[00:00:00.000 --> 00:00:02.000]  (主席)各位電影姊妹,早安!
[00:00:02.000 --> 00:00:08.000]  (主席)雖然我們肉眼,特別是我們在這裡,不能夠見到您,
[00:00:08.000 --> 00:00:12.000]  (主席)但我們相信大家在您的電腦或手機,
[00:00:12.000 --> 00:00:17.000]  (主席)或者不同的電子媒介,仍然可以見到我們。
[00:00:17.000 --> 00:00:20.000]  (主席)而我們今天就更加能夠經驗到,
[00:00:20.000 --> 00:00:24.000]  (主席)當中所講教會真正的意義。
[00:00:24.000 --> 00:00:27.000]  (主席)教會不是只一座建築物,
[00:00:27.000 --> 00:00:31.000]  (主席)不是只是一些人群可以見到的,
[00:00:31.000 --> 00:00:35.000]  (主席)而是我們相信我們與聖徒的相通,
[00:00:35.000 --> 00:00:38.000]  (主席)正正就是超越了建築物,
[00:00:38.000 --> 00:00:41.000]  (主席)超越了不同的時間空間,
[00:00:41.000 --> 00:00:46.000]  (主席)以致我們今天因為敬拜上帝的緣故,
[00:00:46.000 --> 00:00:48.000]  (主席)好像耶穌所講的,
[00:00:48.000 --> 00:00:50.000]  (主席)敬拜不一定在崇基,
[00:00:50.000 --> 00:00:52.000]  (主席)也不一定在您的家,
[00:00:52.000 --> 00:00:55.000]  (主席)不只是在香港,不只是在外地,
[00:00:55.000 --> 00:00:59.000]  (主席)是因為只要用心靈誠實敬拜主,
[00:00:59.000 --> 00:01:03.000]  (主席)我們都是在基督裡面一同的敬拜,
[00:01:03.000 --> 00:01:05.000]  (主席)讓我們在這個時候,
[00:01:05.000 --> 00:01:08.000]  (主席)一起思想上你的話語,
[00:01:08.000 --> 00:01:11.000]  (主席)請大家先一起祈禱。
[00:01:11.000 --> 00:01:13.000]  (主席)至愛的天父,
[00:01:13.000 --> 00:01:15.000]  (主席)您正正在今天,
[00:01:15.000 --> 00:01:19.000]  (主席)凝聚我們弟兄姊妹的心靈和誠實,
[00:01:19.000 --> 00:01:22.000]  (主席)在不同的地方,在不同的處境,
[00:01:22.000 --> 00:01:25.000]  (主席)同感恩靈的敬拜您,
