
[00:00:00.000 --> 00:00:04.380]  非常感謝主讓我再次有機會跟大家分享上帝的話語
[00:00:04.380 --> 00:00:07.680]  這段時間是紀念先人的時間
[00:00:07.680 --> 00:00:09.980]  我說的不單只是昨天的重陽節
[00:00:09.980 --> 00:00:14.160]  再之前是我們崇基學院的一個週年感恩的日子
[00:00:14.160 --> 00:00:16.100]  接著過兩天是什麼呢?
[00:00:16.100 --> 00:00:20.140]  就是紀念宗教改革五百週年的一個日子
[00:00:20.140 --> 00:00:24.080]  因為這個是紀念五百年前的十月三十一日
[00:00:24.080 --> 00:00:31.160]  就是馬丁路德將九十五條釘在現在的德國當時未有國家
[00:00:31.160 --> 00:00:33.240]  威登堡的地方的一個教堂上面
[00:00:33.240 --> 00:00:36.300]  牽起了這個宗教改革的五百週年
[00:00:36.300 --> 00:00:37.880]  過去的一年
[00:00:37.880 --> 00:00:41.920]  環繞的神學街就有很多這樣的活動
[00:00:41.920 --> 00:00:45.680]  去慶祝、紀念、反思這個宗教改革
[00:00:45.680 --> 00:00:47.800]  五百年前出現的一個事
[00:00:47.800 --> 00:00:51.560]  對於我們環教會有什麼的意義呢?
[00:00:51.560 --> 00:00:54.880]  小弟也經常要參與這些活動
[00:00:54.880 --> 00:00:56.240]  有很多的反思
[00:00:56.240 --> 00:01:00.360]  今天就想藉著啟示錄第三章第一章第六節的一段經文
[00:01:00.360 --> 00:01:04.180]  跟大家分享一些個人的一些看法
[00:01:04.180 --> 00:01:09.280]  這段經文是啟示錄裡面給薩迪教會的一封信
[00:01:09.280 --> 00:01:12.280]  薩迪教會是什麼呢?
[00:01:12.280 --> 00:01:14.280]  我們現在也很懶
[00:01:14.280 --> 00:01:16.780]  我們大家也是上網查一下什麼資料
[00:01:16.780 --> 00:01:19.840]  原來稍微找到一點點的資料
[00:01:19.840 --> 00:01:23.440]  薩迪這個地方就是今天土耳其的一個城市
[00:01:23.440 --> 00:01:29.840]  這個薩迪原本是古代王國的女帝亞利亞的一個首都
