
[00:00:00.000 --> 00:00:04.340]  很高興能夠繼續跟大家去思想聖經神的話語
[00:00:04.340 --> 00:00:07.820]  今天我們繼續看這個
[00:00:07.820 --> 00:00:10.220]  啟述七個教會的第二個
[00:00:10.220 --> 00:00:12.520]  是叫做「善美拿教會」
[00:00:12.520 --> 00:00:16.220]  這個經文是很短的,是幾節的
[00:00:16.220 --> 00:00:19.780]  本來我應該由第十節的下半部講
[00:00:19.780 --> 00:00:22.220]  不過我想少少回復
[00:00:22.220 --> 00:00:26.820]  跟大家講少少是前面的少少
[00:00:26.820 --> 00:00:28.320]  給一個背景
[00:00:28.320 --> 00:00:31.720]  善美拿教會是七個教會裏面
[00:00:31.720 --> 00:00:37.520]  其中兩個是善美拿教會和飛拉鐵飛教會
[00:00:37.520 --> 00:00:41.520]  是得到主的稱讚,沒有責備的
[00:00:41.520 --> 00:00:43.220]  為什麼呢?
[00:00:43.220 --> 00:00:50.020]  因為善美拿教會是一個願意為主去受苦的教會
[00:00:50.020 --> 00:00:53.920]  那麼受苦的教會是稱讚他嗎?
[00:00:53.920 --> 00:00:58.220]  是因為他是真心信主
[00:00:58.220 --> 00:01:03.820]  所以他是可以就算在困難患難當中
[00:01:03.820 --> 00:01:07.220]  他都堅守這個信仰
[00:01:07.220 --> 00:01:08.420]  是這樣稱讚他
[00:01:08.420 --> 00:01:11.520]  不只是因為他們受苦就稱讚他
[00:01:11.520 --> 00:01:14.720]  而到飛拉鐵飛這個教會
[00:01:14.720 --> 00:01:16.920]  正如飛拉鐵飛這個名稱
[00:01:16.920 --> 00:01:20.620]  Philadelphia就是兄弟相愛
[00:01:20.620 --> 00:01:23.420]  那麼到遲些主若許可
[00:01:23.420 --> 00:01:25.420]  可能要下年才行
[00:01:25.420 --> 00:01:29.020]  說到飛拉鐵飛教會的時候
[00:01:29.020 --> 00:01:31.020]  我就會詳細解釋一下
[00:01:31.020 --> 00:01:33.320]  究竟怎樣兄弟相愛
[00:01:33.320 --> 00:01:35.820]  少少重覆這個善美拿教會
[00:01:35.820 --> 00:01:37.820]  第二章第八節
[00:01:37.820 --> 00:01:40.620]  你要寫信給善美拿教會的使者
[00:01:40.620 --> 00:01:44.820]  說首先的、末後的、死過又活了的這樣說
[00:01:44.820 --> 00:01:49.820]  正如我已經在先前的幾堂課裏面
[00:01:49.820 --> 00:01:51.320]  跟大家分享過
[00:01:51.320 --> 00:01:55.920]  就是簡單的就是善美拿教會他們是受逼迫的
[00:01:55.920 --> 00:01:59.920]  他們甚至有人會殉道的
[00:01:59.920 --> 00:02:01.520]  所以在這個情形底下
[00:02:01.520 --> 00:02:05.320]  耶穌基督將他自己的身份
[00:02:05.320 --> 00:02:07.420]  在這個啟述第一章裏面
[00:02:07.420 --> 00:02:11.920]  我們知道是講了很多關於主耶穌基督他是怎樣的
[00:02:11.920 --> 00:02:14.220]  譬如他說他兩目如同火焰
[00:02:14.220 --> 00:02:15.920]  腳像光明瞳
[00:02:15.920 --> 00:02:18.720]  他講說話好像中水的聲音
[00:02:18.720 --> 00:02:23.320]  這些是表達到主耶穌是怎樣的人物
[00:02:23.320 --> 00:02:28.120]  在這裏他選擇了用那首先的、末後的
[00:02:28.120 --> 00:02:30.120]  這個首先的、末後
[00:02:30.120 --> 00:02:35.720]  其實在舊約已創下書四十一章、四十四章、四十八章那裏
[00:02:35.720 --> 00:02:39.320]  是用來形容舊約的耶和華神的
