
[00:00:00.000 --> 00:00:03.000]  你的心裡有沒有上帝呢?
[00:00:03.000 --> 00:00:05.000]  為什麼我會這樣問呢?
[00:00:05.000 --> 00:00:10.000]  你的心裡裝滿著什麼?
[00:00:10.000 --> 00:00:13.000]  在時事記,我們開始看時事記
[00:00:13.000 --> 00:00:15.000]  時事記好像特別當我們看的時候
[00:00:15.000 --> 00:00:17.000]  裡面有十二個時事
[00:00:17.000 --> 00:00:19.000]  我們很容易就會很想
[00:00:19.000 --> 00:00:20.000]  好像看故事那樣
[00:00:20.000 --> 00:00:23.000]  看看究竟這個時事發生了什麼事情
[00:00:23.000 --> 00:00:25.000]  那個時事經歷了什麼事
[00:00:25.000 --> 00:00:27.000]  有什麼是值得我們去學習的
[00:00:27.000 --> 00:00:30.000]  有什麼是提醒我們的
[00:00:30.000 --> 00:00:33.000]  不過電影節目當我們看時事的時候
[00:00:33.000 --> 00:00:35.000]  我們不要錯了焦點
[00:00:35.000 --> 00:00:39.000]  時事記裡面記載著十二個時事
[00:00:39.000 --> 00:00:41.000]  還有各樣的事情
[00:00:41.000 --> 00:00:44.000]  其實焦點是想我們將我們的眼目
[00:00:44.000 --> 00:00:48.000]  回到神自己身上
[00:00:48.000 --> 00:00:52.000]  所以今天這個我不是你身邊的人
[00:00:52.000 --> 00:00:54.000]  這個我是我們的神
[00:00:54.000 --> 00:00:55.000]  我們的上帝
[00:00:55.000 --> 00:01:03.000]  其實你的心裡有沒有上帝呢?
[00:01:03.000 --> 00:01:13.000]  我們一起由禱告開始
[00:01:13.000 --> 00:01:16.000]  我們的主,我們的神,我們的上帝
[00:01:16.000 --> 00:01:20.000]  我們特別將今天這段時間
[00:01:20.000 --> 00:01:25.000]  求主你的靈親自向我們每一位弟兄姊妹說話
[00:01:25.000 --> 00:01:31.000]  你的說話直接進入我們內心最深深處
[00:01:31.000 --> 00:01:35.000]  幫助我們反省我們自己
[00:01:35.000 --> 00:01:38.000]  聖靈求你親自在我們當中工作
[00:01:38.000 --> 00:01:41.000]  我們需要你
[00:01:41.000 --> 00:01:44.000]  特別照一照我們內心裡面
[00:01:44.000 --> 00:01:46.000]  有什麼地方黑暗的
[00:01:46.000 --> 00:01:48.000]  甚至我們自己都看不到的
[00:01:48.000 --> 00:01:52.000]  今天就求主你的靈在我們當中工作
[00:01:52.000 --> 00:01:54.000]  大靈兒在這段時間
[00:01:54.000 --> 00:01:58.000]  幫我們願意打開我們的耳朵
[00:01:58.000 --> 00:02:00.000]  打開我們的眼
[00:02:00.000 --> 00:02:03.000]  甚至打開我們的心
[00:02:03.000 --> 00:02:07.000]  聽聽神祢自己對我們的教導
[00:02:07.000 --> 00:02:09.000]  甚至督責提醒
[00:02:09.000 --> 00:02:11.000]  禱告奉耶穌基督聖名求
[00:02:11.000 --> 00:02:13.000]  阿們
[00:02:13.000 --> 00:02:14.000]  在時事記
[00:02:14.000 --> 00:02:16.000]  時事記裡面記載著什麼呢?
[00:02:16.000 --> 00:02:21.000]  當以色列人約書亞死了之後
[00:02:21.000 --> 00:02:26.000]  我們知道後來他們要求神給他們一個王統治
[00:02:26.000 --> 00:02:28.000]  但是由約書亞死了
[00:02:28.000 --> 00:02:32.000]  直到沒有列王之前那段時間
[00:02:32.000 --> 00:02:34.000]  他們沒有領袖
