
[00:00:00.000 --> 00:00:03.520]  我昨天才剛從短懸回來
[00:00:03.520 --> 00:00:18.920]  其實這幾天我一直在注意,因爲我們的家就靠近Arcadia的Eton Fire
[00:00:27.520 --> 00:00:33.400]  我有女兒也告訴我說這個火造成我們那邊的空氣非常不好
[00:00:33.400 --> 00:00:35.920]  所以她都跑到姐姐家去住了
[00:00:35.920 --> 00:00:48.640]  所以當我想到,這彷彿就像是一個末後的日子
[00:00:53.080 --> 00:00:59.840]  那我們今天我們教會的題目連主題是這個有關聖靈的
[00:00:59.840 --> 00:01:07.760]  那這兩個怎麼連接在一起呢?
[00:01:07.760 --> 00:01:09.760]  原本我想要改變信息了
[00:01:09.760 --> 00:01:17.840]  但是後來想到聖經上的一段聖經
[00:01:21.360 --> 00:01:23.360]  是跟末後的日子有關係的
[00:01:23.360 --> 00:01:27.200]  也是跟聖靈有關係的
[00:01:27.200 --> 00:01:31.880]  就是在使徒行段第二章17節18節說
[00:01:31.880 --> 00:01:36.880]  神說在末後的日子,我要將我的靈澆灌凡有血氣的
[00:01:49.240 --> 00:01:52.760]  所以在末後的日子,有一件事情要發生
[00:01:52.760 --> 00:01:59.480]  就是神要將他的靈澆灌每一個神的兒女
[00:01:59.480 --> 00:02:10.880]  那要提醒我們一件事情,教會存在的目的是什麼?
[00:02:10.880 --> 00:02:18.360]  教會存在的目的,就是要使萬民做主的門徒
[00:02:19.240 --> 00:02:22.920]  今天很多人失去了他的房子
[00:02:22.920 --> 00:02:33.520]  但是如果他失去了他永恆的生命呢?
[00:02:33.520 --> 00:02:40.760]  所以在他們離開這個世界之前,教會有責任把福音帶給他們
[00:02:47.320 --> 00:02:51.120]  我想那是我們今天在這裏慶祝週年慶的一個最重要的目的
[00:02:51.120 --> 00:02:59.600]  但是講到聖靈的工作
[00:02:59.600 --> 00:03:06.800]  今天教會界有很多的一些混淆的關聯
[00:03:13.880 --> 00:03:19.360]  所以今天我們要來一起來看,聖靈他有兩方面的工作
[00:03:19.360 --> 00:03:30.800]  那麼,今年的我們的主題是加拉太書第五章16節
[00:03:30.800 --> 00:03:42.840]  這裏說要順從,要中文把他翻成叫做
[00:03:42.840 --> 00:03:44.560]  "順着聖靈而行"
[00:03:44.560 --> 00:03:52.680]  這個是聖靈的內在的工作
[00:03:52.680 --> 00:04:00.120]  前面聖靈要澆灌下來,這是聖靈外在的工作
[00:04:00.120 --> 00:04:07.040]  那你看這張圖可能就會比較清楚了
[00:04:10.720 --> 00:04:16.720]  這張圖是我學工程的,我比較喜歡用一個圖來表示
[00:04:16.720 --> 00:04:25.520]  所以版權所有
[00:04:25.520 --> 00:04:35.240]  但是在中國是copy is right
[00:04:38.600 --> 00:04:43.200]  在中國是你要是去偷盜,這就是你的權利
[00:04:43.200 --> 00:04:48.480]  那歡迎大家轉發,但是不要copy
[00:04:48.480 --> 00:04:57.800]  在這個地方你看見一件事情
[00:04:57.800 --> 00:05:04.200]  從我們座標的零點一直延伸過去的這個線段
[00:05:04.200 --> 00:05:07.360]  表明這是聖靈內在的工作
[00:05:07.360 --> 00:05:09.880]  我稱它叫做"滿有聖靈"
[00:05:09.880 --> 00:05:31.560]  那麼這一個,直接的這個線段,一個一個的線段
[00:05:31.560 --> 00:05:35.280]  這是聖靈的充滿
[00:05:37.440 --> 00:05:45.600]  聖靈充滿的目的是什麼呢?
[00:05:45.600 --> 00:05:50.200]  聖靈充滿的目的是什麼呢?
[00:05:50.200 --> 00:05:52.240]  聖靈充滿的目的是什麼呢?
[00:05:52.240 --> 00:05:56.200]  聖靈充滿的目的是什麼呢?
[00:05:56.200 --> 00:06:00.360]  但是呢,滿有聖靈的目的是不一樣的
[00:06:00.360 --> 00:06:05.320]  但是呢,滿有聖靈的目的是什麼呢?
[00:06:05.320 --> 00:06:07.440]  滿有聖靈的目的是什麼呢?
[00:06:07.440 --> 00:06:10.840]  是爲了讓我們的生命更像耶穌基督
[00:06:10.840 --> 00:06:23.760]  所以聖經上講到說我們的生命要越來越像基督
[00:06:23.760 --> 00:06:29.160]  講到聖靈的果子,都是在講這個內在聖靈的工作
[00:06:35.320 --> 00:06:37.320]  講到聖靈的果子,都是在講這個內在聖靈的工作
[00:06:37.320 --> 00:06:47.800]  那麼我們來看,怎麼樣子能夠生命越來越像基督呢?
[00:06:47.800 --> 00:06:52.800]  那麼我們來看,怎麼樣子能夠生命越來越像基督呢?
