
[00:00:00.000 --> 00:00:04.900]  太古堂的弟兄姊妹平安
[00:00:04.900 --> 00:00:06.900]  感謝神 感謝教會
[00:00:06.900 --> 00:00:10.900]  給我有機會在當中跟大家分享神的話
[00:00:10.900 --> 00:00:18.500]  今天我們讀的詩篇是42跟43篇
[00:00:18.500 --> 00:00:20.800]  就是在開始的時候
[00:00:20.800 --> 00:00:25.400]  我們也一起做一個簡單的禱告
[00:00:25.400 --> 00:00:27.800]  親愛的天父上帝
[00:00:27.800 --> 00:00:32.300]  謝謝祢給我們人生當中可以認識祢
[00:00:32.300 --> 00:00:37.000]  也可以在當中因著祢的話語教導我們
[00:00:37.000 --> 00:00:41.600]  今天求祢聖靈也在我們當中開啟
[00:00:41.600 --> 00:00:45.100]  開我們的心教導我們
[00:00:45.100 --> 00:00:49.800]  讓講的和聽的同樣能祝福得教導
[00:00:49.800 --> 00:00:50.800]  感謝贊美主
[00:00:50.800 --> 00:00:55.200]  禱告封耶穌基督的聖靈球
[00:00:55.200 --> 00:00:57.400]  在基督徒的團體當中
[00:00:57.400 --> 00:01:00.700]  我們常常有機會講見證
[00:01:00.700 --> 00:01:03.600]  很多時候都聽到一些很美好的見證
[00:01:03.600 --> 00:01:06.400]  好像患了重病得醫治
[00:01:06.400 --> 00:01:09.700]  甚至可能是人際關係破裂
[00:01:09.700 --> 00:01:13.100]  而得到神的憐憫 得到改變
[00:01:13.100 --> 00:01:17.400]  這些都是禱告蒙應允的一些美好的見證
[00:01:17.400 --> 00:01:22.200]  但人生當中有時候會有突如其來的事故
[00:01:22.200 --> 00:01:25.500]  有時候往往讓我們懷疑神的愛
[00:01:25.500 --> 00:01:31.100]  好像是有些人他們一夜之間經歷了所有的財產
[00:01:31.100 --> 00:01:34.300]  變成就是好像一下子變成
[00:01:34.300 --> 00:01:38.100]  就是好像蒸發了一下
[00:01:38.100 --> 00:01:40.500]  有時候是我們的家人
[00:01:40.500 --> 00:01:45.100]  接二連三地患上了嚴重的疾病
[00:01:45.100 --> 00:01:48.700]  甚至是我們會經歷到親人的離世
[00:01:48.700 --> 00:01:51.000]  很突然的離世
[00:01:51.000 --> 00:01:54.100]  人生當中遭遇厄運
[00:01:54.100 --> 00:01:57.700]  我們口裡可能還會說神是慈愛的
[00:01:57.700 --> 00:02:00.700]  但心裡面可能就感覺到
[00:02:00.700 --> 00:02:05.300]  就是感覺到神其實是很冷漠
[00:02:05.300 --> 00:02:08.900]  究竟叫我們可能也會對禱告
[00:02:08.900 --> 00:02:13.500]  就是沒有這麼避怯去尋求神
[00:02:13.500 --> 00:02:15.700]  我們剛剛講到這麼多的厄運
[00:02:15.700 --> 00:02:17.300]  可能在我們當中
[00:02:17.300 --> 00:02:19.700]  我們都是幸運的一群
[00:02:19.700 --> 00:02:23.100]  我們可能沒有太多的經歷
[00:02:23.100 --> 00:02:25.300]  但我們每個人都有嘗過
[00:02:25.300 --> 00:02:26.700]  一定會試過
[00:02:26.700 --> 00:02:29.300]  禱告不蒙應允的時候
[00:02:29.300 --> 00:02:31.700]  有沒有試過?
[00:02:31.700 --> 00:02:33.500]  我就常常試
[00:02:33.500 --> 00:02:36.500]  也經常試過這個情況
[00:02:36.500 --> 00:02:39.300]  究竟禱告不蒙應允的時候
[00:02:39.300 --> 00:02:41.300]  我們應該做什麼呢?
[00:02:41.300 --> 00:02:45.100]  我們應該還會不會向神感恩呢?
[00:02:45.100 --> 00:02:49.300]  今天讓我們從這兩篇的詩篇去看一下
[00:02:49.300 --> 00:02:51.700]  我們禱告哀求神的時候
[00:02:51.700 --> 00:02:54.300]  跟感恩之間的關係
[00:02:54.300 --> 00:02:57.300]  和他們之間的距離
[00:02:57.300 --> 00:03:00.300]  今天要講的這兩篇詩
[00:03:00.300 --> 00:03:03.300]  聖經的學者都很多認為
[00:03:03.300 --> 00:03:05.900]  其實他們是同一篇詩
[00:03:05.900 --> 00:03:08.300]  為什麼這麼說呢?
[00:03:08.300 --> 00:03:10.700]  如果大家打開聖經
[00:03:10.700 --> 00:03:14.700]  就是剛剛我們唱詩歌的時候
[00:03:14.700 --> 00:03:17.100]  我們會唱第一節
[00:03:17.100 --> 00:03:19.100]  然後就有副歌
[00:03:19.100 --> 00:03:21.300]  然後第二節會有副歌
[00:03:21.300 --> 00:03:22.900]  第三節會有副歌
[00:03:22.900 --> 00:03:24.900]  副歌是一個什麼情況呢?
[00:03:24.900 --> 00:03:30.500]  就是一個常常重複的一段重要的歌詞
[00:03:30.500 --> 00:03:31.300]  太重要了
[00:03:31.300 --> 00:03:32.700]  所以常常重複
[00:03:32.700 --> 00:03:34.700]  所以在這兩篇詩裡邊
[00:03:34.700 --> 00:03:38.500]  你會發現同樣有一個一節的聖經
