
[00:00:00.000 --> 00:00:04.000]  如果大家上星期回來崇拜的時候
[00:00:04.000 --> 00:00:06.000]  不知道大家還記不記得
[00:00:06.000 --> 00:00:10.000]  上星期的港元楊先生問了大家一個問題
[00:00:10.000 --> 00:00:17.000]  究竟長老阿國叫保羅帶同四個人一起去聖殿行結淨禮
[00:00:17.000 --> 00:00:21.000]  這個建議成不成功呢
[00:00:21.000 --> 00:00:28.000]  不知道大家回去有沒有去找找答案
[00:00:28.000 --> 00:00:30.000]  還是很聽港元的話
[00:00:30.000 --> 00:00:33.000]  今天回來聽到
[00:00:33.000 --> 00:00:35.000]  如果你問我的時候
[00:00:35.000 --> 00:00:38.000]  我的答案是我不知道
[00:00:38.000 --> 00:00:41.000]  我不知道他們這個建議
[00:00:41.000 --> 00:00:44.000]  想說是藉著結淨禮
[00:00:44.000 --> 00:00:46.000]  幫助大家明白
[00:00:46.000 --> 00:00:49.000]  保羅的為人其實是循規蹈矩
[00:00:49.000 --> 00:00:51.000]  遵行律法的
[00:00:51.000 --> 00:00:53.000]  我答不知道
[00:00:53.000 --> 00:00:57.000]  是因為在21章27節那個告訴我們
[00:00:57.000 --> 00:00:59.000]  第七天將到的時候
[00:00:59.000 --> 00:01:02.000]  其實保羅要完成那個結淨禮的時候
[00:01:02.000 --> 00:01:04.000]  其實我都不知道他完成了沒有
[00:01:04.000 --> 00:01:06.000]  但是竟然突然間
[00:01:06.000 --> 00:01:08.000]  殺出路人甲
[00:01:08.000 --> 00:01:11.000]  有一個從亞西亞來的猶太人
[00:01:11.000 --> 00:01:13.000]  竟然在大叫
[00:01:13.000 --> 00:01:15.000]  他說以色列人啊
[00:01:15.000 --> 00:01:16.000]  以色列人啊
[00:01:16.000 --> 00:01:18.000]  你快點來幫手
[00:01:18.000 --> 00:01:22.000]  這個就是國署去教導人
[00:01:22.000 --> 00:01:24.000]  踐踏我們的百姓
[00:01:24.000 --> 00:01:26.000]  又是踐踏律法
[00:01:26.000 --> 00:01:29.000]  和這個地方的一個
[00:01:29.000 --> 00:01:32.000]  他還帶希利利
[00:01:32.000 --> 00:01:34.000]  愛邦人走去聖殿
[00:01:34.000 --> 00:01:37.000]  污穢這地
[00:01:37.000 --> 00:01:39.000]  其實原來
[00:01:39.000 --> 00:01:41.000]  對保羅不滿意的
[00:01:41.000 --> 00:01:43.000]  不單止耶路撒冷的猶太人
[00:01:43.000 --> 00:01:46.000]  連亞西亞一帶愛邦地方的猶太人
[00:01:46.000 --> 00:01:50.000]  都看保羅不順眼
[00:01:50.000 --> 00:01:54.000]  有可能這個人是來自已乏所成
[00:01:54.000 --> 00:01:56.000]  因為過去三年
[00:01:56.000 --> 00:01:58.000]  保羅有機會去到這個地方
[00:01:58.000 --> 00:02:04.000]  去牧養去傳道
[00:02:04.000 --> 00:02:06.000]  而更有可能
[00:02:06.000 --> 00:02:10.000]  這些從亞西亞已乏所來的猶太人
[00:02:10.000 --> 00:02:13.000]  是認得其中一個的
[00:02:13.000 --> 00:02:15.000]  愛邦的使徒
[00:02:15.000 --> 00:02:19.000]  這個叫做是
[00:02:19.000 --> 00:02:24.000]  第29節 特羅非摩
[00:02:24.000 --> 00:02:27.000]  這個愛邦信徒是和保羅一起
[00:02:27.000 --> 00:02:32.000]  由亞西亞回到耶路撒冷的其中一個
[00:02:32.000 --> 00:02:34.000]  剛剛好
[00:02:34.000 --> 00:02:37.000]  保羅去到聖殿行結正禮的時候
[00:02:37.000 --> 00:02:38.000]  他們以為
[00:02:38.000 --> 00:02:43.000]  保羅就帶了這個愛邦人進入聖殿
[00:02:43.000 --> 00:02:45.000]  於是他們煽動群眾
[00:02:45.000 --> 00:02:47.000]  一起要捉拿保羅
[00:02:47.000 --> 00:02:52.000]  保羅差點死在這個暴亂當中
[00:02:52.000 --> 00:02:54.000]  而事實上
[00:02:54.000 --> 00:02:57.000]  在19、20章告訴我們
[00:02:57.000 --> 00:03:00.000]  保羅要離開已乏所教會之前
[00:03:00.000 --> 00:03:02.000]  都親自對長老說過
[00:03:02.000 --> 00:03:05.000]  當地的猶太人想謀害他
[00:03:05.000 --> 00:03:07.000]  在那個時候他避過一劫
[00:03:07.000 --> 00:03:12.000]  但在這次他們再次擇路相逢
[00:03:12.000 --> 00:03:14.000]  如果大家還記得
[00:03:14.000 --> 00:03:17.000]  早前跟大家講使徒行傳第6章
[00:03:17.000 --> 00:03:19.000]  提到史提反的時候
[00:03:19.000 --> 00:03:23.000]  剛好原來他們控訴史提反
[00:03:23.000 --> 00:03:28.000]  和控訴保羅的理由都是一樣
[00:03:28.000 --> 00:03:36.000]  說他們踐踏百姓、律法和這個聖地
[00:03:36.000 --> 00:03:38.000]  其實很荒謬的
[00:03:38.000 --> 00:03:40.000]  保羅不是因為遵行律法
