
[00:00:00.000 --> 00:00:04.000]  在我家裏 從其中一個窗望出去
[00:00:04.000 --> 00:00:07.000]  就看到會以下一個這樣的境界
[00:00:07.000 --> 00:00:10.000]  這個境界就是一間學校
[00:00:10.000 --> 00:00:14.000]  這個學校裏面是一間聖公會的小學
[00:00:14.000 --> 00:00:18.000]  它有八個字在屏下
[00:00:18.000 --> 00:00:19.000]  在我家裏看到
[00:00:19.000 --> 00:00:21.000]  不過我的技術 我的相機
[00:00:21.000 --> 00:00:23.000]  大家都未必看得到
[00:00:23.000 --> 00:00:24.000]  請你包涵
[00:00:24.000 --> 00:00:26.000]  不過這幾個字是這樣的
[00:00:26.000 --> 00:00:27.000]  如果在聖公會讀過
[00:00:27.000 --> 00:00:29.000]  大概都會有這幾個字
[00:00:29.000 --> 00:00:33.000]  因為聖公會是第一個宗派來到香港
[00:00:33.000 --> 00:00:35.000]  因為它是香港殖民地
[00:00:35.000 --> 00:00:40.000]  所以早期他們的標語都是比較文言一點
[00:00:40.000 --> 00:00:41.000]  所以就有這八個字
[00:00:41.000 --> 00:00:42.000]  這八個字是怎樣呢
[00:00:42.000 --> 00:00:43.000]  猜不猜得到
[00:00:43.000 --> 00:00:46.000]  非以逆人乃逆於人
[00:00:46.000 --> 00:00:48.000]  其實這麼深奧
[00:00:48.000 --> 00:00:49.000]  就是因為當時的文字
[00:00:49.000 --> 00:00:50.000]  但也很好
[00:00:50.000 --> 00:00:51.000]  因為這八個字
[00:00:51.000 --> 00:00:54.000]  可以將耶穌馬科方十章四十五節
[00:00:54.000 --> 00:00:57.000]  因為人子尼並不是受人服侍
[00:00:57.000 --> 00:00:58.000]  乃是要服侍人
[00:00:58.000 --> 00:01:00.000]  這幾個精髓講了出來
[00:01:00.000 --> 00:01:02.000]  這就是它的情況
[00:01:02.000 --> 00:01:05.000]  這個說話被我提起
[00:01:05.000 --> 00:01:06.000]  今天是甚麼
[00:01:06.000 --> 00:01:07.000]  父親節
[00:01:07.000 --> 00:01:08.000]  我就想起
[00:01:08.000 --> 00:01:10.000]  所有父親
[00:01:10.000 --> 00:01:12.000]  特別是中國的父親
[00:01:12.000 --> 00:01:13.000]  其實是艱辛的
[00:01:13.000 --> 00:01:14.000]  因為中國的昔日
[00:01:14.000 --> 00:01:16.000]  是一個農奸的社會
[00:01:16.000 --> 00:01:18.000]  大家做過農夫就知道
[00:01:18.000 --> 00:01:20.000]  日出而作 日日而息
[00:01:20.000 --> 00:01:21.000]  又要曬
[00:01:21.000 --> 00:01:23.000]  是很辛苦的
[00:01:23.000 --> 00:01:26.000]  不知是否因為創世紀提過
[00:01:26.000 --> 00:01:28.000]  或者罪的影響
[00:01:28.000 --> 00:01:30.000]  地是受咒咒
[00:01:30.000 --> 00:01:32.000]  在創世紀三章第十七節是這樣說
[00:01:32.000 --> 00:01:34.000]  他說地受咒咒
[00:01:34.000 --> 00:01:36.000]  你 當時指著阿當
[00:01:36.000 --> 00:01:38.000]  其實阿當的意思就是男人的意思
[00:01:38.000 --> 00:01:40.000]  即是人
[00:01:40.000 --> 00:01:42.000]  你必終身勞苦
[00:01:42.000 --> 00:01:44.000]  才能得吃
[00:01:44.000 --> 00:01:47.000]  難怪真是一些男士
[00:01:47.000 --> 00:01:49.000]  當然這個世代女士都會
[00:01:49.000 --> 00:01:51.000]  昔日因為是男主導
[00:01:51.000 --> 00:01:53.000]  所以是艱辛的
[00:01:53.000 --> 00:01:55.000]  又想起我自己
[00:01:55.000 --> 00:01:57.000]  當我年少的時候
[00:01:57.000 --> 00:01:59.000]  我們家裡都是窮
[00:01:59.000 --> 00:02:00.000]  我想在那個年代
[00:02:00.000 --> 00:02:02.000]  你踏入五字頭
[00:02:02.000 --> 00:02:03.000]  大部分的爸爸
[00:02:03.000 --> 00:02:06.000]  家裡都是一般中等或者中下
[00:02:06.000 --> 00:02:09.000]  因為整個香港的社會都是這樣
[00:02:09.000 --> 00:02:10.000]  如果你不是的時候
[00:02:10.000 --> 00:02:11.000]  是一個恩典
[00:02:11.000 --> 00:02:13.000]  你繼續多謝主
[00:02:13.000 --> 00:02:16.000]  我是一個不是太有錢
[00:02:16.000 --> 00:02:18.000]  應該算窮
[00:02:18.000 --> 00:02:21.000]  爸爸為了養活一家人
[00:02:21.000 --> 00:02:22.000]  要打兩份工
[00:02:22.000 --> 00:02:23.000]  一份是政府
[00:02:23.000 --> 00:02:25.000]  一份是他的朋友
[00:02:25.000 --> 00:02:27.000]  做一些會計
[00:02:27.000 --> 00:02:29.000]  所以我經常都很少見到他
[00:02:29.000 --> 00:02:30.000]  一個星期回來一次
[00:02:30.000 --> 00:02:31.000]  無論怎樣都好
[00:02:31.000 --> 00:02:33.000]  透過今天這個日子
[00:02:33.000 --> 00:02:34.000]  透過這個聖經
[00:02:34.000 --> 00:02:35.000]  我們看到一樣
[00:02:35.000 --> 00:02:37.000]  我們的父親
[00:02:37.000 --> 00:02:39.000]  某些程度
[00:02:39.000 --> 00:02:41.000]  就對我們而言
[00:02:41.000 --> 00:02:42.000]  其實是一個
[00:02:42.000 --> 00:02:44.000]  幾似僕人
[00:02:44.000 --> 00:02:45.000]  知不知道甚麼是僕人
[00:02:45.000 --> 00:02:46.000]  服侍著我們的人
[00:02:46.000 --> 00:02:48.000]  我們今天能夠看到
[00:02:48.000 --> 00:02:51.000]  我相信都是我們父親昔日的奴婦
[00:02:51.000 --> 00:02:53.000]  在這裡代表我自己
[00:02:53.000 --> 00:02:54.000]  或者代表大家
[00:02:54.000 --> 00:02:55.000]  我們向
[00:02:55.000 --> 00:02:57.000]  他們會收到的
[00:02:57.000 --> 00:02:59.000]  我們所有的父親去多謝
[00:02:59.000 --> 00:03:01.000]  特別剛才站在這裡的
[00:03:01.000 --> 00:03:03.000]  你們都是很辛苦
[00:03:03.000 --> 00:03:04.000]  你們繼續下去
[00:03:04.000 --> 00:03:06.000]  因為特別是這個世代
[00:03:06.000 --> 00:03:08.000]  照顧兒女都不是容易簡單
[00:03:08.000 --> 00:03:09.000]  昔日都很聽話
[00:03:09.000 --> 00:03:11.000]  比現在還要照顧
[00:03:11.000 --> 00:03:12.000]  無論怎樣都好
