
[00:00:00.000 --> 00:00:02.880]  又回來《創世紀》了
[00:00:02.880 --> 00:00:05.840]  因為種種的原因
[00:00:05.840 --> 00:00:08.760]  我們又回來看《創世紀》
[00:00:08.760 --> 00:00:11.760]  今天牧師很有雄心
[00:00:11.760 --> 00:00:14.400]  因為我們要看幾章的聖經
[00:00:14.400 --> 00:00:16.480]  但是也不需要太擔心
[00:00:16.480 --> 00:00:21.040]  因為其實整個洪水的事件裡面
[00:00:21.040 --> 00:00:23.880]  我們的焦點不只是看羅亞
[00:00:23.880 --> 00:00:26.840]  我們的焦點也不只是看方舟
[00:00:26.840 --> 00:00:29.440]  我們的焦點是要看神
[00:00:29.440 --> 00:00:32.360]  在整個事件裡面的作為
[00:00:32.360 --> 00:00:36.400]  神紀念就是我們今天要和大家分享的題目
[00:00:36.400 --> 00:00:39.440]  原因就是因為整個方舟事件
[00:00:39.440 --> 00:00:41.800]  是出於神的紀念
[00:00:41.800 --> 00:00:45.280]  因為神紀念扭轉一切
[00:00:45.280 --> 00:00:48.120]  我們今天看到在羅亞、方舟
[00:00:48.120 --> 00:00:51.280]  和整個事件裡面
[00:00:51.280 --> 00:00:54.120]  不要讓我們把焦點只看羅亞
[00:00:54.120 --> 00:00:57.200]  只看洪水
[00:00:57.200 --> 00:00:58.800]  或者只看方舟
[00:00:58.800 --> 00:01:01.120]  我們真的要看神自己
[00:01:01.120 --> 00:01:02.960]  作為我們慈愛的天父
[00:01:02.960 --> 00:01:05.280]  祂怎樣引領我們
[00:01:05.280 --> 00:01:07.360]  《創世紀》從第六章開始
[00:01:07.360 --> 00:01:11.880]  就描述人類在世界中罪的擴散越來越嚴重
[00:01:11.880 --> 00:01:14.160]  從第六章開始到第九章
[00:01:14.160 --> 00:01:17.720]  都是在描述洪水的事件
[00:01:17.720 --> 00:01:22.400]  但是神在當中卻揀選了羅亞一家八口
[00:01:22.400 --> 00:01:25.760]  並保存地上的物種
[00:01:25.760 --> 00:01:28.760]  以備日後繼續的繁衍
[00:01:28.760 --> 00:01:32.760]  由此可見神的恩典是浩大的
[00:01:32.760 --> 00:01:35.000]  究竟從這個大洪水的事件裡面
[00:01:35.000 --> 00:01:41.160]  我們怎樣看見神顧念人類在地上的繁衍呢?
[00:01:41.160 --> 00:01:45.160]  神在大洪水中顧念人類
[00:01:45.160 --> 00:01:47.040]  其實說起方舟
[00:01:47.040 --> 00:01:48.040]  不只是香港
[00:01:48.040 --> 00:01:49.720]  不只是那時候有的
[00:01:49.720 --> 00:01:50.840]  不過我已經飛了
[00:01:50.840 --> 00:01:51.960]  那我們就直接說了
[00:01:51.960 --> 00:01:53.760]  不說那一句了
[00:01:53.760 --> 00:01:57.680]  神在大洪水中顧念人類的第一個途徑就是
[00:01:57.680 --> 00:02:04.680]  神揀選了羅亞和他的家庭去建造方舟
[00:02:04.680 --> 00:02:06.840]  我們看一下經文的背景
[00:02:06.840 --> 00:02:12.800]  《創世紀》第六章第五到第十節
[00:02:12.800 --> 00:02:14.680]  《創世紀》第六章五至十節
[00:02:14.680 --> 00:02:18.000]  不如我們一起讀這段經文好嗎?
[00:02:18.000 --> 00:02:19.120]  預備起
[00:02:19.120 --> 00:02:22.880]  耶和華見人在地上罪大惡極
[00:02:22.880 --> 00:02:26.720]  終日心裡所想的盡都是惡事
[00:02:26.720 --> 00:02:30.800]  耶和華就因做人在地上感到遺憾
[00:02:30.800 --> 00:02:32.480]  心中憂傷
[00:02:32.480 --> 00:02:33.720]  耶和華說
[00:02:33.720 --> 00:02:36.720]  我要把所做的人和走獸
[00:02:36.720 --> 00:02:37.920]  爬行動物
[00:02:37.920 --> 00:02:39.880]  以及天空的飛鳥
[00:02:39.880 --> 00:02:42.200]  都從地面上除滅
[00:02:42.200 --> 00:02:45.520]  因為我做了他們感到遺憾
[00:02:45.520 --> 00:02:49.240]  只有羅亞在耶和華眼前蒙恩
[00:02:49.240 --> 00:02:51.440]  這是羅亞的後代
[00:02:51.440 --> 00:02:53.320]  羅亞是個異人
[00:02:53.320 --> 00:02:56.720]  在他的世代中是個源泉人
[00:02:56.720 --> 00:02:58.760]  羅亞與神同行
[00:02:58.760 --> 00:03:01.160]  羅亞生了三個兒子
[00:03:01.160 --> 00:03:04.560]  就是閃、含、瓦、忽、和、瓦、忽
[00:03:04.560 --> 00:03:06.600]  在這段經文裡我們看到
[00:03:06.600 --> 00:03:12.360]  神見到地上的人罪大惡極
[00:03:12.360 --> 00:03:15.200]  以致神要起義
[00:03:15.200 --> 00:03:20.960]  要將一切再去除滅
[00:03:20.960 --> 00:03:25.200]  在這段經文裡我們去思想
[00:03:25.200 --> 00:03:29.440]  但是神卻是揀選了其中一個家庭
[00:03:29.440 --> 00:03:33.320]  就是羅亞和他三個兒子
[00:03:33.320 --> 00:03:34.720]  後來我們知道
[00:03:34.720 --> 00:03:37.840]  在羅亞方舟上有八個人
