
[00:00:00.000 --> 00:00:03.000]  還有呢,先祝大家和兄弟姐妹新年快樂啊!
[00:00:03.000 --> 00:00:06.000]  在這裏先祝大家弟兄姐妹新年快樂!
[00:00:06.000 --> 00:00:09.000]  我們來到新的一年!
[00:00:09.000 --> 00:00:16.000]  我們會有什麼新年願望或者新年計劃呢?
[00:00:16.000 --> 00:00:19.000]  我們有什麼新年願望和新年計劃呢?
[00:00:19.000 --> 00:00:23.000]  教會每一年呢,年頭都會有新的安排的。
[00:00:23.000 --> 00:00:26.000]  每年教會的年頭都會有一些新的安排。
[00:00:26.000 --> 00:00:34.000]  如果大家看程序表,教會新的一年的主題也是登在上面,叫做願主的旨意成就。
[00:00:34.000 --> 00:00:40.000]  如果看到第一頁,我們看到上面寫着,2019年教會主題,願主的旨意成就。
[00:00:40.000 --> 00:00:47.000]  希望我們今年努力地在這個題目上面去用一些時間,不單止思想,並且去實踐它出來。
[00:00:47.000 --> 00:00:53.000]  就是說,讓今年的一年時間,我們不但有時間去思考,也並且把它實踐出來。
[00:00:53.000 --> 00:00:56.000]  讓我們先聽上帝的道義,讓我們先同心同德。
[00:00:56.000 --> 00:00:59.000]  讓我們在聽神的道之前,先同心禱告。
[00:00:59.000 --> 00:01:10.000]  親愛的父神,多謝禰給了我們能夠在一年之初,我們仍然仰望在主禰的根前爲我們的首音。
[00:01:10.000 --> 00:01:22.000]  求主禰繼續地幫助我們,讓禰的聖靈的引導,協助上帝禰藉着主耶穌基督所宣講的教導,
[00:01:22.000 --> 00:01:32.000]  以及所成就的救恩,讓我們在這一年的裏面,能夠走出一條更加永神益人的道路。
[00:01:32.000 --> 00:01:39.000]  求禰與我們同在,讓我們仰望着永恆的盼望,繼續能夠在這個時代裏面,
[00:01:39.000 --> 00:01:44.000]  擔當起真正將主理的道理傳講的工作。
[00:01:44.000 --> 00:01:53.000]  讓更多的人,屬乎主理的人,他們都能夠聽聞,並且可以回應,歸回到上帝禰的當中。
[00:01:53.000 --> 00:01:59.000]  多謝禰,讓今天的講道,聖經的教訓,都能夠蒙主禰大大的使用。
[00:01:59.000 --> 00:02:03.000]  禱告奉靠主耶穌基督得勝的明智以求。
[00:02:03.000 --> 00:02:04.000]  阿們。
[00:02:04.000 --> 00:02:12.000]  上次呢,我們已經講過有關於教會接班人的題目。
[00:02:12.000 --> 00:02:15.000]  上次我們講過教會接班人的題目。
[00:02:15.000 --> 00:02:26.000]  我也講到,其實接班人是一個很重要的考慮,特別是教會如何延續上帝所交託的使命。
[00:02:26.000 --> 00:02:32.000]  教會接班人有一個很重要的題目要考慮,就是如何在教會延續上帝的使命。
[00:02:32.000 --> 00:02:39.000]  但我們要明白,教會接班人不只是指教會的傳導人。
[00:02:39.000 --> 00:02:48.000]  教會接班人不只是指教會的傳導人,而是指整個教會,整個羣體,支持整個教會,整個羣體。
[00:02:48.000 --> 00:02:56.000]  我們如何能夠每一個人承擔起上帝的差事,如何承擔上帝的差事。
[00:02:56.000 --> 00:02:58.000]  這一點是很重要的。
[00:02:58.000 --> 00:03:00.000]  這一點非常重要。
[00:03:00.000 --> 00:03:02.000]  如果我們不弄清楚這一點的話呢,
[00:03:02.000 --> 00:03:10.000]  教會就很容易跌入一個我們所謂明星效應的一個運作模式。
[00:03:10.000 --> 00:03:14.000]  教會就很容易跌入一個明星效應的模式。
[00:03:14.000 --> 00:03:20.000]  我們只是找很多領袖或者名人去帶着教會。
[00:03:20.000 --> 00:03:23.000]  我們至少找很多領袖或者名人去帶着教會。
[00:03:23.000 --> 00:03:27.000]  輾轉下變造成,大家可以糊里糊塗都沒什麼所謂。
[00:03:27.000 --> 00:03:29.000]  下面是否扶你斧頭無所謂。
[00:03:29.000 --> 00:03:35.000]  這個正正也是今天教會開始走下坡的一個很大的原因。
[00:03:35.000 --> 00:03:39.000]  這也是今天教會走下坡路的一個很重要的原因。
[00:03:39.000 --> 00:03:42.000]  教會的接班人是整個教會羣體,
[00:03:42.000 --> 00:03:45.000]  如何在上帝的道里面被好好栽培,
[00:03:45.000 --> 00:03:50.000]  並且承擔起我們這個時代我們可以扮演的角色。
[00:03:50.000 --> 00:03:53.000]  在教會的接班人,如何在教會好好栽培,
