
[00:00:00.000 --> 00:00:06.000]  今天剛才Hanna帶我們敬拜的時候也有跟我們說
[00:00:06.000 --> 00:00:08.000]  今天是中之主日
[00:00:08.000 --> 00:00:15.000]  中之主日就是當時在耶穌被釘十駕之前
[00:00:15.000 --> 00:00:18.000]  耶穌進入耶路撒冷
[00:00:18.000 --> 00:00:21.000]  當祂進入耶路撒冷的時候
[00:00:21.000 --> 00:00:26.000]  就是這個景象
[00:00:26.000 --> 00:00:29.000]  就是當耶穌進入耶路撒冷的時候
[00:00:29.000 --> 00:00:36.000]  祂帶著奴隸有很多的人去歡迎祂
[00:00:36.000 --> 00:00:42.000]  我們昨天也有很多人去參加婚禮
[00:00:42.000 --> 00:00:46.000]  都是一件很開心的事情
[00:00:46.000 --> 00:00:52.000]  不知道Brian和Noelle為什麼會選擇受御婦期
[00:00:52.000 --> 00:00:59.000]  我們在這段時間裡
[00:00:59.000 --> 00:01:02.000]  我們在御婦期當中
[00:01:02.000 --> 00:01:06.000]  有很多大英姊妹都參與我們這個御婦的運動
[00:01:06.000 --> 00:01:08.000]  你們兩個真的很厲害
[00:01:08.000 --> 00:01:12.000]  在這個御婦的運動幫我們推到高峰
[00:01:12.000 --> 00:01:18.000]  就是在御婦期裡舉行婚禮
[00:01:18.000 --> 00:01:22.000]  是不是大家都預備好自己
[00:01:22.000 --> 00:01:27.000]  很明白這個結婚的真諦
[00:01:27.000 --> 00:01:36.000]  就是我們大家都要有一個預備受苦的心智
[00:01:36.000 --> 00:01:38.000]  而當去到高峰的時候
[00:01:38.000 --> 00:01:40.000]  我們在這個婚禮當中
[00:01:40.000 --> 00:01:42.000]  大家很開心
[00:01:42.000 --> 00:01:45.000]  就好像今天這個中之主日
[00:01:45.000 --> 00:01:52.000]  就是猶太人很開心迎接耶穌進入聖城耶路撒冷
[00:01:52.000 --> 00:01:57.000]  為什麼他們會這麼開心迎接耶穌呢
[00:01:57.000 --> 00:02:01.000]  其實耶穌不是第一次進入耶路撒冷
[00:02:01.000 --> 00:02:03.000]  但是為什麼這次這麼特別
[00:02:03.000 --> 00:02:07.000]  他們會歡迎耶穌有一個這麼盛大的儀式呢
[00:02:07.000 --> 00:02:11.000]  之前耶穌進入耶路撒冷都是靜悄悄地
[00:02:11.000 --> 00:02:12.000]  很平常地
[00:02:12.000 --> 00:02:14.000]  但是今天有什麼這麼特別呢
[00:02:14.000 --> 00:02:21.000]  就是因為當耶穌騎著爐進入耶路撒冷的時候
[00:02:21.000 --> 00:02:26.000]  其實騎著爐是一件對於猶太人來說
[00:02:26.000 --> 00:02:31.000]  是一個非常重要的象徵
[00:02:31.000 --> 00:02:34.000]  就是在以色列人的歷史之中
[00:02:34.000 --> 00:02:36.000]  他們曾經都試過
