
[00:00:00.000 --> 00:00:04.000]  在開始靜悟之前,你同心祈禱
[00:00:04.000 --> 00:00:07.760]  神的獨生兒子耶穌基督,求你施恩可憐這個罪人
[00:00:07.760 --> 00:00:11.120]  願意在主你面前站立,宣降主的恩賢
[00:00:11.120 --> 00:00:16.600]  願意主耶穌基督的寶血再一次洗淨這個不配的人的罪
[00:00:16.600 --> 00:00:22.800]  願意主你來高沒這個口舌笨拙的人的罪
[00:00:22.800 --> 00:00:26.760]  來將主你的恩典、你的恩賢解明
[00:00:26.760 --> 00:00:31.200]  願以真理聖靈在我們當中親自的自由運行
[00:00:31.200 --> 00:00:35.200]  願祢能教導我們,帶領我們進入真理
[00:00:35.200 --> 00:00:41.440]  祈禱賴奉耶穌基督的聖名祈求,阿門
[00:00:41.440 --> 00:00:45.480]  香港多個復康組織和公營機構
[00:00:45.480 --> 00:00:49.800]  每年十月都會合辦「精神健康月」
[00:00:49.800 --> 00:00:52.320]  這個活動已經舉辦了十年
[00:00:52.320 --> 00:00:56.800]  透過舉辦不同形式的公民教育和推廣活動
[00:00:56.800 --> 00:01:01.360]  向市民宣揚精神健康的重要
[00:01:01.360 --> 00:01:04.160]  調查結果顯示
[00:01:04.160 --> 00:01:10.480]  今年我們香港精神健康的平均指數又再不合格了
[00:01:10.480 --> 00:01:13.520]  今年是第四年不合格
[00:01:13.520 --> 00:01:20.720]  都是處於一個正常水平之下
[00:01:20.720 --> 00:01:23.920]  亦有調查顯示一些報道顯示
[00:01:23.920 --> 00:01:34.520]  因為社運事件、世紀疫情未退、移民潮又起
[00:01:34.520 --> 00:01:40.960]  港人面對特異而來的告別情緒非常波動
[00:01:40.960 --> 00:01:42.520]  專家警告
[00:01:42.520 --> 00:01:47.520]  面對這場前所未有的精神海嘯
[00:01:47.520 --> 00:01:55.200]  若非及時觸起防波堤,整個社會會承擔高昂的代價
[00:01:55.200 --> 00:02:01.280]  突然你在網上見到你的朋友已經在英國
[00:02:01.280 --> 00:02:08.640]  今天都跟他在上班,突然跟他說「晚上我明天走了」
[00:02:08.640 --> 00:02:13.000]  都沒有機會跟他告別
[00:02:13.000 --> 00:02:15.360]  就離開了
[00:02:15.360 --> 00:02:21.760]  亦因為特異而來,你們走,撤走甚麼都好
[00:02:21.760 --> 00:02:28.280]  很多本來沒甚麼人照顧的長輩
[00:02:28.280 --> 00:02:31.360]  更加缺乏人照顧
[00:02:31.360 --> 00:02:40.080]  變成很多獨居的長輩缺乏支援
[00:02:40.080 --> 00:02:45.800]  我們見到人心惶惶,教會能夠做些甚麼呢?
[00:02:45.800 --> 00:02:47.760]  我們可以做些甚麼?
[00:02:47.760 --> 00:02:51.640]  神榮讓這些事情來發生,總是有他的心意
[00:02:51.640 --> 00:02:56.840]  我們身為香港基督徒,可以為這個社會做些甚麼?
[00:02:56.840 --> 00:03:01.200]  我們在這個社會裏面扮演甚麼角色?
[00:03:01.200 --> 00:03:07.440]  我們尖沙咀浸信會,位於尖沙咀金馬倫道31號
[00:03:07.440 --> 00:03:10.160]  這是黃金地段
[00:03:10.160 --> 00:03:15.360]  每天有無數的人在我們門前經過
[00:03:15.360 --> 00:03:19.760]  大大話話,我們的人流是非常之高的
[00:03:19.760 --> 00:03:27.440]  但我們說,除非我們的服務和見證有效,惠及他們
[00:03:27.440 --> 00:03:29.320]  他們要認識我們,我們要認識他們
[00:03:29.320 --> 00:03:34.040]  否則我們只是君子之交,淡如水
[00:03:34.040 --> 00:03:36.360]  下一句是甚麼呢?
[00:03:36.360 --> 00:03:40.200]  「老死不相往來」
[00:03:40.200 --> 00:03:47.680]  十年二十年在門口經過都不會進來
[00:03:47.680 --> 00:03:52.240]  我們如何能夠在萬民裏面做見證?
[00:03:52.240 --> 00:03:57.080]  今天有不少信徒對教會有很多疑問
[00:03:57.080 --> 00:04:02.760]  不少教會出現斷層,這些離開教會的信徒
[00:04:02.760 --> 00:04:06.000]  他們說他們沒有離開信仰
[00:04:06.000 --> 00:04:12.360]  他們選擇以個人的方式追求信仰、實踐使命
