
[00:00:00.000 --> 00:00:02.500]  我們一直在讀的時候
[00:00:02.500 --> 00:00:05.680]  我們都是強調舊約的聖經裡面
[00:00:05.680 --> 00:00:10.160]  最後是一個影子指向新約的耶穌基督
[00:00:10.160 --> 00:00:15.320]  我們之前花了很多時間去讀《摩西五經》
[00:00:15.320 --> 00:00:19.280]  《摩西五經》其實就是舊約的五分之一
[00:00:19.280 --> 00:00:21.560]  但是這五分之一其實非常重要
[00:00:21.560 --> 00:00:26.440]  因為它其實是整個大廈
[00:00:26.440 --> 00:00:28.140]  你可以說是它的根基
[00:00:28.140 --> 00:00:33.440]  甚至我們現在已經出了這個《生命記》
[00:00:33.440 --> 00:00:34.660]  《摩西五經》的時候
[00:00:34.660 --> 00:00:37.520]  其實它是假設了你後面的那些書
[00:00:37.520 --> 00:00:40.580]  都是你仍然記得之前
[00:00:40.580 --> 00:00:44.280]  這個五本書裡面所講的東西是什麼
[00:00:44.280 --> 00:00:49.720]  所以我們都是很需要起碼有一個大的概念
[00:00:49.720 --> 00:00:52.360]  究竟《摩西五經》是講什麼的
[00:00:52.360 --> 00:00:56.040]  這個是我之前給大家的一些題目
[00:00:56.040 --> 00:00:58.740]  讓大家容易一點記得
[00:00:58.740 --> 00:01:01.480]  《墮落救贖三部曲創世記》
[00:01:01.480 --> 00:01:04.380]  《偶像之家逃生記》是《出埃及記》
[00:01:04.380 --> 00:01:07.340]  《聖傑君王保衛者利美記》
[00:01:07.340 --> 00:01:10.440]  《曠野中的大叛逆》《文素記》
[00:01:10.440 --> 00:01:13.920]  《深受割禮心愛主》《生命記》
[00:01:13.920 --> 00:01:17.260]  所以一切的這些故事
[00:01:17.260 --> 00:01:19.340]  其實都是指向耶穌基督的
[00:01:19.340 --> 00:01:21.380]  如果沒有了耶穌基督的這些故事
[00:01:21.380 --> 00:01:24.440]  其實是失去了它最終的意義
[00:01:24.440 --> 00:01:28.760]  上個禮拜我就跟大家講這個《約書亞記》
[00:01:28.760 --> 00:01:32.620]  或者之前兩個禮拜我們都是在講《約書亞記》
[00:01:32.620 --> 00:01:34.380]  《約書亞記》有24章
[00:01:34.380 --> 00:01:39.000]  我給了一個題目叫做《書、劍、恩仇、俊、刑、許》
[00:01:39.000 --> 00:01:40.220]  《書、劍、恩仇、俊、刑、許》
[00:01:40.220 --> 00:01:48.000]  書的劍就是因為他們要打聖戰進入這個刑許之地
[00:01:48.000 --> 00:01:51.760]  但是書是代表什麼呢?就是《摩西五經》
[00:01:51.760 --> 00:01:55.400]  尤其是這個《生命記》
