
[00:00:00.000 --> 00:00:05.600]  大家好,我們繼續一個話題,講到復活
[00:00:05.600 --> 00:00:10.600]  復活節過了,不過仍然要講復活,因為復活節,或者復活的訊息
[00:00:10.600 --> 00:00:17.400]  復活這件事,身體復活,基督的復活,是我們信仰的一個核心
[00:00:17.400 --> 00:00:21.400]  不是一個footnote,很多時候我們當作是一個footnote
[00:00:21.400 --> 00:00:24.400]  我們有很多事,我們就搞不清楚
[00:00:24.400 --> 00:00:30.400]  所以為什麼我們在這幾個禮拜,我們會去討論一下這個課題
[00:00:30.400 --> 00:00:39.400]  想一想,上帝在基督裡面的死而復活,對於我們生命有什麼鼓勵
[00:00:39.400 --> 00:00:42.400]  對於我們生命裡面有什麼形容
[00:00:42.400 --> 00:00:44.400]  這些不是純粹將來會發生的事
[00:00:44.400 --> 00:00:48.400]  因為將來的目的地,我們去到新天新地
[00:00:48.400 --> 00:00:52.400]  我們有一個復活榮耀的身體,好像基督自己有榮耀復活身體一樣
[00:00:52.400 --> 00:00:57.400]  是應該決定我們今時今日,怎樣看待我們的經歷
[00:00:57.400 --> 00:01:03.400]  我們這個人生,走的方向一定要看最後的目的地
[00:01:03.400 --> 00:01:08.400]  搞清楚目的地,我們現在就知道我們不會那麼容易走失
[00:01:08.400 --> 00:01:13.400]  所以在這裡有三個point,我想和你思想一下
[00:01:13.400 --> 00:01:15.400]  第一個point就是復活的真實性
[00:01:15.400 --> 00:01:19.400]  第二個point就是復活的身體,我們思想一下
[00:01:19.400 --> 00:01:23.400]  到底一個復活的身體,是一回什麼事
[00:01:23.400 --> 00:01:25.400]  怎樣是一個復活的身體
[00:01:25.400 --> 00:01:29.400]  第三方面,復活帶給我們有什麼德性
[00:01:29.400 --> 00:01:31.400]  所以第一個point是復活的真實性
[00:01:31.400 --> 00:01:38.400]  這裡很明顯講到復活的時候,其中一段最長的經文就是哥倫多前書第十五章
[00:01:38.400 --> 00:01:42.400]  你知道哥倫多前書由頭到尾,有十六章成經
[00:01:42.400 --> 00:01:46.400]  裡面處理很多教會的問題,或者教會對保羅的提問
[00:01:46.400 --> 00:01:51.400]  所以保羅就寫信,作為一個目者,告訴他不同的事情應該怎樣處理
[00:01:51.400 --> 00:01:58.400]  譬如,婚姻怎樣處理,單身的怎樣處理,性倫理怎樣處理
[00:01:58.400 --> 00:02:01.400]  他們中間有分黨,或者有不和
[00:02:01.400 --> 00:02:05.400]  甚至有些上到法庭互相告狀等等
[00:02:05.400 --> 00:02:10.400]  這些全部都在哥倫多前書前面的章節一直討論
[00:02:10.400 --> 00:02:16.400]  所以保羅在哥倫多前書其實是一個Q&A
[00:02:16.400 --> 00:02:24.400]  到最後的時候,他似乎報局提到或者討論到一個最重要最重要的東西
[00:02:24.400 --> 00:02:27.400]  最後的時候通常都是講一些最重要的東西
[00:02:27.400 --> 00:02:29.400]  十五、十六章,最後兩章
[00:02:29.400 --> 00:02:34.400]  十五章他就整章長的篇幅來討論這個問題
[00:02:34.400 --> 00:02:38.400]  這裡其中一節,十二節,很清楚地告訴我們
[00:02:38.400 --> 00:02:42.400]  保羅可能聽到,或者有些人向他詢問
[00:02:42.400 --> 00:02:45.400]  就是在哥倫多教會裡面有一些信徒
[00:02:45.400 --> 00:02:51.400]  他們是不信基督的復活,沒有死人復活的事
[00:02:51.400 --> 00:02:55.400]  你知道哥倫多處於一個什麼地方
[00:02:55.400 --> 00:03:01.400]  在希臘半島,所以他們很受一些當時世界裡面
[00:03:01.400 --> 00:03:05.400]  文化裡面的希臘思想影響
[00:03:05.400 --> 00:03:09.400]  其中一個希臘的思想就是柏拉圖主義
[00:03:09.400 --> 00:03:13.400]  柏拉圖是之前五、六百年,一個很出色的哲學家
[00:03:13.400 --> 00:03:17.400]  大家聽過了,蘇格拉底、柏拉圖和阿利斯多德
[00:03:17.400 --> 00:03:21.400]  這些希臘的哲學有一個共通點,特別柏拉圖
[00:03:21.400 --> 00:03:25.400]  柏拉圖就是說,世上我們捉到摸到的東西
[00:03:25.400 --> 00:03:31.400]  包括我們物質上的肉身,這些東西都是不會永恆的
[00:03:31.400 --> 00:03:35.400]  這些東西甚至可以是邪惡的,是不好的東西
[00:03:35.400 --> 00:03:39.400]  Matter,Body,不是好的東西
[00:03:39.400 --> 00:03:43.400]  Someday,我們就會在監獄裡面被釋放出來
[00:03:43.400 --> 00:03:50.400]  因為在希臘人的思想,就是靈魂是永遠的
[00:03:50.400 --> 00:03:54.400]  靈魂是永遠活下去的,肉身就是不好的東西
