
[00:00:00.000 --> 00:00:03.680]  好 歡迎大家今天來到神的殿當中 來到敬拜
[00:00:03.680 --> 00:00:07.200]  今天我們的講道系列 講道為什麽
[00:00:07.200 --> 00:00:10.000]  Why? Why?
[00:00:10.000 --> 00:00:13.560]  我們人很喜歡講How 即是怎麽做
[00:00:13.560 --> 00:00:14.840]  但是沒有講Why
[00:00:14.840 --> 00:00:18.040]  我們做了很多時候 有時候開會我們講How How How How
[00:00:18.040 --> 00:00:21.040]  但是後面忘記了問Why 為什麽這麽做呢?
[00:00:21.040 --> 00:00:23.400]  那我們的How也沒用了 是不是?
[00:00:23.400 --> 00:00:26.760]  所以這個Why很重要 但是Why是不容易回答的
[00:00:26.760 --> 00:00:27.640]  為什麽?
[00:00:27.640 --> 00:00:30.080]  這個Why是講到理性
[00:00:30.080 --> 00:00:33.880]  我們知道有人以為基督教是反理性的
[00:00:33.880 --> 00:00:36.840]  以為我們理性是不行的
[00:00:36.840 --> 00:00:39.160]  基督教不是反理性 大家記得
[00:00:39.160 --> 00:00:42.640]  不過我們不是將理性放到最高
[00:00:42.640 --> 00:00:45.360]  因為人的理性 人的理解力
[00:00:45.360 --> 00:00:46.840]  是有限的
[00:00:46.840 --> 00:00:49.720]  保羅講一句話很好
[00:00:49.720 --> 00:00:51.640]  他說按照我們所知道的
[00:00:51.640 --> 00:00:53.160]  我們其實什麽都不知道
[00:00:53.160 --> 00:00:54.960]  聽不聽得懂我說什麽?
[00:00:54.960 --> 00:00:57.200]  有人以為知道很多東西
[00:00:57.200 --> 00:00:59.400]  但是原來按照我們所知道的
[00:00:59.400 --> 00:01:01.000]  很多東西都不知道
[00:01:01.000 --> 00:01:03.800]  我特別有些朋友 他有很高的學位
[00:01:03.800 --> 00:01:07.400]  有些博士學位 他也開玩笑
[00:01:07.400 --> 00:01:10.720]  我們的博士學位是permanent head damage
[00:01:10.720 --> 00:01:12.480]  就是頭壞了
[00:01:12.480 --> 00:01:15.560]  我們所知道的原來很多都不知道的
[00:01:15.560 --> 00:01:17.880]  但是聖經裡面沒有反對理性
[00:01:17.880 --> 00:01:19.800]  不過理性是不足的
[00:01:19.800 --> 00:01:23.200]  剛才我們聽到兩位姐妹講到
[00:01:23.200 --> 00:01:25.120]  很多東西都知道了
[00:01:25.120 --> 00:01:27.160]  不過還有新的發現
[00:01:27.160 --> 00:01:29.720]  其實有一個距離
[00:01:29.720 --> 00:01:33.400]  就是由頭的知識去到心的那裡
[00:01:33.400 --> 00:01:36.040]  那個距離好像是一呎
[00:01:36.040 --> 00:01:37.560]  有些人說是18吋
