
[00:00:00.000 --> 00:00:02.280]  各位周六崇拜的弟兄姊妹
[00:00:02.280 --> 00:00:03.640]  主里面平安
[00:00:03.640 --> 00:00:08.080]  很感恩能夠透過網上
[00:00:08.080 --> 00:00:10.080]  能夠和大家見面
[00:00:10.080 --> 00:00:12.080]  雖然疫情的緣故
[00:00:12.080 --> 00:00:16.000]  我們未能夠在當中親自和大家面見
[00:00:16.000 --> 00:00:18.000]  但願如此恩典的神
[00:00:18.000 --> 00:00:20.000]  繼續來保守大家
[00:00:20.000 --> 00:00:23.000]  容讓大家身體康健
[00:00:23.000 --> 00:00:25.000]  主里面平安
[00:00:25.000 --> 00:00:29.000]  今天和大家傳播一個訊息
[00:00:29.000 --> 00:00:32.000]  「出死入心」的福音
[00:00:32.000 --> 00:00:34.000]  經文裡說到
[00:00:34.000 --> 00:00:36.000]  羅馬書六章二十三節
[00:00:36.000 --> 00:00:39.000]  罪的功格乃是死
[00:00:39.000 --> 00:00:42.000]  惟有神的恩賜
[00:00:42.000 --> 00:00:46.000]  在主耶穌基督裡乃是永生
[00:00:46.000 --> 00:00:49.000]  我們來避諱
[00:00:49.000 --> 00:00:52.000]  不想說死亡
[00:00:52.000 --> 00:00:58.000]  但是人終須要面對
[00:00:58.000 --> 00:01:02.000]  這是每個人的終結和歸途
[00:01:02.000 --> 00:01:07.000]  今天想和大家分享一個好消息
[00:01:07.000 --> 00:01:11.000]  就是大家能夠有機會
[00:01:11.000 --> 00:01:13.000]  有盼望
[00:01:13.000 --> 00:01:16.000]  可以「出死入心」
[00:01:16.000 --> 00:01:20.000]  今天在開始正道之前
[00:01:20.000 --> 00:01:23.000]  我們同心祈禱
[00:01:23.000 --> 00:01:26.000]  創造宇宙天地萬物的真神
[00:01:26.000 --> 00:01:29.000]  神的獨生子主耶穌基督
[00:01:29.000 --> 00:01:35.000]  今天容讓我們再次謙卑來到您的面前
[00:01:35.000 --> 00:01:37.000]  容讓主耶穌基督的補血
[00:01:37.000 --> 00:01:40.000]  再次洗淨孩子的罪
[00:01:40.000 --> 00:01:42.000]  容讓這個不配的人
[00:01:42.000 --> 00:01:46.000]  能夠成為神的話語的出口
[00:01:46.000 --> 00:01:49.000]  能夠將主祢的恩賢解明
[00:01:49.000 --> 00:01:52.000]  容讓這個寶貴的福音
[00:01:52.000 --> 00:01:55.000]  能夠去到每一個人的心裡
[00:01:55.000 --> 00:02:00.000]  容讓我們的生命能夠得到改變和轉化
[00:02:00.000 --> 00:02:02.000]  是因為神祢的救恩
[00:02:02.000 --> 00:02:04.000]  這個極大的救恩
[00:02:04.000 --> 00:02:07.000]  這個寶貴的救恩
[00:02:07.000 --> 00:02:10.000]  來臨到我們身上
[00:02:10.000 --> 00:02:13.000]  以致我們能夠悔改和相信
[00:02:13.000 --> 00:02:17.000]  求真理聖靈來開啟我們的茅室
[00:02:17.000 --> 00:02:20.000]  容讓我們能夠進入真理
[00:02:20.000 --> 00:02:25.000]  祈禱、交託、仰望是奉靠救主的耶穌聖名祈求
[00:02:25.000 --> 00:02:26.000]  阿們
[00:02:50.000 --> 00:02:53.000]  是覺得很難不想做的
[00:02:53.000 --> 00:02:55.000]  祂是規避
[00:02:55.000 --> 00:02:58.000]  使我們不想去面對
[00:02:58.000 --> 00:03:00.000]  到了晚上
[00:03:00.000 --> 00:03:02.000]  當我們回到家裡
[00:03:02.000 --> 00:03:04.000]  詢問祂、查問祂
[00:03:04.000 --> 00:03:06.000]  做完功課的時間
[00:03:06.000 --> 00:03:09.000]  祂才和盤托出
[00:03:09.000 --> 00:03:11.000]  未做呀
[00:03:11.000 --> 00:03:16.000]  然後我們和祂一起掙扎指導
[00:03:16.000 --> 00:03:19.000]  明明可以一早做完功課
[00:03:19.000 --> 00:03:22.000]  但是祂來到規避
[00:03:22.000 --> 00:03:25.000]  來到不想面對
[00:03:25.000 --> 00:03:30.000]  以致最後沒有辦法不面對的時間
[00:03:30.000 --> 00:03:33.000]  才來到做
[00:03:33.000 --> 00:03:39.000]  最終很晚才能夠完成
[00:03:39.000 --> 00:03:42.000]  兩個好消息是兩個的消息
[00:03:42.000 --> 00:03:43.000]  一個是好消息
