
[00:00:00.000 --> 00:00:02.880]  或者在我們宣講前一段時間
[00:00:02.880 --> 00:00:04.320]  我們低頭禱告
[00:00:04.320 --> 00:00:06.720]  欣賞這裡是多謝主你
[00:00:06.720 --> 00:00:07.680]  因為你恩代我們
[00:00:07.680 --> 00:00:08.680]  你賜福給我們
[00:00:08.680 --> 00:00:11.520]  賜福給我們四間的堂會
[00:00:11.520 --> 00:00:13.280]  我們在不同的地方裡面
[00:00:13.280 --> 00:00:14.600]  為主去爭戰
[00:00:14.600 --> 00:00:16.160]  為主去得人
[00:00:16.160 --> 00:00:18.760]  今天我們能夠一起敬拜
[00:00:18.760 --> 00:00:20.720]  高牧師來到我們一林堂
[00:00:20.720 --> 00:00:21.640]  去宣講
[00:00:21.640 --> 00:00:22.400]  去教導
[00:00:22.400 --> 00:00:25.640]  今天黃家輝牧師也給我機會
[00:00:25.640 --> 00:00:27.080]  我來到立法堂裡面
[00:00:27.080 --> 00:00:28.560]  我又交換講談
[00:00:28.680 --> 00:00:31.360]  盼望我們不單以頭腦裡面的合一
[00:00:31.360 --> 00:00:32.960]  我們身體力行的
[00:00:32.960 --> 00:00:35.360]  去表達主裡面合一的情誼
[00:00:35.360 --> 00:00:37.160]  願孩子在口裡面言語
[00:00:37.160 --> 00:00:38.280]  心裡面意念
[00:00:38.280 --> 00:00:39.680]  蒙上主的月立
[00:00:39.680 --> 00:00:41.160]  祈禱奉主的名求
[00:00:41.160 --> 00:00:42.040]  阿門
[00:00:42.040 --> 00:00:43.160]  好
[00:00:43.160 --> 00:00:45.200]  剛才我們讀的經文
[00:00:45.200 --> 00:00:47.720]  是在二弗所書第二章
[00:00:47.720 --> 00:00:49.840]  第十一節到二十二節
[00:00:49.840 --> 00:00:52.040]  第十一節裡面是說「所以」
[00:00:52.040 --> 00:00:56.000]  一開始說「所以」當然是有些東西的
[00:00:56.000 --> 00:00:58.600]  我們再看回第一章那段時間
[00:00:58.600 --> 00:01:01.040]  說的是神的永恆計劃
[00:01:01.040 --> 00:01:02.600]  神的永恆計劃
[00:01:02.600 --> 00:01:06.240]  要天上地下所有在基督裡面
[00:01:06.240 --> 00:01:07.440]  同歸於一
[00:01:07.440 --> 00:01:11.080]  如果我們看第一章第二十三節那段時間
[00:01:11.080 --> 00:01:11.880]  才這麼說
[00:01:11.880 --> 00:01:14.440]  教會就是祂的身體
[00:01:14.440 --> 00:01:15.400]  基督的身體
[00:01:15.400 --> 00:01:18.640]  是充滿萬有者所充滿的
[00:01:18.640 --> 00:01:20.280]  然後教會成立
[00:01:20.280 --> 00:01:22.040]  弟兄姊妹組在一起
[00:01:22.040 --> 00:01:23.840]  原來我們是很榮譽的身份
[00:01:23.840 --> 00:01:25.400]  我們就是基督的身體
[00:01:25.400 --> 00:01:28.000]  我們再繼續看下去那段時間
[00:01:28.000 --> 00:01:29.280]  我們第十一節
[00:01:29.280 --> 00:01:31.840]  再看回之前那段時間
[00:01:31.840 --> 00:01:34.320]  他說今天我們能夠成為基督的身體的一部分
[00:01:34.320 --> 00:01:36.960]  我們弟兄姊妹經常賴因我們蒙恩
[00:01:36.960 --> 00:01:39.400]  蒙恩不是因為我們的好行為
[00:01:39.400 --> 00:01:41.760]  是因為主的緣故
[00:01:41.760 --> 00:01:44.000]  他說得救是本乎因
[00:01:44.000 --> 00:01:46.840]  我們是這樣彼此的建立
[00:01:46.840 --> 00:01:49.200]  如果我再看回第二章剛才我讀
[00:01:49.200 --> 00:01:50.920]  最後幾節那段時間
[00:01:50.920 --> 00:01:54.000]  原來神教會的特性就是這樣的
[00:01:54.000 --> 00:01:57.080]  我們不是再分外人、客女
[00:01:57.080 --> 00:01:59.680]  我們是聖徒是同國的
[00:01:59.680 --> 00:02:02.320]  我們是神家裏面的一分子
[00:02:02.320 --> 00:02:06.720]  這是神擺給我們的很美麗的一幅圖畫
[00:02:06.720 --> 00:02:09.480]  不過當他看第十一節那段時間
[00:02:09.480 --> 00:02:11.960]  他說所以你們當紀念
[00:02:11.960 --> 00:02:15.320]  你們從前是愛玉體系外邦人
[00:02:15.320 --> 00:02:17.320]  是被稱為母獸國女的
[00:02:17.320 --> 00:02:19.640]  接著保羅說
[00:02:19.640 --> 00:02:21.280]  這些說話不是我說的
[00:02:21.280 --> 00:02:23.600]  這些說話是誰說的呢?
