
[00:00:00.000 --> 00:00:02.000]  各位齊人先有個祈禱
[00:00:30.000 --> 00:00:32.000]  聖過我們一切的限制
[00:00:32.000 --> 00:00:34.000]  就算我們沒有音樂
[00:00:34.000 --> 00:00:36.000]  就算沒有音響
[00:00:36.000 --> 00:00:38.000]  就算我們沒有PowerPoint
[00:00:38.000 --> 00:00:40.000]  一些科技的設施
[00:00:40.000 --> 00:00:42.000]  但最重要我們有心
[00:00:42.000 --> 00:00:44.000]  在你面前去敬拜
[00:00:44.000 --> 00:00:46.000]  最重要是你的說話被打開的時候
[00:00:46.000 --> 00:00:48.000]  你的聖靈在我們中間工作
[00:00:48.000 --> 00:00:50.000]  我們去將整個敬拜獻給你
[00:00:50.000 --> 00:00:52.000]  聽我們面前的祈禱
[00:00:52.000 --> 00:00:54.000]  奉主耶穌的名及
[00:00:54.000 --> 00:00:56.000]  阿們
[00:00:56.000 --> 00:00:58.000]  在過往聖誕節裡
[00:00:58.000 --> 00:01:00.000]  有不少時間
[00:01:00.000 --> 00:01:02.000]  我們都會看見一些
[00:01:02.000 --> 00:01:04.000]  話劇去做一些Roleplay
[00:01:04.000 --> 00:01:06.000]  過往做話劇的時候
[00:01:06.000 --> 00:01:08.000]  在聖景的
[00:01:08.000 --> 00:01:10.000]  情景裡我們很多時候見到
[00:01:10.000 --> 00:01:12.000]  我見很多的小朋友
[00:01:12.000 --> 00:01:14.000]  無論他去做選角的時候
[00:01:14.000 --> 00:01:16.000]  有些就說
[00:01:16.000 --> 00:01:18.000]  我做瑪利亞
[00:01:18.000 --> 00:01:20.000]  有些就做個BB
[00:01:20.000 --> 00:01:22.000]  扮BB扮耶穌
[00:01:22.000 --> 00:01:24.000]  有做牧羊人
[00:01:24.000 --> 00:01:26.000]  甚至有扮羊
[00:01:26.000 --> 00:01:28.000]  有做博士
[00:01:28.000 --> 00:01:30.000]  通常都會找一個人
[00:01:30.000 --> 00:01:32.000]  做藥室
[00:01:32.000 --> 00:01:34.000]  當扮藥室的時候
[00:01:34.000 --> 00:01:36.000]  不知道大家想起
[00:01:36.000 --> 00:01:38.000]  過往看的情景裡
[00:01:38.000 --> 00:01:40.000]  藥室
[00:01:40.000 --> 00:01:42.000]  說過什麼話呢
[00:01:42.000 --> 00:01:46.000]  通常藥室
[00:01:46.000 --> 00:01:48.000]  都是一個
[00:01:48.000 --> 00:01:50.000]  閒角或配角
[00:01:50.000 --> 00:01:52.000]  站在那裡
[00:01:52.000 --> 00:01:54.000]  有一個扮瑪利亞
[00:01:54.000 --> 00:01:56.000]  抱著BB耶穌
[00:01:56.000 --> 00:01:58.000]  動不動就站在那裡
[00:01:58.000 --> 00:02:00.000]  站了一整場
[00:02:00.000 --> 00:02:02.000]  無論牧羊人來也好
[00:02:02.000 --> 00:02:04.000]  博士來也好
[00:02:04.000 --> 00:02:06.000]  誰來都好
[00:02:06.000 --> 00:02:08.000]  由頭到尾都是站在那裡
[00:02:08.000 --> 00:02:10.000]  散場一路走
[00:02:10.000 --> 00:02:12.000]  所以在聖景裡
[00:02:12.000 --> 00:02:14.000]  基本上見藥室
[00:02:14.000 --> 00:02:16.000]  找不到任何一句對白
[00:02:16.000 --> 00:02:18.000]  去說
[00:02:18.000 --> 00:02:20.000]  我昨天又特意
[00:02:20.000 --> 00:02:22.000]  找一下
[00:02:22.000 --> 00:02:24.000]  角色詩歌
[00:02:24.000 --> 00:02:26.000]  或者詩歌
[00:02:26.000 --> 00:02:28.000]  唱過
[00:02:28.000 --> 00:02:30.000]  這麼多年的聖誕歌
[00:02:30.000 --> 00:02:32.000]  有哪首歌
[00:02:32.000 --> 00:02:34.000]  是有寫
